area_id,area_name,c27001g001,c27001g001_moe,c27001g002,c27001g002_moe,c27001g003,c27001g003_moe,c27001g004,c27001g004_moe,c27001g005,c27001g005_moe,c27001g006,c27001g006_moe,c27001g007,c27001g007_moe,c27001g008,c27001g008_moe,c27001g009,c27001g009_moe,c27001g010,c27001g010_moe
BK09,Brooklyn Heights-Cobble Hill,931,314,430,263,430,263,0,29,501,162,402,137,99,88,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,576,385,211,240,211,240,0,55,348,209,307,185,41,74,17,56,17,56,0,55
BK19,Brighton Beach,800,360,159,105,159,105,0,38,641,326,557,313,84,80,0,38,0,38,0,38
BK21,Seagate-Coney Island,604,350,295,217,295,217,0,38,250,154,206,142,44,65,59,57,59,57,0,38
BK23,West Brighton,75,66,47,55,47,55,0,27,15,35,7,27,8,28,13,32,13,32,0,27
BK25,Homecrest,562,432,176,161,176,161,0,48,357,299,305,245,52,81,29,52,29,52,0,48
BK26,Gravesend,357,168,189,93,189,93,0,36,147,104,88,65,59,76,21,39,21,39,0,36
BK27,Bath Beach,313,149,97,71,97,71,0,40,188,109,162,100,26,43,28,51,28,51,0,40
BK28,Bensonhurst West,707,223,328,161,328,161,0,64,350,134,288,120,62,82,29,64,29,64,0,64
BK29,Bensonhurst East,864,393,379,221,307,190,72,124,455,200,254,152,201,141,30,53,30,53,0,51
BK30,Dyker Heights,426,203,163,96,153,92,10,52,228,148,208,146,20,52,35,60,35,60,0,51
BK31,Bay Ridge,1861,496,1015,319,1015,319,0,66,833,246,677,215,156,115,13,67,13,67,0,66
BK32,Sunset Park West,1362,388,497,222,452,206,45,66,790,261,611,206,179,164,75,66,75,66,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,1624,452,805,296,805,296,0,45,791,249,714,198,77,104,28,47,28,47,0,45
BK34,Sunset Park East,1087,321,393,164,393,164,0,59,640,219,574,186,66,79,54,69,54,69,0,59
