area_id,area_name,c24010b001,c24010b001_moe,c24010b002,c24010b002_moe,c24010b003,c24010b003_moe,c24010b004,c24010b004_moe,c24010b005,c24010b005_moe,c24010b006,c24010b006_moe,c24010b007,c24010b007_moe,c24010b008,c24010b008_moe,c24010b009,c24010b009_moe,c24010b010,c24010b010_moe,c24010b011,c24010b011_moe,c24010b012,c24010b012_moe,c24010b013,c24010b013_moe
BK09,Brooklyn Heights-Cobble Hill,621,212,298,146,188,112,94,93,16,37,0,29,0,29,323,151,171,105,50,77,57,64,39,59,6,30
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1517,339,613,213,118,101,140,128,129,104,16,55,210,128,904,242,271,134,283,132,303,154,11,56,36,78
BK19,Brighton Beach,223,142,121,94,49,74,49,60,2,37,0,38,21,47,102,85,57,58,5,38,40,50,0,38,0,38
BK21,Seagate-Coney Island,3207,465,1275,319,96,85,222,112,260,122,193,148,504,188,1932,293,322,137,665,206,819,200,37,53,89,60
BK23,West Brighton,91,77,15,33,15,33,0,27,0,27,0,27,0,27,76,75,28,40,0,27,48,67,0,27,0,27
BK25,Homecrest,195,121,54,65,0,48,16,51,14,51,0,48,24,60,141,94,50,63,54,74,37,62,0,48,0,48
BK26,Gravesend,903,269,284,126,78,84,60,59,50,80,0,36,96,84,619,210,137,101,194,113,288,170,0,36,0,36
BK27,Bath Beach,271,174,121,95,12,42,63,78,0,40,46,65,0,40,150,97,58,75,83,68,9,40,0,40,0,40
BK28,Bensonhurst West,348,146,141,96,43,79,64,77,0,64,9,64,25,72,207,109,64,82,38,65,95,93,10,64,0,64
BK29,Bensonhurst East,315,157,198,101,83,78,60,70,10,52,19,58,26,53,117,90,49,78,44,63,24,56,0,51,0,51
BK30,Dyker Heights,336,167,134,89,64,72,14,55,10,49,46,69,0,51,202,136,114,119,48,68,40,59,0,51,0,51
BK31,Bay Ridge,903,215,408,149,172,100,76,76,93,100,29,71,38,71,495,150,164,94,74,81,257,121,0,66,0,66
BK32,Sunset Park West,1254,304,742,214,181,107,125,86,220,105,65,64,151,103,512,151,208,102,146,89,147,82,11,51,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,1596,346,550,169,160,91,99,85,184,111,14,47,93,83,1046,248,221,111,381,154,419,148,15,49,10,45
BK34,Sunset Park East,1014,327,490,194,207,121,31,63,111,85,74,91,67,79,524,182,232,117,163,101,125,95,4,59,0,59
BK35,Stuyvesant Heights,19231,1031,8399,656,2321,330,1824,318,1670,301,1148,246,1436,302,10832,693,3786,402,3601,443,2971,388,66,67,408,141
BK37,Park Slope-Gowanus,2804,439,1348,277,616,195,131,114,387,150,146,100,68,76,1456,261,794,189,203,132,450,155,3,55,6,57
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2964,367,1131,223,359,120,263,123,298,150,72,79,139,90,1833,272,757,177,493,149,479,149,28,45,76,78
BK40,Windsor Terrace,861,261,378,156,134,100,116,88,108,81,20,36,0,32,483,167,368,145,57,65,58,59,0,32,0,32
BK41,Kensington-Ocean Parkway,1384,399,733,254,175,115,222,146,197,106,19,49,120,93,651,211,328,118,141,96,166,156,0,40,16,45
BK42,Flatbush,24759,1166,10373,771,2358,361,2671,404,2224,398,1156,260,1964,330,14386,789,3897,449,6354,565,3729,464,44,77,362,137
BK43,Midwood,1211,255,487,140,141,97,111,75,102,79,66,71,67,63,724,171,294,124,218,104,185,84,0,51,27,57
BK44,Madison,280,163,125,94,19,55,5,46,66,81,0,46,35,59,155,94,97,85,11,48,47,57,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,2815,423,1291,239,323,132,328,143,304,134,186,105,150,92,1524,291,472,155,608,198,425,191,0,55,19,62
BK46,Ocean Parkway South,83,60,25,42,13,40,0,36,0,36,0,36,12,38,58,49,23,39,0,36,25,43,0,36,10,37
BK50,Canarsie,35275,1188,14823,762,3947,408,3105,356,2662,340,2142,325,2967,352,20452,768,8413,538,6725,517,4670,434,116,91,528,168
BK58,Flatlands,25571,1066,11081,694,2726,358,2585,349,2174,319,1633,284,1963,297,14490,668,6072,501,4629,404,3350,366,65,78,374,136
BK60,Prospect Lefferts Gardens-Wingate,24892,1173,10509,739,2251,373,2765,463,2307,383,1485,308,1701,326,14383,835,3861,451,6683,623,3466,470,86,96,287,145
BK61,Crown Heights North,31433,1256,12842,819,3285,425,2987,403,2360,363,1957,367,2253,356,18591,894,5328,501,7331,593,5338,550,43,75,551,165
BK63,Crown Heights South,11716,792,4994,549,1180,247,1125,280,1151,261,502,181,1036,247,6722,504,1955,311,2985,373,1610,280,22,45,150,84
BK64,Prospect Heights,2921,390,1310,291,532,164,307,156,248,143,25,40,198,120,1611,246,641,165,418,150,514,168,12,33,26,43
BK68,Fort Greene,4431,488,1730,325,585,190,489,163,378,161,99,79,179,97,2701,330,1183,231,600,155,886,218,0,38,32,44
BK69,Clinton Hill,6727,584,2974,402,1198,284,687,198,351,119,288,132,450,152,3753,399,1677,252,709,188,1244,229,42,64,81,66
BK72,Williamsburg,169,104,65,82,52,81,5,35,8,37,0,36,0,36,104,67,35,43,23,41,46,54,0,36,0,36
BK73,North Side-South Side,1133,293,437,205,144,98,89,83,166,126,0,48,38,54,696,208,251,117,167,98,243,125,0,48,35,70
BK75,Bedford,15330,880,6660,562,1687,289,1578,293,1509,285,914,223,972,235,8670,600,3178,368,2958,374,2224,314,44,68,266,118
BK76,Greenpoint,167,89,96,75,66,71,15,44,0,42,15,46,0,42,71,61,24,48,0,42,47,57,0,42,0,42
BK77,Bushwick North,3219,559,1591,370,243,132,589,214,199,108,256,144,304,143,1628,312,493,160,617,184,445,130,21,60,52,69
BK78,Bushwick South,8603,738,3603,429,744,201,965,216,766,207,476,169,652,194,5000,497,1468,270,1895,288,1524,290,9,57,104,98
BK79,Ocean Hill,10219,717,4172,436,770,203,1123,243,1024,243,682,189,573,180,6047,524,1812,287,2046,318,1927,334,108,74,154,81
BK81,Brownsville,15386,833,5392,508,561,184,1667,282,963,205,890,223,1311,265,9994,622,2678,386,3868,395,2975,367,12,51,461,164
BK82,East New York,23163,1090,8955,664,1559,303,2328,343,1741,315,1266,267,2061,323,14208,739,3767,419,5421,510,4383,458,16,64,621,174
BK83,Cypress Hills-City Line,5145,610,2529,376,386,143,526,163,531,175,632,179,454,156,2616,355,708,172,989,221,820,207,11,52,88,72
BK85,East New York (Pennsylvania Ave),8217,598,3382,390,445,144,1079,229,650,170,426,142,782,186,4835,396,1073,207,2376,324,1146,214,39,56,201,98
BK88,Borough Park,403,189,219,131,45,82,50,81,38,83,27,72,59,88,184,106,97,89,45,84,42,70,0,68,0,68
BK90,East Williamsburg,1081,237,411,153,65,79,185,107,88,73,37,52,36,47,670,175,205,106,155,90,250,113,30,61,30,53
BK91,East Flatbush-Farragut,23376,993,9929,623,2109,315,2624,387,1942,310,1585,285,1669,293,13447,694,4185,416,5187,483,3648,396,54,73,373,151
BK93,Starrett City,2417,392,481,229,193,147,110,77,80,69,0,24,98,100,1936,282,860,222,433,185,635,196,0,24,8,23
BK95,Erasmus,11895,740,4885,485,932,216,1252,289,743,186,1047,249,911,232,7010,536,1776,276,3353,402,1791,268,17,41,73,56
BK96,Rugby-Remsen Village,23573,1011,9798,652,1580,265,2463,350,2050,325,1991,317,1714,292,13775,706,4080,402,5869,516,3443,364,0,54,383,128
BK99,park-cemetery-etc-Brooklyn,39,58,39,58,19,49,20,50,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,4138,497,1842,327,200,97,718,194,420,172,157,86,347,120,2296,310,477,151,1110,235,679,184,0,40,30,45
BX03,Eastchester-Edenwald-Baychester,11645,871,4797,571,1179,271,1078,282,842,275,704,218,994,291,6848,595,2573,383,2611,415,1487,279,47,63,130,86
BX05,Bedford Park-Fordham North,4435,580,2063,371,334,129,615,192,441,173,219,125,454,179,2372,377,648,195,879,217,777,239,9,49,59,65
BX06,Belmont,1682,291,789,199,185,116,234,106,186,109,73,63,111,70,893,206,344,136,412,147,137,71,0,34,0,34
BX07,Bronxdale,5009,478,2066,353,409,160,584,197,338,134,271,128,464,152,2943,329,1015,230,909,235,945,222,0,38,74,71
BX08,West Farms-Bronx River,4550,573,2167,375,389,155,567,163,522,194,172,93,517,182,2383,382,704,226,823,213,819,213,9,40,28,52
BX09,Soundview-Castle Hill-Clason Point-Harding Park,8511,672,3522,464,1061,308,1121,270,547,175,321,153,472,173,4989,471,1818,329,1585,318,1466,303,9,51,111,85
BX10,Pelham Bay-Country Club-City Island,362,176,118,90,39,66,56,59,11,34,12,37,0,34,244,155,64,52,0,34,180,139,0,34,0,34
BX13,Co-op City,12874,955,5588,702,1251,337,1310,321,1250,381,984,291,793,266,7286,681,2983,469,2213,437,2048,442,0,33,42,52
BX14,East Concourse-Concourse Village,10350,837,4900,570,900,239,1284,290,1098,297,488,183,1130,274,5450,604,1688,300,2036,398,1563,289,44,84,119,81
BX17,East Tremont,4841,533,2024,382,354,131,631,197,570,229,75,65,394,149,2817,361,918,204,1086,231,735,191,0,45,78,60
BX22,North Riverdale-Fieldston-Riverdale,1115,259,496,163,213,94,62,62,71,68,33,54,117,81,619,171,354,122,49,55,216,113,0,38,0,38
BX26,Highbridge,5472,634,2862,457,460,153,851,237,804,252,245,131,502,199,2610,357,739,196,1086,247,635,176,0,42,150,97
BX27,Hunts Point,2362,328,930,195,132,77,247,113,140,77,123,71,288,129,1432,223,251,102,616,151,507,133,0,38,58,80
BX28,Van Cortlandt Village,5124,549,2258,376,446,148,471,189,590,186,243,133,508,195,2866,388,750,202,1191,229,872,231,0,43,53,58
BX29,Spuyten Duyvil-Kingsbridge,1267,288,531,175,233,111,36,45,133,89,23,42,106,79,736,167,392,128,126,77,218,91,0,38,0,38
BX30,Kingsbridge Heights,2903,532,1164,379,406,234,247,125,249,123,21,43,241,119,1739,295,527,167,605,173,576,211,24,54,7,38
