area_id,area_name,b16008001,b16008001_moe,b16008002,b16008002_moe,b16008003,b16008003_moe,b16008004,b16008004_moe,b16008005,b16008005_moe,b16008006,b16008006_moe,b16008007,b16008007_moe,b16008008,b16008008_moe,b16008009,b16008009_moe,b16008010,b16008010_moe,b16008011,b16008011_moe,b16008012,b16008012_moe,b16008013,b16008013_moe,b16008014,b16008014_moe,b16008015,b16008015_moe,b16008016,b16008016_moe,b16008017,b16008017_moe,b16008018,b16008018_moe,b16008019,b16008019_moe,b16008020,b16008020_moe,b16008021,b16008021_moe,b16008022,b16008022_moe,b16008023,b16008023_moe,b16008024,b16008024_moe,b16008025,b16008025_moe,b16008026,b16008026_moe,b16008027,b16008027_moe,b16008028,b16008028_moe,b16008029,b16008029_moe,b16008030,b16008030_moe,b16008031,b16008031_moe,b16008032,b16008032_moe,b16008033,b16008033_moe,b16008034,b16008034_moe,b16008035,b16008035_moe,b16008036,b16008036_moe,b16008037,b16008037_moe,b16008038,b16008038_moe,b16008039,b16008039_moe,b16008040,b16008040_moe,b16008041,b16008041_moe,b16008042,b16008042_moe,b16008043,b16008043_moe,b16008044,b16008044_moe,b16008045,b16008045_moe,b16008046,b16008046_moe,b16008047,b16008047_moe,b16008048,b16008048_moe,b16008049,b16008049_moe,b16008050,b16008050_moe,b16008051,b16008051_moe,b16008052,b16008052_moe,b16008053,b16008053_moe
BK09,Brooklyn Heights-Cobble Hill,21960,1113,17461,994,1428,349,1110,328,144,79,139,79,5,28,174,114,174,114,0,29,16033,881,14191,815,883,296,760,278,123,73,959,240,937,239,22,37,4499,548,2278,390,20,36,20,36,0,29,0,29,0,29,0,29,0,29,0,29,2258,390,820,246,276,136,212,127,64,53,1162,295,874,216,288,168,2221,356,20,41,20,41,0,29,0,29,0,29,0,29,0,29,0,29,2201,351,652,194,277,126,193,96,84,73,1272,273,1037,256,235,96
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,58445,1485,30994,1378,7437,685,3603,488,650,303,460,246,190,190,3184,445,2379,370,805,243,23557,1138,19491,1104,1503,317,1021,244,482,217,2563,391,2074,359,489,157,27451,1217,21826,1107,335,174,17,58,0,55,0,55,0,55,318,172,271,166,47,70,21491,1073,1679,359,691,244,342,173,349,165,19121,1050,6290,648,12831,889,5625,700,373,170,33,67,0,55,0,55,0,55,340,165,149,123,191,121,5252,639,384,183,315,161,109,77,206,142,4553,591,776,223,3777,547
BK19,Brighton Beach,30018,1191,8253,783,2968,440,625,220,650,216,246,128,404,172,1693,361,1409,339,284,119,5285,589,3343,488,663,217,469,171,194,130,1279,306,878,256,401,164,21765,1018,14321,816,216,124,0,38,74,94,8,39,66,93,142,85,117,75,25,55,14105,782,406,134,680,233,142,96,538,195,13019,770,3261,459,9758,670,7444,861,506,215,11,39,110,98,0,38,110,98,385,192,164,93,221,169,6938,782,123,79,1467,454,107,82,1360,439,5348,664,567,173,4781,638
BK21,Seagate-Coney Island,28669,1184,18347,1182,4775,612,3239,539,674,293,403,262,271,132,862,230,610,206,252,115,13572,928,9998,847,2608,468,1337,309,1271,315,966,252,594,182,372,163,10322,791,6891,606,140,81,0,38,32,51,0,38,32,51,108,72,25,52,83,60,6751,585,653,197,877,291,237,117,640,264,5221,534,744,183,4477,505,3431,530,196,147,0,38,9,39,9,39,0,38,187,146,128,135,59,59,3235,476,246,120,555,220,49,57,506,214,2434,416,255,125,2179,406
BK23,West Brighton,15101,661,5924,589,755,195,258,131,0,27,0,27,0,27,497,170,346,152,151,84,5169,556,4041,505,16,25,16,25,0,27,1112,342,611,182,501,297,9177,714,8253,693,135,90,0,27,31,54,0,27,31,54,104,75,38,37,66,70,8118,683,313,131,43,57,11,30,32,55,7762,695,2300,455,5462,558,924,315,26,38,0,27,0,27,0,27,0,27,26,38,13,31,13,32,898,309,99,87,1,24,1,24,0,27,798,295,243,159,555,234
BK25,Homecrest,39301,1320,21259,1147,6715,705,4125,604,435,233,126,79,309,223,2155,373,1554,293,601,217,14544,861,10111,755,491,191,306,126,185,134,3942,580,2544,420,1398,391,18042,1041,11968,825,381,188,94,93,0,48,0,48,0,48,287,169,209,126,78,80,11587,766,1346,245,521,239,205,108,316,216,9720,716,3090,392,6630,574,6074,715,446,157,16,49,48,68,0,48,48,68,382,144,229,114,153,99,5628,644,309,125,991,353,104,94,887,327,4328,548,1178,283,3150,451
BK26,Gravesend,26323,1155,13486,1074,3435,572,1970,514,393,192,170,110,223,144,1072,287,703,234,369,166,10051,811,6814,710,1262,347,699,232,563,224,1975,363,818,209,1157,330,12837,955,9216,781,119,77,30,45,35,65,0,36,35,65,54,44,43,46,11,33,9097,763,515,189,541,224,213,130,328,184,8041,730,1907,368,6134,627,3621,620,213,135,14,44,25,45,25,45,0,36,174,130,107,90,67,78,3408,577,151,82,396,227,44,50,352,230,2861,520,265,119,2596,475
BK27,Bath Beach,27504,1138,14850,930,3296,477,1431,353,293,170,124,106,169,133,1572,313,1022,241,550,187,11554,790,8270,677,858,275,498,176,360,198,2426,364,1816,324,610,214,12654,919,7916,663,244,131,0,40,28,60,9,41,19,50,216,122,154,95,62,64,7672,643,480,163,444,184,191,107,253,145,6748,623,1952,387,4796,474,4738,738,343,136,0,40,32,51,0,40,32,51,311,130,40,64,271,120,4395,686,116,69,738,374,30,52,708,369,3541,562,369,125,3172,535
BK28,Bensonhurst West,81501,2019,35162,1523,10430,820,3490,483,1449,397,889,332,560,197,5491,596,3725,495,1766,341,24732,1162,16046,1013,2211,372,1591,307,620,213,6475,630,4617,540,1858,343,46339,1745,24897,1169,755,250,49,79,0,64,0,64,0,64,706,240,322,124,384,198,24142,1102,1527,289,1309,324,245,117,1064,304,21306,1063,4776,466,16530,920,21442,1472,1853,364,26,69,431,216,154,129,277,168,1396,300,549,175,847,237,19589,1340,794,225,4318,868,517,208,3801,801,14477,1109,1824,312,12653,1022
BK29,Bensonhurst East,57739,1535,22893,1093,6527,622,1843,365,943,263,494,184,449,181,3741,479,2559,391,1182,276,16366,898,10790,798,1339,290,916,234,423,180,4237,506,2866,430,1371,292,34846,1382,20043,1048,533,166,21,54,56,86,56,86,0,51,456,152,282,115,174,107,19510,1013,913,218,1174,303,279,133,895,253,17423,977,4568,510,12855,819,14803,1214,1229,310,8,51,180,118,47,63,133,112,1041,287,184,93,857,276,13574,1071,405,144,2066,523,194,111,1872,491,11103,977,1591,310,9512,925
