area_id,area_name,c27001f001,c27001f001_moe,c27001f002,c27001f002_moe,c27001f003,c27001f003_moe,c27001f004,c27001f004_moe,c27001f005,c27001f005_moe,c27001f006,c27001f006_moe,c27001f007,c27001f007_moe,c27001f008,c27001f008_moe,c27001f009,c27001f009_moe,c27001f010,c27001f010_moe
BK09,Brooklyn Heights-Cobble Hill,682,272,44,56,16,37,28,51,572,239,501,221,71,92,66,77,66,77,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,936,439,342,243,342,243,0,55,518,230,453,220,65,83,76,79,76,79,0,55
BK19,Brighton Beach,689,421,132,119,132,119,0,38,541,338,242,169,299,272,16,41,16,41,0,38
BK21,Seagate-Coney Island,2573,668,623,258,558,249,65,77,1625,512,1351,438,274,162,325,188,325,188,0,38
BK23,West Brighton,1,24,0,27,0,27,0,27,1,24,1,24,0,27,0,27,0,27,0,27
BK25,Homecrest,1067,443,294,177,294,177,0,48,706,329,328,164,378,244,67,106,67,106,0,48
BK26,Gravesend,1673,581,682,356,507,307,175,206,905,283,574,240,331,237,86,92,86,92,0,36
BK27,Bath Beach,1687,652,559,264,499,253,60,79,1079,432,600,309,479,287,49,62,49,62,0,40
BK28,Bensonhurst West,4115,1058,1120,438,1052,422,68,89,2870,734,1819,561,1051,372,125,106,64,85,61,90
BK29,Bensonhurst East,2223,639,651,270,548,236,103,116,1453,439,903,311,550,244,119,106,119,106,0,51
BK30,Dyker Heights,1005,420,241,144,194,125,47,87,730,340,498,274,232,202,34,63,34,63,0,51
BK31,Bay Ridge,4605,887,1542,430,1459,422,83,110,2935,533,2159,442,776,296,128,104,128,104,0,66
BK32,Sunset Park West,16253,1544,4574,668,4279,659,295,176,10715,1039,5430,689,5285,772,964,238,940,235,24,54
BK33,Carroll Gardens-Columbia Street-Red Hook,4800,896,1016,375,842,324,174,211,3175,621,2308,447,867,366,609,258,608,258,1,43
BK34,Sunset Park East,10220,1323,2844,546,2667,525,177,113,6988,977,3934,625,3054,681,388,153,384,152,4,57
BK35,Stuyvesant Heights,5043,888,1330,385,1317,384,13,55,3186,598,2293,435,893,385,527,195,527,195,0,51
BK37,Park Slope-Gowanus,6577,1087,1407,441,1342,436,65,92,4514,767,3112,610,1402,437,656,197,609,188,47,87
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4023,741,883,373,776,359,107,115,2617,534,2135,505,482,186,523,197,523,197,0,42
BK40,Windsor Terrace,1319,507,290,241,290,241,0,32,943,329,802,299,141,98,86,62,86,62,0,32
BK41,Kensington-Ocean Parkway,3174,945,912,429,879,423,33,64,2149,625,1073,340,1076,488,113,72,85,69,28,49
BK42,Flatbush,11012,1665,2812,640,2602,606,210,144,7842,1199,4163,670,3679,918,358,167,358,167,0,68
BK43,Midwood,1787,633,500,254,491,254,9,55,1223,443,618,264,605,336,64,73,64,73,0,51
BK44,Madison,640,326,171,123,171,123,0,46,467,220,386,202,81,97,2,45,2,45,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1253,526,233,167,233,167,0,55,951,380,889,374,62,68,69,78,69,78,0,55
BK46,Ocean Parkway South,931,436,217,142,217,142,0,36,655,320,353,198,302,204,59,99,59,99,0,36
BK50,Canarsie,3710,826,975,347,896,341,79,92,2510,600,1974,513,536,263,225,119,204,116,21,74
BK58,Flatlands,1958,581,575,312,550,309,25,72,1285,369,1014,311,271,187,98,91,96,91,2,61
BK60,Prospect Lefferts Gardens-Wingate,3674,918,829,402,780,384,49,88,2587,640,1748,552,839,418,258,134,246,132,12,62
BK61,Crown Heights North,6302,1118,1523,411,1445,399,78,101,4454,818,3223,576,1231,439,325,150,312,149,13,69
BK63,Crown Heights South,1791,540,385,219,385,219,0,40,1318,419,766,261,552,319,88,87,88,87,0,40
BK64,Prospect Heights,1220,408,250,138,250,138,0,32,806,312,753,300,53,56,164,103,164,103,0,32
BK68,Fort Greene,2302,517,450,202,421,196,29,61,1674,418,1282,306,392,274,178,79,178,79,0,38
BK69,Clinton Hill,2637,587,664,280,607,227,57,97,1828,424,1211,311,617,275,145,80,145,80,0,40
BK72,Williamsburg,1182,447,325,190,314,189,11,38,635,244,519,208,116,111,222,120,222,120,0,36
BK73,North Side-South Side,3723,826,930,353,821,331,109,132,2366,523,1634,382,732,340,427,144,427,144,0,48
BK75,Bedford,6309,961,1799,414,1744,413,55,68,4110,685,2942,531,1168,382,400,127,399,127,1,55
BK76,Greenpoint,1714,432,198,140,164,115,34,62,1457,346,1030,334,427,274,59,63,48,60,11,43
BK77,Bushwick North,26474,1980,8018,834,7739,819,279,138,17326,1371,8971,830,8355,1093,1130,267,1106,265,24,58
BK78,Bushwick South,16587,1750,5150,804,4959,799,191,123,10293,1149,7108,900,3185,649,1144,232,1107,225,37,79
BK79,Ocean Hill,4005,819,1441,410,1406,412,35,58,2286,481,1902,389,384,181,278,119,278,119,0,38
BK81,Brownsville,4573,828,1538,416,1457,400,81,75,2784,528,2181,441,603,247,251,162,251,162,0,51
BK82,East New York,6986,1061,1825,432,1756,425,69,97,4675,742,3371,579,1304,393,486,162,478,158,8,64
BK83,Cypress Hills-City Line,6187,930,1554,380,1503,373,51,70,4109,610,3157,468,952,285,524,165,509,162,15,58
BK85,East New York (Pennsylvania Ave),4003,820,1635,424,1536,418,99,81,2165,498,1498,370,667,271,203,99,203,99,0,36
BK88,Borough Park,6101,1174,1773,466,1655,454,118,125,4161,823,1552,351,2609,700,167,113,167,113,0,68
BK90,East Williamsburg,4241,703,953,258,905,257,48,61,2766,517,2018,386,748,282,522,169,500,168,22,50
BK91,East Flatbush-Farragut,1051,413,348,195,302,182,46,89,642,261,452,190,190,134,61,65,61,65,0,54
BK93,Starrett City,869,603,305,237,305,237,0,24,491,387,491,387,0,24,73,80,73,80,0,24
BK95,Erasmus,1159,551,394,322,394,322,0,36,743,294,462,198,281,223,22,37,22,37,0,36
BK96,Rugby-Remsen Village,1245,473,467,236,439,232,28,68,710,269,529,212,181,130,68,98,68,98,0,54
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,12297,1268,4462,633,4233,645,229,170,7313,781,5875,682,1438,385,522,193,522,193,0,40
BX03,Eastchester-Edenwald-Baychester,5723,1116,2102,588,2062,593,40,50,3425,642,3018,600,407,164,196,135,196,135,0,40
BX05,Bedford Park-Fordham North,28480,1938,8979,981,8639,970,340,174,18349,1412,12037,1050,6312,950,1152,256,1128,254,24,59
BX06,Belmont,11030,1386,4102,713,3915,677,187,134,6634,841,4091,545,2543,619,294,123,294,123,0,34
BX07,Bronxdale,11144,1217,2750,479,2661,480,89,65,7747,949,4762,573,2985,826,647,204,571,185,76,62
BX08,West Farms-Bronx River,15390,1638,4525,744,4284,712,241,167,9886,1134,5558,725,4328,932,979,256,936,244,43,74
BX09,Soundview-Castle Hill-Clason Point-Harding Park,21726,1869,6521,886,6381,875,140,109,13281,1294,10552,1045,2729,641,1924,369,1884,362,40,74
BX10,Pelham Bay-Country Club-City Island,5252,942,1075,329,922,310,153,164,3826,707,3202,683,624,285,351,163,351,163,0,34
BX13,Co-op City,5348,1084,1104,359,1057,337,47,79,3655,828,2868,675,787,422,589,263,589,263,0,33
BX14,East Concourse-Concourse Village,25024,2138,7101,922,6795,896,306,160,16360,1539,11540,1155,4820,877,1563,323,1556,323,7,52
BX17,East Tremont,19110,1596,6404,779,6052,731,352,280,11576,1079,8561,778,3015,792,1130,245,1098,243,32,55
BX22,North Riverdale-Fieldston-Riverdale,2435,614,845,340,804,334,41,56,1476,346,1088,258,388,178,114,89,114,89,0,38
BX26,Highbridge,15764,1323,5043,679,4753,663,290,165,9879,874,7750,768,2129,430,842,202,824,201,18,48
BX27,Hunts Point,10604,991,3420,472,3353,473,67,56,6253,701,4325,520,1928,447,931,184,931,184,0,38
BX28,Van Cortlandt Village,21988,1614,5616,635,5158,621,458,217,15017,1246,10721,997,4296,822,1355,323,1324,318,31,65
BX29,Spuyten Duyvil-Kingsbridge,6065,820,1546,379,1475,366,71,101,4212,597,3590,540,622,294,307,153,296,153,11,38
BX30,Kingsbridge Heights,16792,1383,4496,586,4174,561,322,158,11410,1109,7778,844,3632,748,886,208,886,208,0,38
BX31,Allerton-Pelham Gardens,5674,919,1787,422,1680,415,107,104,3554,547,2873,499,681,254,333,161,333,161,0,42
BX33,Longwood,12113,1420,3778,649,3631,631,147,111,7417,936,5024,635,2393,694,918,230,918,230,0,36
BX34,Melrose South-Mott Haven North,14762,1613,4694,802,4616,794,78,64,8932,1024,6016,758,2916,651,1136,275,1073,260,63,81
BX35,Morrisania-Melrose,15891,1504,5175,691,4873,667,302,162,9729,961,7153,708,2576,544,987,260,956,255,31,62
BX36,University Heights-Morris Heights,25390,1720,7106,753,6692,735,414,198,17060,1247,11892,966,5168,851,1224,259,1173,251,51,76
