area_id,area_name,b10051i001,b10051i001_moe,b10051i002,b10051i002_moe,b10051i003,b10051i003_moe,b10051i004,b10051i004_moe,b10051i005,b10051i005_moe,b10051i006,b10051i006_moe,b10051i007,b10051i007_moe
BK09,Brooklyn Heights-Cobble Hill,0,29,0,29,0,29,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,72,84,7,55,0,55,7,55,65,84,65,84,0,55
BK19,Brighton Beach,104,80,0,38,0,38,0,38,104,80,66,71,38,53
BK21,Seagate-Coney Island,235,127,159,109,87,88,72,76,76,67,57,65,19,40
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,0,48,0,48,0,48,0,48,0,48,0,48,0,48
BK26,Gravesend,153,114,24,41,24,41,0,36,129,111,74,80,55,86
BK27,Bath Beach,25,52,25,52,25,52,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,149,92,37,67,15,64,22,66,112,90,52,76,60,78
BK29,Bensonhurst East,25,64,0,51,0,51,0,51,25,64,0,51,25,64
BK30,Dyker Heights,109,100,64,91,0,51,64,91,45,65,20,53,25,57
BK31,Bay Ridge,177,110,90,97,90,97,0,66,87,89,58,82,29,75
BK32,Sunset Park West,1144,278,462,181,385,165,77,72,682,207,472,189,210,100
BK33,Carroll Gardens-Columbia Street-Red Hook,189,104,112,86,112,86,0,45,77,68,37,59,40,54
BK34,Sunset Park East,770,220,239,120,197,115,42,67,531,176,245,114,286,134
BK35,Stuyvesant Heights,674,210,254,120,181,109,73,73,420,180,370,167,50,72
BK37,Park Slope-Gowanus,316,136,232,118,100,74,132,88,84,88,48,78,36,66
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,144,85,82,68,25,56,57,55,62,64,39,52,23,54
BK40,Windsor Terrace,72,64,72,64,25,49,47,52,0,32,0,32,0,32
BK41,Kensington-Ocean Parkway,52,62,28,56,28,56,0,40,24,48,14,45,10,41
BK42,Flatbush,710,256,308,189,247,176,61,87,402,176,271,152,131,101
BK43,Midwood,115,101,49,84,0,51,49,84,66,76,27,58,39,70
BK44,Madison,88,85,0,46,0,46,0,46,88,85,0,46,88,85
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,239,122,45,77,36,77,9,55,194,111,94,90,100,83
BK46,Ocean Parkway South,38,73,38,73,18,45,20,49,0,36,0,36,0,36
BK50,Canarsie,94,83,56,78,32,76,24,71,38,76,24,73,14,73
BK58,Flatlands,68,74,26,65,22,66,4,62,42,71,12,62,30,67
BK60,Prospect Lefferts Gardens-Wingate,209,125,27,69,0,58,27,69,182,119,0,58,182,119
BK61,Crown Heights North,420,210,157,121,125,101,32,76,263,185,47,84,216,166
BK63,Crown Heights South,101,76,51,60,31,57,20,44,50,59,50,59,0,40
BK64,Prospect Heights,82,81,0,32,0,32,0,32,82,81,0,32,82,81
BK68,Fort Greene,112,73,59,52,47,51,12,40,53,63,37,48,16,43
BK69,Clinton Hill,150,102,43,69,43,69,0,40,107,85,19,52,88,65
BK72,Williamsburg,85,72,11,38,11,38,0,36,74,71,10,36,64,65
BK73,North Side-South Side,843,224,275,129,90,73,185,113,568,181,281,130,287,139
BK75,Bedford,517,196,204,106,100,80,104,88,313,164,141,100,172,109
BK76,Greenpoint,24,45,10,41,5,42,5,41,14,42,3,40,11,43
BK77,Bushwick North,1604,330,610,226,498,208,112,91,994,237,712,208,282,115
BK78,Bushwick South,1735,360,696,231,560,214,136,89,1039,268,678,227,361,138
