area_id,area_name,b25012001,b25012001_moe,b25012002,b25012002_moe,b25012003,b25012003_moe,b25012004,b25012004_moe,b25012005,b25012005_moe,b25012006,b25012006_moe,b25012007,b25012007_moe,b25012008,b25012008_moe,b25012009,b25012009_moe,b25012010,b25012010_moe,b25012011,b25012011_moe,b25012012,b25012012_moe,b25012013,b25012013_moe,b25012014,b25012014_moe,b25012015,b25012015_moe,b25012016,b25012016_moe,b25012017,b25012017_moe
BX41,Mount Hope,16528,281,495,138,130,69,88,63,0,51,0,51,88,63,42,60,365,125,16033,306,7599,402,6747,398,1354,223,1336,218,4057,359,852,186,8434,409
BX43,Norwood,14192,278,862,186,364,139,327,131,31,47,56,51,240,131,37,52,498,140,13330,302,5672,380,5154,371,1128,227,1594,274,2432,299,518,179,7658,421
BX44,Williamsbridge-Olinville,20322,356,6328,388,2318,264,1645,234,304,114,326,117,1015,179,673,156,4010,323,13994,452,6120,411,5557,405,1209,238,1467,232,2881,329,563,142,7874,456
BX46,Parkchester,12590,286,2760,383,935,225,903,224,281,145,164,101,458,135,32,42,1825,328,9830,417,3326,372,3018,367,801,228,504,193,1713,332,308,129,6504,436
BX49,Pelham Parkway,11364,251,2957,263,856,179,814,177,140,92,133,72,541,152,42,48,2101,244,8407,311,2807,306,2703,305,981,257,477,165,1245,238,104,58,5600,362
BX52,Schuylerville-Throgs Neck-Edgewater Park,16655,351,8358,445,2263,289,2105,282,261,111,444,146,1400,256,158,86,6095,416,8297,483,2981,356,2709,344,388,153,851,219,1470,268,272,107,5316,434
BX55,Soundview-Bruckner,11247,273,1657,236,539,143,364,113,61,63,79,63,224,89,175,90,1118,194,9590,335,4465,328,3925,326,767,204,1023,205,2135,287,540,155,5125,357
BX59,Westchester-Unionport,8788,254,2212,241,1064,202,910,187,104,70,128,77,678,164,154,90,1148,180,6576,307,3263,294,3067,298,540,168,832,194,1695,267,196,110,3313,326
BX62,Woodlawn-Wakefield,15128,300,7122,407,2798,328,2109,296,206,92,440,170,1463,248,689,185,4324,334,8006,419,2896,322,2705,315,721,171,569,167,1415,252,191,92,5110,390
BX63,West Concourse,12795,234,371,120,68,67,68,67,0,42,29,60,39,51,0,42,303,109,12424,260,5745,412,5079,414,755,207,1542,272,2782,351,666,201,6679,427
