area_id,area_name,c21001b001,c21001b001_moe,c21001b002,c21001b002_moe,c21001b003,c21001b003_moe,c21001b004,c21001b004_moe,c21001b005,c21001b005_moe,c21001b006,c21001b006_moe,c21001b007,c21001b007_moe,c21001b008,c21001b008_moe,c21001b009,c21001b009_moe,c21001b010,c21001b010_moe,c21001b011,c21001b011_moe,c21001b012,c21001b012_moe,c21001b013,c21001b013_moe,c21001b014,c21001b014_moe,c21001b015,c21001b015_moe
BK09,Brooklyn Heights-Cobble Hill,1250,343,575,245,490,193,7,31,483,193,85,93,26,38,59,90,675,206,445,155,16,37,429,151,230,117,0,29,230,117
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3488,575,1441,363,1226,345,11,54,1215,345,215,104,81,81,134,84,2047,335,1631,308,56,76,1575,308,416,138,0,55,416,138
BK19,Brighton Beach,414,198,190,104,179,103,24,33,155,101,11,39,8,40,3,35,224,118,174,107,0,38,174,107,50,57,0,38,50,57
BK21,Seagate-Coney Island,8132,806,3303,562,2751,542,178,105,2573,531,552,174,194,115,358,139,4829,469,3824,465,15,43,3809,464,1005,205,0,38,1005,205
BK23,West Brighton,168,112,28,34,13,29,1,24,12,29,15,33,0,27,15,33,140,106,51,59,0,27,51,59,89,90,0,27,89,90
BK25,Homecrest,354,160,167,98,150,96,24,60,126,88,17,48,11,50,6,46,187,106,159,102,10,49,149,101,28,55,0,48,28,55
BK26,Gravesend,1697,332,608,181,501,154,52,61,449,153,107,88,0,36,107,88,1089,232,889,235,12,37,877,237,200,93,0,36,200,93
BK27,Bath Beach,376,188,170,109,96,87,0,40,96,87,74,77,5,39,69,78,206,105,197,106,11,42,186,105,9,38,0,40,9,38
BK28,Bensonhurst West,613,191,267,119,234,106,22,69,212,103,33,72,20,67,13,63,346,129,278,121,0,64,278,121,68,77,0,64,68,77
BK29,Bensonhurst East,507,194,306,130,262,118,10,52,252,117,44,63,6,49,38,64,201,116,166,111,0,51,166,111,35,56,0,51,35,56
BK30,Dyker Heights,470,207,159,91,145,90,30,58,115,84,14,51,7,51,7,51,311,159,259,153,0,51,259,153,52,64,0,51,52,64
BK31,Bay Ridge,1330,279,617,172,574,170,78,78,496,160,43,67,10,66,33,66,713,177,646,173,77,81,569,168,67,69,0,66,67,69
BK32,Sunset Park West,2520,412,1639,299,1598,297,144,95,1454,276,41,57,30,58,11,48,881,204,747,185,0,49,747,185,134,71,0,49,134,71
BK33,Carroll Gardens-Columbia Street-Red Hook,3442,483,1302,323,1147,302,104,81,1043,294,155,81,111,76,44,47,2140,349,1696,325,32,68,1664,315,444,131,0,45,444,131
BK34,Sunset Park East,1432,417,704,229,681,228,72,88,609,195,23,59,11,59,12,57,728,225,725,225,0,59,725,225,3,51,0,59,3,51
BK35,Stuyvesant Heights,36434,1428,15687,922,14070,886,947,215,13123,875,1617,259,422,126,1195,235,20747,910,17349,850,207,111,17142,845,3398,324,8,51,3390,323
BK37,Park Slope-Gowanus,4117,572,1958,340,1715,330,137,98,1578,309,243,89,68,66,175,81,2159,341,1709,301,36,63,1673,299,450,152,0,58,450,152
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,6608,632,2662,397,2431,388,188,101,2243,380,231,98,61,52,170,90,3946,432,3320,392,18,44,3302,390,626,135,0,42,626,135
BK40,Windsor Terrace,1254,366,525,195,391,156,44,56,347,148,134,81,28,41,106,78,729,222,597,208,0,32,597,208,132,77,0,32,132,77
BK41,Kensington-Ocean Parkway,2399,517,1139,299,884,252,34,51,850,245,255,126,48,73,207,101,1260,296,1004,272,0,40,1004,272,256,103,0,40,256,103
BK42,Flatbush,41110,1556,16858,936,15179,906,555,195,14624,902,1679,246,202,93,1477,232,24252,1079,20948,1044,57,83,20891,1042,3304,339,0,68,3304,339
BK43,Midwood,2170,459,1026,349,983,347,10,51,973,347,43,54,0,51,43,54,1144,224,975,202,0,51,975,202,169,81,0,51,169,81
BK44,Madison,348,194,157,118,157,118,11,49,146,117,0,46,0,46,0,46,191,110,187,111,0,46,187,111,4,41,0,46,4,41
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4138,595,1852,314,1676,293,117,93,1559,292,176,104,7,55,169,105,2286,409,2033,369,14,58,2019,367,253,121,0,55,253,121
