area_id,area_name,b20017g001,b20017g001_moe,b20017g002,b20017g002_moe,b20017g003,b20017g003_moe,b20017g004,b20017g004_moe,b20017g005,b20017g005_moe,b20017g006,b20017g006_moe,b20017g007,b20017g007_moe
BK34,Sunset Park East,21845,7128,17159,6582,17159,11833,12500,17594,30625,14697,40240,156,30104,37705
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,54485,8600,44545,24385,54091,26117,23611,6782,57237,8125,60927,24747,22109,37733
BK68,Fort Greene,50909,37973,7024,9981,50114,47639,6399,324,103269,42344,103269,34878,128750,362477
BK69,Clinton Hill,31875,30837,31667,99614,83793,77912,14327,19851,37708,42649,41591,37948,13333,4067
BX08,West Farms-Bronx River,48965,10781,57605,34074,48417,37369,53765,79197,55867,21280,189182,53550,32944,37808
BX13,Co-op City,25268,36558,9026,13593,88024,53596,4648,6881,51563,31170,54340,3437,5219,92
BX27,Hunts Point,4897,30684,26458,34454,27208,61027,4100,37740,4253,10553,19226,148308,3750,548
BX37,Van Nest-Morris Park-Westchester Square,20375,13369,22063,23932,40375,37842,6774,880,13313,9479,26500,4264,6648,5071
MN01,Marble Hill-Inwood,45648,23477,29375,10953,30461,9556,18417,43811,46806,14406,47477,43332,22583,2034
MN04,Hamilton Heights,85424,36225,90271,44300,126763,64045,35283,60484,82643,54231,103030,69170,130813,132710
MN06,Manhattanville,33858,15374,35421,5442,66215,8155,25142,3437,47846,43952,58214,30642,23137,15575
MN09,Morningside Heights,54230,47546,31369,92947,90564,29313,10594,13460,63328,25685,135784,75862,11181,5199
MN11,Central Harlem South,17448,54919,17005,50659,52176,24223,16133,705,41250,39025,142500,551379,28750,64295
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,29288,18367,56105,9973,58788,57706,27788,170,18277,18268,18977,54536,4913,33259
MN28,Lower East Side,72273,50769,117889,178979,172667,283414,75539,251387,53849,20169,73180,50845,11372,7674
MN36,Washington Heights South,40976,24839,46482,38824,68307,112868,31541,126623,38989,17237,101143,96525,23102,18760
QN03,Springfield Gardens South-Brookville,14083,32715,13250,32171,90250,155893,6797,10849,40568,59928,41761,65722,8250,10102
QN06,Jamaica Estates-Holliswood,23770,21700,13750,63691,100536,81708,3333,1756,24167,5520,67969,69406,22581,30033
QN07,Hollis,16250,13834,26786,14405,35385,29910,10667,15572,15592,21589,38000,64455,15329,14069
QN15,Far Rockaway-Bayswater,30923,22229,17040,26448,31875,33142,8500,3206,38417,53319,38583,57865,14886,124342
QN28,Jackson Heights,40739,14745,41080,15578,53250,26571,21111,17577,39063,25878,53889,6182,20938,18895
QN34,Queens Village,14518,6349,9321,7243,24583,39243,8607,1387,14934,37247,53403,23731,13947,610
QN53,Woodhaven,47619,49589,48512,43622,48333,25843,65197,121901,17344,80161,59688,17703,13705,261
QN54,Richmond Hill,40905,14881,33655,21697,64833,42564,22455,12193,41000,59353,67841,50690,12083,7039
QN55,South Ozone Park,12083,7917,15114,15908,16989,27393,6736,18173,9712,9643,37708,45613,8510,4295
QN61,Jamaica,11042,16698,8304,5376,14545,24022,3977,5962,12361,35275,52969,55596,4167,3248
QN72,Steinway,36053,4702,36000,11769,43542,9236,30385,2071,36111,39544,41250,15183,5250,7047
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,28462,22262,30313,44848,50481,67475,14821,7840,20804,26189,59773,91483,4450,18418
