area_id,area_name,b25061001,b25061001_moe,b25061002,b25061002_moe,b25061003,b25061003_moe,b25061004,b25061004_moe,b25061005,b25061005_moe,b25061006,b25061006_moe,b25061007,b25061007_moe,b25061008,b25061008_moe,b25061009,b25061009_moe,b25061010,b25061010_moe,b25061011,b25061011_moe,b25061012,b25061012_moe,b25061013,b25061013_moe,b25061014,b25061014_moe,b25061015,b25061015_moe,b25061016,b25061016_moe,b25061017,b25061017_moe,b25061018,b25061018_moe,b25061019,b25061019_moe,b25061020,b25061020_moe,b25061021,b25061021_moe,b25061022,b25061022_moe
BK09,Brooklyn Heights-Cobble Hill,84,89,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,48,81,0,29,15,37,21,43
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,667,206,0,55,0,55,9,55,0,55,33,74,0,55,0,55,0,55,9,55,45,74,25,67,38,72,0,55,51,98,35,67,122,108,37,79,71,88,120,85,47,74,25,68
BK19,Brighton Beach,560,193,0,38,0,38,43,76,0,38,0,38,0,38,0,38,16,45,39,66,0,38,0,38,13,42,0,38,0,38,0,38,15,43,90,71,78,81,105,88,136,103,25,53
BK21,Seagate-Coney Island,476,160,0,38,0,38,0,38,36,43,20,49,34,51,0,38,21,49,14,42,28,56,0,38,0,38,30,59,23,51,0,38,59,50,25,53,97,98,14,43,75,67,0,38
BK23,West Brighton,134,131,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,49,80,0,27,0,27,0,27,27,49,0,27,0,27,58,95,0,27
BK25,Homecrest,458,162,4,47,0,48,0,48,0,48,0,48,0,48,0,48,0,48,6,51,12,50,0,48,22,58,0,48,0,48,25,62,76,82,25,62,158,107,123,93,7,48,0,48
BK26,Gravesend,106,85,0,36,0,36,0,36,0,36,0,36,0,36,17,41,0,36,0,36,34,62,0,36,0,36,0,36,0,36,0,36,0,36,16,43,13,40,0,36,26,54,0,36
BK27,Bath Beach,354,144,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,21,51,0,40,86,106,17,46,138,89,92,78,0,40,0,40
BK28,Bensonhurst West,796,207,0,64,18,65,0,64,0,64,0,64,0,64,0,64,0,64,0,64,74,86,19,69,46,80,28,76,0,64,18,68,76,84,128,108,115,91,172,111,102,96,0,64
BK29,Bensonhurst East,669,184,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,19,58,15,56,0,51,10,52,0,51,0,51,19,58,43,68,100,79,323,138,121,85,19,58,0,51
BK30,Dyker Heights,370,129,0,51,0,51,0,51,7,49,16,55,0,51,0,51,24,63,0,51,0,51,0,51,49,74,0,51,17,56,0,51,17,55,29,58,119,84,54,68,33,66,5,50
BK31,Bay Ridge,778,214,0,66,0,66,23,75,0,66,0,66,10,66,0,66,0,66,0,66,0,66,35,84,0,66,0,66,11,67,20,72,51,79,73,87,234,127,183,131,103,101,35,76
BK32,Sunset Park West,577,164,0,49,0,49,0,49,0,49,0,49,0,49,0,49,9,50,0,49,54,66,0,49,0,49,15,54,0,49,0,49,50,69,0,49,206,103,127,84,95,77,21,59
BK33,Carroll Gardens-Columbia Street-Red Hook,427,174,0,45,0,45,58,83,25,58,0,45,0,45,55,69,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,12,48,10,46,43,70,56,75,29,65,139,107
BK34,Sunset Park East,534,152,0,59,0,59,0,59,0,59,0,59,0,59,20,66,0,59,0,59,0,59,0,59,20,65,0,59,14,60,20,60,24,67,91,83,129,90,158,95,42,67,16,62
BK35,Stuyvesant Heights,1563,259,0,51,29,58,8,51,36,62,84,78,27,66,25,62,18,57,29,66,56,65,0,51,89,79,17,57,90,74,41,59,56,71,93,76,317,118,411,140,107,86,30,60
BK37,Park Slope-Gowanus,659,212,18,63,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,29,73,0,58,0,58,30,73,0,58,10,58,23,67,12,59,28,70,250,145,259,142
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,324,126,0,42,0,42,0,42,0,42,22,52,0,42,0,42,0,42,17,48,0,42,0,42,22,54,24,55,30,61,15,46,0,42,0,42,18,49,32,56,0,42,144,83
BK40,Windsor Terrace,149,106,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,16,39,0,32,0,32,0,32,0,32,0,32,18,41,36,63,29,43,50,73
