area_id,area_name,b11002f001,b11002f001_moe,b11002f002,b11002f002_moe,b11002f003,b11002f003_moe,b11002f004,b11002f004_moe,b11002f005,b11002f005_moe,b11002f006,b11002f006_moe,b11002f007,b11002f007_moe,b11002f008,b11002f008_moe,b11002f009,b11002f009_moe,b11002f010,b11002f010_moe,b11002f011,b11002f011_moe,b11002f012,b11002f012_moe
BK09,Brooklyn Heights-Cobble Hill,325,244,248,231,60,95,60,95,0,29,0,29,0,29,0,29,188,213,188,213,0,29,77,79
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,869,462,817,460,435,326,435,326,0,55,0,55,0,55,0,55,382,330,382,330,0,55,52,72
BK19,Brighton Beach,666,424,666,424,428,343,428,343,0,38,144,233,144,233,0,38,94,114,94,114,0,38,0,38
BK21,Seagate-Coney Island,2510,664,2285,653,1023,451,1023,451,0,38,208,302,208,302,0,38,1054,423,994,393,60,68,225,113
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,1024,446,850,374,514,297,514,297,0,48,0,48,0,48,0,48,336,235,312,220,24,53,174,247
BK26,Gravesend,1822,682,1732,680,1044,522,978,494,66,112,30,57,30,57,0,36,658,566,658,566,0,36,90,65
BK27,Bath Beach,1664,653,1574,645,1036,516,1007,508,29,51,107,145,97,130,10,41,431,358,431,358,0,40,90,113
BK28,Bensonhurst West,4053,1057,3460,1008,2828,919,2671,867,157,204,326,364,230,279,96,122,306,196,306,196,0,64,593,343
BK29,Bensonhurst East,2092,633,1940,625,1654,579,1508,535,146,127,66,111,50,89,16,56,220,210,181,173,39,65,152,100
BK30,Dyker Heights,1056,431,826,386,551,334,551,334,0,51,57,106,57,106,0,51,218,181,218,181,0,51,230,203
BK31,Bay Ridge,4436,904,3843,888,1768,567,1768,567,0,66,543,437,452,364,91,112,1532,582,1427,543,105,106,593,188
BK32,Sunset Park West,16516,1583,14478,1565,7846,1283,7659,1249,187,157,2376,769,2040,661,336,152,4256,866,4066,832,190,95,2038,482
BK33,Carroll Gardens-Columbia Street-Red Hook,4850,969,4136,957,1833,692,1806,681,27,61,410,262,359,243,51,60,1893,621,1893,621,0,45,714,248
BK34,Sunset Park East,10198,1326,9399,1318,5306,1065,4989,1001,317,189,1398,613,1057,430,341,261,2695,699,2576,664,119,126,799,256
BK35,Stuyvesant Heights,4581,884,4001,878,1666,564,1614,545,52,76,347,278,320,263,27,59,1988,673,1804,577,184,169,580,191
BK37,Park Slope-Gowanus,6310,1097,5110,1077,2899,758,2879,756,20,60,580,386,521,337,59,86,1631,688,1567,658,64,87,1200,361
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3837,802,3264,808,971,554,971,554,0,42,89,99,89,99,0,42,2204,646,2090,589,114,127,573,163
BK40,Windsor Terrace,1179,518,1047,506,724,476,724,476,0,32,60,93,60,93,0,32,263,227,263,227,0,32,132,81
BK41,Kensington-Ocean Parkway,3280,977,2991,977,1492,616,1492,616,0,40,467,305,454,299,13,42,1032,739,962,713,70,119,289,157
BK42,Flatbush,11261,1721,10350,1705,5838,1341,5576,1290,262,234,1736,856,1499,760,237,157,2776,867,2426,767,350,210,911,348
BK43,Midwood,1727,634,1480,636,818,507,799,495,19,59,150,246,150,246,0,51,512,306,492,298,20,59,247,181
BK44,Madison,636,331,570,325,225,183,225,183,0,46,28,62,28,62,0,46,317,270,317,270,0,46,66,76
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1204,645,1150,642,485,420,485,420,0,55,200,158,168,146,32,60,465,463,446,430,19,65,54,81
BK46,Ocean Parkway South,913,436,862,434,649,386,649,386,0,36,49,83,49,83,0,36,164,179,164,179,0,36,51,57
BK50,Canarsie,3602,835,3492,839,1490,583,1490,583,0,70,580,436,557,428,23,76,1422,489,1396,468,26,81,110,90
BK58,Flatlands,1719,566,1609,562,920,388,900,380,20,65,131,181,131,181,0,62,558,376,558,376,0,62,110,91
BK60,Prospect Lefferts Gardens-Wingate,3439,876,2883,864,1339,661,1183,576,156,222,235,308,169,215,66,113,1309,634,1286,616,23,66,556,192
BK61,Crown Heights North,5984,1119,4995,1069,1465,699,1465,699,0,67,550,359,510,327,40,80,2980,796,2868,750,112,138,989,345
