area_id,area_name,b11003001,b11003001_moe,b11003002,b11003002_moe,b11003003,b11003003_moe,b11003004,b11003004_moe,b11003005,b11003005_moe,b11003006,b11003006_moe,b11003007,b11003007_moe,b11003008,b11003008_moe,b11003009,b11003009_moe,b11003010,b11003010_moe,b11003011,b11003011_moe,b11003012,b11003012_moe,b11003013,b11003013_moe,b11003014,b11003014_moe,b11003015,b11003015_moe,b11003016,b11003016_moe,b11003017,b11003017_moe,b11003018,b11003018_moe,b11003019,b11003019_moe,b11003020,b11003020_moe
BK09,Brooklyn Heights-Cobble Hill,4784,381,4255,353,1570,197,808,159,237,97,525,148,2685,315,529,172,250,120,52,37,12,28,0,29,40,38,198,116,279,123,114,71,42,40,0,29,72,61,165,105
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,16523,502,12082,523,4638,418,1366,268,796,242,2476,318,7444,438,4441,416,1175,260,475,179,81,87,130,107,264,139,700,190,3266,371,1253,290,144,105,201,135,908,241,2013,293
BK19,Brighton Beach,7845,429,5809,409,2365,306,676,198,571,180,1118,212,3444,318,2036,278,549,164,107,82,0,38,14,43,93,80,442,145,1487,249,340,144,5,37,26,44,309,140,1147,221
BK21,Seagate-Coney Island,7427,357,4209,374,1344,243,163,99,368,128,813,200,2865,327,3218,351,405,170,74,64,11,40,0,38,63,62,331,161,2813,337,1381,247,171,102,301,129,909,207,1432,245
BK23,West Brighton,4649,296,3533,312,671,176,183,108,56,50,432,163,2862,288,1116,216,177,83,12,30,12,30,0,27,0,27,165,82,939,211,283,132,66,73,0,27,217,109,656,169
BK25,Homecrest,10589,403,8622,401,3601,330,661,168,1176,215,1764,237,5021,365,1967,273,608,157,159,90,59,74,0,48,100,71,449,134,1359,235,598,170,105,75,121,89,372,130,761,161
BK26,Gravesend,7477,394,5457,414,1969,293,513,169,342,133,1114,227,3488,364,2020,281,379,125,0,36,0,36,0,36,0,36,379,125,1641,258,571,179,101,74,87,101,383,138,1070,197
BK27,Bath Beach,7451,351,5910,355,2548,276,717,174,621,159,1210,212,3362,305,1541,224,458,132,43,46,14,44,10,41,19,39,415,130,1083,180,349,148,24,42,37,51,288,139,734,170
BK28,Bensonhurst West,21426,577,16821,578,7946,492,1923,280,1652,269,4371,400,8875,496,4605,411,1521,252,546,178,190,121,66,88,290,121,975,188,3084,346,1092,211,287,114,94,85,711,180,1992,276
BK29,Bensonhurst East,15789,469,12191,494,5174,389,1361,235,1036,226,2777,308,7017,429,3598,354,1254,222,264,100,30,55,54,63,180,89,990,206,2344,292,750,174,85,75,46,63,619,161,1594,238
