area_id,area_name,c15002d001,c15002d001_moe,c15002d002,c15002d002_moe,c15002d003,c15002d003_moe,c15002d004,c15002d004_moe,c15002d005,c15002d005_moe,c15002d006,c15002d006_moe,c15002d007,c15002d007_moe,c15002d008,c15002d008_moe,c15002d009,c15002d009_moe,c15002d010,c15002d010_moe,c15002d011,c15002d011_moe
BK09,Brooklyn Heights-Cobble Hill,1443,335,462,160,0,29,39,66,50,40,373,142,981,232,27,34,11,35,126,105,817,208
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,6853,769,3185,385,1103,251,591,174,461,150,1030,209,3668,451,1284,226,728,179,668,192,988,238
BK19,Brighton Beach,2709,448,1467,269,243,98,413,139,259,141,552,165,1242,229,195,79,331,111,254,105,462,136
BK21,Seagate-Coney Island,2173,428,1232,313,446,129,270,111,185,92,331,201,941,185,563,154,135,75,138,58,105,66
BK23,West Brighton,97,87,57,58,19,33,10,29,0,27,28,37,40,40,11,30,0,27,21,33,8,28
BK25,Homecrest,2885,501,1425,275,592,179,390,144,152,93,291,123,1460,254,596,174,297,114,148,82,419,130
BK26,Gravesend,4518,633,2219,339,1048,218,530,166,211,96,430,130,2299,329,1107,237,435,113,349,121,408,128
BK27,Bath Beach,6036,685,2821,344,999,191,672,175,416,131,734,180,3215,394,1225,242,750,182,422,142,818,192
BK28,Bensonhurst West,21480,1241,10745,659,4564,479,2676,307,1400,273,2105,285,10735,676,4528,450,2781,329,1545,263,1881,268
BK29,Bensonhurst East,16043,1082,7920,570,3414,429,1788,279,1057,208,1661,258,8123,594,3767,411,1523,253,1066,214,1767,272
BK30,Dyker Heights,10651,900,5020,468,2719,347,1150,246,407,125,744,172,5631,525,3080,387,1053,252,494,130,1004,214
BK31,Bay Ridge,8397,789,3868,435,1032,206,604,195,590,159,1642,273,4529,447,1305,237,631,158,604,161,1989,286
BK32,Sunset Park West,5863,717,2718,428,1372,280,353,143,320,122,673,176,3145,394,1634,273,419,132,229,94,863,203
BK33,Carroll Gardens-Columbia Street-Red Hook,1828,426,795,278,54,58,82,76,58,67,601,260,1033,233,60,57,106,87,93,66,774,202
BK34,Sunset Park East,23262,1199,11745,680,7655,565,1987,327,825,202,1278,242,11517,633,7652,536,1827,297,672,180,1366,253
