area_id,area_name,b25032h001,b25032h001_moe,b25032h002,b25032h002_moe,b25032h003,b25032h003_moe,b25032h004,b25032h004_moe,b25032h005,b25032h005_moe,b25032h006,b25032h006_moe,b25032h007,b25032h007_moe,b25032h008,b25032h008_moe,b25032h009,b25032h009_moe,b25032h010,b25032h010_moe,b25032h011,b25032h011_moe
BK09,Brooklyn Heights-Cobble Hill,9144,391,36,43,386,143,365,138,857,184,1320,218,1044,202,1598,237,3538,301,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,18887,473,3021,282,2511,281,3582,374,1257,241,422,128,286,120,1607,217,6160,388,24,57,17,55
BK19,Brighton Beach,10943,367,307,112,382,123,813,193,753,183,240,110,175,69,1667,250,6606,367,0,38,0,38
BK21,Seagate-Coney Island,4195,319,390,131,209,80,419,123,270,134,192,93,71,60,246,96,2374,255,24,55,0,38
BK23,West Brighton,7774,236,9,29,9,28,19,29,81,74,16,34,18,33,357,131,7265,265,0,27,0,27
BK25,Homecrest,12875,369,1672,221,1317,191,2450,273,1167,222,276,95,264,99,1418,192,4284,281,19,50,8,48
BK26,Gravesend,7063,326,447,122,313,95,1252,219,1255,216,142,84,129,71,513,186,3003,278,9,36,0,36
BK27,Bath Beach,6932,352,521,150,750,140,1826,218,1183,194,489,145,461,109,1060,181,642,135,0,40,0,40
BK28,Bensonhurst West,17149,493,987,173,1490,211,3773,329,3953,370,1299,211,758,160,2536,274,2318,237,35,67,0,64
BK29,Bensonhurst East,12634,439,693,143,1054,167,2730,288,2797,312,908,190,377,116,2137,233,1907,220,27,64,4,50
BK30,Dyker Heights,9380,346,1196,194,2035,212,2834,285,1672,242,475,110,413,126,423,99,309,101,23,57,0,51
BK31,Bay Ridge,25268,550,1955,242,2704,264,3903,381,1835,260,2134,279,958,168,4640,376,7133,378,6,66,0,66
BK32,Sunset Park West,4017,292,105,75,428,118,1007,197,915,157,707,156,214,84,237,94,404,116,0,49,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,11355,427,207,107,788,176,1763,249,4403,374,1996,251,690,170,873,177,563,145,72,92,0,45
BK34,Sunset Park East,4068,307,122,84,238,86,1101,181,869,184,496,132,449,122,656,146,137,83,0,59,0,59
BK35,Stuyvesant Heights,1214,203,53,63,56,57,302,115,533,146,190,93,34,57,22,61,24,57,0,51,0,51
BK37,Park Slope-Gowanus,21836,607,418,153,2613,318,3131,346,5042,418,5412,456,2019,290,1788,234,1392,200,21,58,0,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,7248,345,123,74,397,106,950,181,1432,217,841,157,279,103,816,161,2410,235,0,42,0,42
BK40,Windsor Terrace,6764,317,281,105,1009,198,1420,206,897,164,522,160,203,73,709,166,1723,207,0,32,0,32
BK41,Kensington-Ocean Parkway,6799,362,453,119,270,94,825,161,935,190,219,113,250,103,965,189,2882,299,0,40,0,40
BK42,Flatbush,9164,454,1431,184,309,103,974,200,375,132,207,104,170,90,1488,239,4210,364,0,68,0,68
