area_id,area_name,b19025h001,b19025h001_moe
BK09,Brooklyn Heights-Cobble Hill,1677695900,157804457
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1324154800,64757029
BK19,Brighton Beach,575258500,45754110
BK21,Seagate-Coney Island,182043100,23928178
BK23,West Brighton,429469700,41779124
BK25,Homecrest,849587800,53112332
BK26,Gravesend,371978800,34100663
BK27,Bath Beach,473568000,55901961
BK28,Bensonhurst West,997247700,47963424
BK29,Bensonhurst East,716637700,44427794
BK30,Dyker Heights,742018100,44583791
BK31,Bay Ridge,2054621300,84861392
BK32,Sunset Park West,285938100,30208672
BK33,Carroll Gardens-Columbia Street-Red Hook,1556414700,111494812
BK34,Sunset Park East,246716400,26679987
BK35,Stuyvesant Heights,86827200,20240835
BK37,Park Slope-Gowanus,3243944000,156502716
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1165048900,107006665
BK40,Windsor Terrace,712316800,58593505
BK41,Kensington-Ocean Parkway,391242700,34693120
BK42,Flatbush,648898200,49844132
BK43,Midwood,1100129700,64016044
BK44,Madison,830628600,46842944
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1192199800,68471717
BK46,Ocean Parkway South,422294700,35411253
BK50,Canarsie,113708500,18279524
BK58,Flatlands,330283100,30147394
BK60,Prospect Lefferts Gardens-Wingate,176499100,29245032
BK61,Crown Heights North,326346300,39589366
BK63,Crown Heights South,174460500,24544755
BK64,Prospect Heights,609338400,56378469
BK68,Fort Greene,447337400,56256531
BK69,Clinton Hill,527770300,56091642
BK72,Williamsburg,218224600,23701125
BK73,North Side-South Side,1009373900,83092004
BK75,Bedford,263133300,30717702
BK76,Greenpoint,983698200,82560117
BK77,Bushwick North,183319300,28011893
BK78,Bushwick South,183021200,26897818
BK79,Ocean Hill,4310400,2948578
BK81,Brownsville,2256000,1615501
BK82,East New York,6992100,4069639
BK83,Cypress Hills-City Line,51430100,12476636
BK85,East New York (Pennsylvania Ave),862600,1149230
BK88,Borough Park,1216867600,62041816
BK90,East Williamsburg,573943000,42191724
BK91,East Flatbush-Farragut,11941100,5887703
BK93,Starrett City,52836900,14137861
BK96,Rugby-Remsen Village,1298800,1522205
BK99,park-cemetery-etc-Brooklyn,5595300,4170939
BX03,Eastchester-Edenwald-Baychester,18046600,9447463
BX05,Bedford Park-Fordham North,72179200,13718938
BX06,Belmont,31913700,6963786
BX07,Bronxdale,106353700,19856985
BX08,West Farms-Bronx River,8849900,4249068
BX09,Soundview-Castle Hill-Clason Point-Harding Park,4857400,3273202
BX10,Pelham Bay-Country Club-City Island,539454800,50833430
BX13,Co-op City,101782700,38403662
BX14,East Concourse-Concourse Village,14750100,10552149
BX17,East Tremont,5003100,2824579
BX22,North Riverdale-Fieldston-Riverdale,956763100,94712680
BX26,Highbridge,2354000,2584449
BX27,Hunts Point,1085900,682426
BX28,Van Cortlandt Village,166325700,24841020
BX29,Spuyten Duyvil-Kingsbridge,706690800,53967250
BX30,Kingsbridge Heights,17649200,6831273
BX31,Allerton-Pelham Gardens,251226000,29370355
BX33,Longwood,1553900,1193393
BX34,Melrose South-Mott Haven North,3614600,3504135
BX36,University Heights-Morris Heights,3330500,2478802
BX37,Van Nest-Morris Park-Westchester Square,176273000,19314239
BX39,Mott Haven-Port Morris,11725100,4794290
BX40,Fordham South,2510300,2760374
BX41,Mount Hope,15976700,18685341
BX43,Norwood,125601100,21387872
BX44,Williamsbridge-Olinville,19326900,6968053
BX46,Parkchester,35874600,12581229
BX49,Pelham Parkway,280380300,28333584
BX52,Schuylerville-Throgs Neck-Edgewater Park,693356900,49089605
BX55,Soundview-Bruckner,14065000,9105705
BX59,Westchester-Unionport,22559600,6314720
BX62,Woodlawn-Wakefield,238114500,21163157
BX63,West Concourse,9801800,5245346
BX99,park-cemetery-etc-Bronx,3646400,2324940
MN01,Marble Hill-Inwood,349816600,38621324
MN03,Central Harlem North-Polo Grounds,309507100,52239775
MN04,Hamilton Heights,270352000,46979080
MN06,Manhattanville,55326400,16634031
MN09,Morningside Heights,1272743100,102856616
MN11,Central Harlem South,435364600,54363923
MN12,Upper West Side,9266230900,469827706
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,5255512900,379740247
MN14,Lincoln Square,4990893300,314860657
MN15,Clinton,1803032800,145373226
MN17,Midtown-Midtown South,2179059700,202148980
MN19,Turtle Bay-East Midtown,4474856200,319480672
MN20,Murray Hill-Kips Bay,2900063600,224068437
MN21,Gramercy,1697197700,142505536
MN22,East Village,1658867100,132076037
MN23,West Village,5743439500,346366956
MN24,SoHo-TriBeCa-Civic Center-Little Italy,3129347800,287253687
MN25,Battery Park City-Lower Manhattan,2600701700,230027900
MN27,Chinatown,434559300,57161373
MN28,Lower East Side,1010010300,100288003
MN31,Lenox Hill-Roosevelt Island,5979637500,401373262
MN32,Yorkville,5241184100,304105228
MN33,East Harlem South,679769300,84619589
MN34,East Harlem North,175365200,36662330
MN35,Washington Heights North,804390700,70019249
MN36,Washington Heights South,327944100,44401154
MN40,Upper East Side-Carnegie Hill,7936652100,453889227
MN50,Stuyvesant Town-Cooper Village,1028238200,118825074
QN01,South Jamaica,2021200,2667196
QN02,Springfield Gardens North,3659800,2649822
QN05,Rosedale,40943800,12023811
QN06,Jamaica Estates-Holliswood,329003400,74972001
QN07,Hollis,8017300,4984662
QN08,St. Albans,2073500,2241742
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,892800000,54783729
QN12,Hammels-Arverne-Edgemere,126462200,22804255
QN15,Far Rockaway-Bayswater,278052600,33604723
QN17,Forest Hills,2257230700,134092317
QN18,Rego Park,434543700,39944683
QN19,Glendale,587797000,38896170
QN20,Ridgewood,680859100,43021368
QN21,Middle Village,975341400,50201113
QN22,Flushing,164250300,22060988
QN23,College Point,246800200,28659795
QN25,Corona,116545100,22693919
QN26,North Corona,13982300,6694944
QN27,East Elmhurst,11969000,6257717
QN28,Jackson Heights,654720600,53106788
QN29,Elmhurst,169666500,35810348
QN30,Maspeth,508381800,31333661
QN31,Hunters Point-Sunnyside-West Maspeth,1030705900,67631813
QN33,Cambria Heights,950100,1412897
QN34,Queens Village,94933800,14447522
QN35,Briarwood-Jamaica Hills,238829700,32327538
QN37,Kew Gardens Hills,576978000,57901675
QN38,Pomonok-Flushing Heights-Hillcrest,339453600,36561569
QN41,Fresh Meadows-Utopia,223401000,28762773
QN42,Oakland Gardens,541916200,41915624
QN43,Bellerose,358364800,37807198
QN44,Glen Oaks-Floral Park-New Hyde Park,525646400,52020488
QN45,Douglas Manor-Douglaston-Little Neck,660178300,55983645
QN46,Bayside-Bayside Hills,831305300,53069571
QN47,Ft. Totten-Bay Terrace-Clearview,666277300,60877789
QN48,Auburndale,280362700,25014329
QN49,Whitestone,798814900,52912341
QN50,Elmhurst-Maspeth,131402100,20919019
QN51,Murray Hill,530074600,43440735
QN52,East Flushing,209363700,26286439
QN53,Woodhaven,302942900,31914372
QN54,Richmond Hill,187721900,24736495
QN55,South Ozone Park,141961300,20005053
QN56,Ozone Park,179129400,23028167
QN57,Lindenwood-Howard Beach,741587700,61054086
QN60,Kew Gardens,420104400,40590544
QN61,Jamaica,33069100,9891033
QN62,Queensboro Hill,111758000,20172539
QN63,Woodside,374474100,35891137
QN66,Laurelton,11558800,5673374
QN68,Queensbridge-Ravenswood-Long Island City,94174500,15997975
QN70,Astoria,1398211100,73854652
QN71,Old Astoria,415189000,47251817
QN72,Steinway,1054864000,56442257
QN99,park-cemetery-etc-Queens,2238700,1837541
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,942580000,62822702
SI05,New Springville-Bloomfield-Travis,878330500,63174052
SI07,Westerleigh,725197300,44511068
SI08,Grymes Hill-Clifton-Fox Hills,186981100,26723738
SI11,Charleston-Richmond Valley-Tottenville,680707100,67968597
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,204800100,25482067
SI14,Grasmere-Arrochar-Ft. Wadsworth,365167700,35547381
SI22,West New Brighton-New Brighton-St. George,298189900,29319145
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,920538100,61783281
SI25,Oakwood-Oakwood Beach,667779200,52188906
SI28,Port Richmond,266679100,28411253
SI32,Rossville-Woodrow,657228900,50546721
SI35,New Brighton-Silver Lake,437341200,40242532
SI36,Old Town-Dongan Hills-South Beach,526122600,38069166
SI37,Stapleton-Rosebank,329259100,34907874
SI45,New Dorp-Midland Beach,576120900,45539242
SI48,Arden Heights,735396000,51032460
SI54,Great Kills,1424360800,76781914
