area_id,area_name,c17002001,c17002001_moe,c17002002,c17002002_moe,c17002003,c17002003_moe,c17002004,c17002004_moe,c17002005,c17002005_moe,c17002006,c17002006_moe,c17002007,c17002007_moe,c17002008,c17002008_moe
BK09,Brooklyn Heights-Cobble Hill,22622,1151,1669,525,545,216,296,162,217,115,534,210,99,87,19262,1092
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,61232,1613,4059,707,5807,947,3262,725,2694,636,3800,706,1225,383,40385,1609
BK19,Brighton Beach,31461,1318,2556,602,5921,838,2097,632,1707,642,1836,531,990,393,16354,1190
BK21,Seagate-Coney Island,29391,1273,3924,917,5625,858,1604,428,2448,674,2769,696,735,323,12286,1208
BK23,West Brighton,15472,690,235,109,1585,300,909,305,892,392,869,280,296,147,10686,904
BK25,Homecrest,41755,1455,2284,661,3569,660,2531,564,2907,656,3139,669,1322,496,26003,1412
BK26,Gravesend,27710,1254,1381,507,4175,821,1690,570,2498,749,1069,382,1093,400,15804,1162
BK27,Bath Beach,29100,1245,2092,614,2450,554,1876,529,1374,497,1932,551,571,237,18805,1294
BK28,Bensonhurst West,86400,2162,5333,950,10162,1184,5400,860,5664,949,7755,1102,3543,760,48543,2097
BK29,Bensonhurst East,60961,1647,2613,547,7209,987,4009,748,4103,804,5229,964,2103,566,35695,1725
BK30,Dyker Heights,44872,1501,1830,634,4618,831,3122,724,2637,760,3206,755,1567,532,27892,1419
BK31,Bay Ridge,83650,1986,5160,922,7730,1139,3867,733,3464,755,3876,741,2538,756,57015,1893
BK32,Sunset Park West,52400,1674,4667,737,9181,1218,3546,766,4757,942,4809,866,1935,605,23505,1571
BK33,Carroll Gardens-Columbia Street-Red Hook,38926,1305,2522,620,3292,591,1123,455,856,240,1745,487,774,453,28614,1294
BK34,Sunset Park East,71000,2035,8097,1098,13940,1417,8345,1249,6805,1146,6782,1059,2034,659,24997,1726
BK35,Stuyvesant Heights,64019,2068,9724,1297,8259,1065,4316,921,3160,626,3950,780,1137,407,33473,1932
BK37,Park Slope-Gowanus,72623,1872,2726,539,2621,563,1711,462,1550,437,2068,487,710,276,61237,1873
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,34501,1222,4127,746,3274,590,1341,456,1283,433,1990,562,665,324,21821,1111
BK40,Windsor Terrace,22554,968,1407,461,1386,565,409,171,413,137,482,182,360,176,18097,890
BK41,Kensington-Ocean Parkway,35970,1493,3208,815,6267,1190,2802,739,2266,674,2490,617,1183,593,17754,1397
BK42,Flatbush,104640,2567,9928,1301,13700,1705,6626,1007,6800,1189,9185,1615,2540,745,55861,2327
BK43,Midwood,51101,1607,4006,915,6594,930,2902,597,3085,693,3534,778,1140,420,29840,1494
BK44,Madison,39967,1276,1377,373,3261,582,2214,588,2590,600,3143,721,1381,499,26001,1319
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,48349,1473,1592,555,2213,675,1714,627,1398,470,2436,711,873,341,38123,1468
BK46,Ocean Parkway South,19516,1095,990,340,1628,503,1445,497,792,308,1405,361,569,293,12687,1073
BK50,Canarsie,85589,2075,6582,912,5991,918,3422,830,3761,732,4958,849,1748,501,59127,2159
BK58,Flatlands,70673,1710,3572,750,4375,850,2634,636,3496,755,4194,815,1663,464,50739,1886
BK60,Prospect Lefferts Gardens-Wingate,68604,2199,6517,1016,8215,1320,2811,691,5051,948,5594,1035,2036,565,38380,2099
BK61,Crown Heights North,99221,2361,14299,1479,14266,1367,5837,929,5703,933,7360,1085,2335,595,49421,2181
BK63,Crown Heights South,40989,1601,4360,892,5383,1024,2679,749,2481,752,3381,790,1370,490,21335,1572
