area_id,area_name,b19313i001,b19313i001_moe
QN33,Cambria Heights,25881700,9049233
QN34,Queens Village,244802800,30166899
QN35,Briarwood-Jamaica Hills,226647900,30372755
QN37,Kew Gardens Hills,133249300,22418980
QN38,Pomonok-Flushing Heights-Hillcrest,137299000,24278285
QN41,Fresh Meadows-Utopia,63433600,19686073
QN42,Oakland Gardens,65504500,18348409
QN43,Bellerose,97656600,21804689
QN44,Glen Oaks-Floral Park-New Hyde Park,59982100,18913687
QN45,Douglas Manor-Douglaston-Little Neck,74170400,18480886
QN46,Bayside-Bayside Hills,173028500,26412915
QN47,Ft. Totten-Bay Terrace-Clearview,58923100,21145014
QN48,Auburndale,76215400,18308020
QN49,Whitestone,148175500,31446255
QN50,Elmhurst-Maspeth,145835000,31905298
QN51,Murray Hill,145251300,24443458
QN52,East Flushing,96990000,21340040
QN53,Woodhaven,597677600,44448919
QN54,Richmond Hill,434356600,34416461
QN55,South Ozone Park,378031700,40655140
QN56,Ozone Park,216256600,32415216
QN57,Lindenwood-Howard Beach,135661900,27496203
QN60,Kew Gardens,144289000,22395574
QN61,Jamaica,281298500,26733433
QN62,Queensboro Hill,62665000,12411876
QN63,Woodside,297270200,37261076
QN66,Laurelton,13713900,5274287
QN68,Queensbridge-Ravenswood-Long Island City,108320300,16365004
QN70,Astoria,499048600,51601541
QN71,Old Astoria,127079000,18110050
QN72,Steinway,274017200,33071745
QN76,Baisley Park,69095500,14338467
QN99,park-cemetery-etc-Queens,1813500,1760743
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,69997300,22819930
SI05,New Springville-Bloomfield-Travis,119212800,28267270
SI07,Westerleigh,82754100,17976486
SI08,Grymes Hill-Clifton-Fox Hills,121912600,22587053
SI11,Charleston-Richmond Valley-Tottenville,89394200,33875974
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,210389600,30251214
SI14,Grasmere-Arrochar-Ft. Wadsworth,45630400,12371670
SI22,West New Brighton-New Brighton-St. George,143004200,22434233
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,67992900,19026872
SI25,Oakwood-Oakwood Beach,76729900,19244377
SI28,Port Richmond,86442300,17341185
SI32,Rossville-Woodrow,32123300,15394579
SI35,New Brighton-Silver Lake,93737100,20455245
SI36,Old Town-Dongan Hills-South Beach,96532600,26778328
SI37,Stapleton-Rosebank,136425800,21200871
SI45,New Dorp-Midland Beach,81179600,20326629
SI48,Arden Heights,89670600,23377664
SI54,Great Kills,93960000,24763253
