area_id,area_name,b19113g001,b19113g001_moe
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,36992,94659
SI05,New Springville-Bloomfield-Travis,92946,78702
SI07,Westerleigh,110556,107494
SI08,Grymes Hill-Clifton-Fox Hills,137695,102854
SI11,Charleston-Richmond Valley-Tottenville,37000,212794
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,492155,214333
SI22,West New Brighton-New Brighton-St. George,352337,189698
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,125833,60436
SI25,Oakwood-Oakwood Beach,144432,74296
SI28,Port Richmond,332696,332122
SI32,Rossville-Woodrow,180192,17283
SI35,New Brighton-Silver Lake,50060,39798
SI36,Old Town-Dongan Hills-South Beach,91585,127420
SI37,Stapleton-Rosebank,186232,96507
SI54,Great Kills,54167,105906
