area_id,area_name,b11002a001,b11002a001_moe,b11002a002,b11002a002_moe,b11002a003,b11002a003_moe,b11002a004,b11002a004_moe,b11002a005,b11002a005_moe,b11002a006,b11002a006_moe,b11002a007,b11002a007_moe,b11002a008,b11002a008_moe,b11002a009,b11002a009_moe,b11002a010,b11002a010_moe,b11002a011,b11002a011_moe,b11002a012,b11002a012_moe
BK09,Brooklyn Heights-Cobble Hill,18361,1064,11752,1113,10752,1083,10737,1081,15,35,642,321,608,316,34,30,358,164,353,163,5,28,6609,527
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,45123,1457,37150,1608,28781,1598,28714,1596,67,73,1977,559,1855,525,122,93,6392,925,6286,913,106,74,7973,500
BK19,Brighton Beach,24726,1258,18410,1361,13722,1269,13662,1261,60,66,1166,460,1126,448,40,48,3522,710,3347,678,175,100,6316,517
BK21,Seagate-Coney Island,12225,1116,9792,1116,6709,1004,6647,989,62,102,360,315,360,315,0,38,2723,825,2614,799,109,88,2433,306
BK23,West Brighton,15139,712,11719,848,8862,895,8862,895,0,27,436,201,436,201,0,27,2421,577,2375,567,46,49,3420,331
BK25,Homecrest,35520,1412,30360,1509,25577,1480,25441,1471,136,98,1588,475,1505,452,83,90,3195,643,3064,613,131,81,5160,453
BK26,Gravesend,16688,995,13629,1113,10375,1111,10311,1107,64,50,771,305,737,292,34,43,2483,520,2305,478,178,92,3059,373
BK27,Bath Beach,17273,1095,14068,1144,10944,1009,10888,1004,56,56,1017,342,963,322,54,65,2107,537,1911,474,196,118,3205,425
BK28,Bensonhurst West,47464,1773,39369,1902,30311,1792,30209,1787,102,96,2567,656,2320,575,247,145,6491,960,6249,928,242,125,8095,614
BK29,Bensonhurst East,33738,1385,27940,1480,21105,1351,20943,1340,162,125,2278,541,2173,519,105,74,4557,809,4235,736,322,138,5798,539
BK30,Dyker Heights,26292,1153,21949,1217,17007,1118,16889,1112,118,82,1684,500,1558,462,126,84,3258,642,3093,616,165,88,4343,497
BK31,Bay Ridge,63904,1948,47884,2150,37237,1966,37110,1956,127,98,2466,591,2307,554,159,101,8181,1129,7857,1073,324,145,16020,796
BK32,Sunset Park West,23516,1607,18259,1596,11731,1324,11521,1304,210,120,1962,610,1745,558,217,129,4566,891,4323,845,243,115,5257,584
BK33,Carroll Gardens-Columbia Street-Red Hook,26490,1137,17428,1206,13776,1112,13726,1112,50,52,839,360,742,328,97,75,2813,628,2729,604,84,76,9062,697
BK34,Sunset Park East,21831,1504,18163,1557,11054,1341,10816,1288,238,208,2904,764,2493,659,411,202,4205,778,4042,744,163,96,3668,472
BK35,Stuyvesant Heights,7702,1102,5665,1023,3078,819,3025,810,53,67,466,277,427,260,39,64,2121,688,2080,682,41,63,2037,434
BK37,Park Slope-Gowanus,54706,1836,36549,1904,30041,1750,29832,1723,209,118,1819,530,1586,475,233,109,4689,837,4334,788,355,138,18157,1079
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,17890,964,10818,934,8818,861,8723,853,95,85,302,169,267,145,35,50,1698,440,1660,434,38,46,7072,604
BK40,Windsor Terrace,17283,980,13144,1065,10282,913,10181,905,101,78,897,400,720,303,177,118,1965,618,1748,504,217,153,4139,446
BK41,Kensington-Ocean Parkway,20339,1358,16681,1410,13823,1324,13754,1322,69,63,1044,497,981,476,63,60,1814,510,1744,494,70,60,3658,431
BK42,Flatbush,28556,1753,22197,1770,17303,1648,17110,1638,193,106,1582,520,1510,497,72,90,3312,742,3003,657,309,184,6359,700
BK43,Midwood,41195,1580,35139,1670,30081,1604,29895,1588,186,141,1487,497,1440,481,47,69,3571,739,3426,699,145,147,6056,490
BK44,Madison,30035,1277,25748,1402,21801,1375,21794,1375,7,46,1331,445,1205,405,126,115,2616,546,2527,530,89,121,4287,408
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,38376,1441,34765,1565,29160,1586,28999,1580,161,98,1466,460,1387,430,79,77,4139,714,3912,663,227,112,3611,380
BK46,Ocean Parkway South,17604,1070,15730,1122,13343,1140,13304,1142,39,50,803,354,724,303,79,128,1584,366,1526,352,58,68,1874,234
BK50,Canarsie,6245,756,4978,734,3483,635,3471,632,12,72,336,231,336,231,0,70,1159,354,1114,347,45,79,1267,235
BK58,Flatlands,14616,1007,12706,1012,10009,929,9959,923,50,70,1011,362,940,333,71,79,1686,423,1670,420,16,63,1910,309
BK60,Prospect Lefferts Gardens-Wingate,7976,1194,6196,1164,4468,969,4441,962,27,70,191,176,183,166,8,60,1537,663,1491,657,46,70,1780,374
BK61,Crown Heights North,12017,1108,6152,953,4732,864,4689,858,43,74,484,299,445,282,39,77,936,327,900,316,36,71,5865,618
BK63,Crown Heights South,11030,1197,9488,1159,8894,1143,8844,1139,50,72,170,152,133,124,37,69,424,233,424,233,0,40,1542,338
BK64,Prospect Heights,11563,893,6192,728,5019,661,4851,650,168,91,431,242,350,182,81,98,742,296,689,280,53,52,5371,647
BK68,Fort Greene,9103,785,4908,717,3657,580,3652,579,5,37,304,248,304,248,0,38,947,314,918,310,29,44,4195,514
BK69,Clinton Hill,14414,1221,6902,962,5578,817,5528,811,50,74,312,181,248,149,64,59,1012,465,956,453,56,59,7512,867
BK72,Williamsburg,30356,1592,29183,1649,26015,1642,25996,1642,19,40,1382,509,1325,497,57,57,1786,579,1742,563,44,53,1173,257
BK73,North Side-South Side,36773,1567,22892,1622,15610,1431,15507,1424,103,98,2016,630,1853,595,163,90,5266,847,5039,821,227,134,13881,964
BK75,Bedford,22504,1330,18645,1219,15626,1086,15617,1084,9,58,526,393,396,269,130,154,2493,690,2348,670,145,98,3859,581
BK76,Greenpoint,26890,1189,15427,1267,11599,1177,11422,1147,177,124,1437,438,1272,399,165,95,2391,522,2248,485,143,94,11463,800
BK77,Bushwick North,22429,1803,16944,1778,8024,1282,7618,1229,406,199,3142,837,2551,706,591,240,5778,1039,5267,930,511,220,5485,631
BK78,Bushwick South,27864,2000,20700,1939,9539,1461,9325,1422,214,147,2680,745,2367,666,313,153,8481,1241,8099,1169,382,209,7164,777
BK79,Ocean Hill,1252,420,1020,405,279,225,279,225,0,38,339,245,300,223,39,60,402,242,402,242,0,38,232,122
BK81,Brownsville,3105,788,2726,792,944,548,944,548,0,51,86,104,86,104,0,51,1696,568,1620,557,76,66,379,126
BK82,East New York,15843,1583,14175,1594,5908,1192,5901,1192,7,64,2157,782,1930,681,227,181,6110,1032,5913,992,197,116,1668,315
BK83,Cypress Hills-City Line,23819,1772,21893,1779,12151,1570,11913,1543,238,125,2481,658,2231,590,250,179,7261,1164,6987,1115,274,133,1926,363
BK85,East New York (Pennsylvania Ave),3467,736,3042,715,1327,508,1301,495,26,52,170,141,158,130,12,38,1545,544,1480,506,65,80,425,198
BK88,Borough Park,85041,2836,78596,2977,71112,2978,70880,2972,232,125,1808,588,1638,527,170,172,5676,954,5401,917,275,127,6445,608
BK90,East Williamsburg,20877,1097,10600,1107,6796,919,6746,911,50,68,980,374,915,355,65,62,2824,647,2740,626,84,73,10277,734
BK91,East Flatbush-Farragut,1458,492,1241,484,353,202,353,202,0,54,353,225,268,192,85,72,535,385,535,385,0,54,217,116
BK93,Starrett City,5088,698,3710,720,1881,566,1881,566,0,24,306,366,306,366,0,24,1523,568,1518,571,5,20,1378,252
BK95,Erasmus,939,473,832,470,517,381,517,381,0,36,29,58,29,58,0,36,286,273,267,259,19,45,107,66
BK96,Rugby-Remsen Village,1082,407,730,391,384,300,384,300,0,54,57,107,57,107,0,54,289,237,272,221,17,58,352,197
BK99,park-cemetery-etc-Brooklyn,245,224,172,219,16,45,16,45,0,40,133,216,106,175,27,57,23,46,23,46,0,40,73,62
BX01,Claremont-Bathgate,2388,567,1974,555,714,307,710,305,4,39,183,149,174,146,9,40,1077,427,1047,420,30,50,414,153
BX03,Eastchester-Edenwald-Baychester,2770,698,2164,666,948,411,948,411,0,40,155,132,155,132,0,40,1061,481,936,395,125,152,606,239
BX05,Bedford Park-Fordham North,8753,1182,6713,1168,2839,770,2826,770,13,51,613,356,586,345,27,54,3261,769,3115,728,146,100,2040,318
BX06,Belmont,5408,794,3703,742,1758,542,1758,542,0,34,436,286,391,275,45,44,1509,510,1472,496,37,53,1705,349
BX07,Bronxdale,8380,902,6773,904,4352,773,4316,760,36,64,621,291,613,285,8,39,1800,492,1710,468,90,79,1607,234
BX08,West Farms-Bronx River,5053,788,4164,768,1740,488,1716,482,24,43,562,299,524,278,38,68,1862,566,1806,547,56,62,889,208
BX09,Soundview-Castle Hill-Clason Point-Harding Park,8317,1092,7185,1078,3283,708,3190,676,93,76,504,298,465,283,39,56,3398,775,3295,757,103,73,1132,217
BX10,Pelham Bay-Country Club-City Island,19209,1257,14768,1355,9923,1227,9923,1227,0,34,1495,588,1293,475,202,162,3350,752,3165,703,185,126,4441,508
BX13,Co-op City,7532,1034,5836,1021,3896,895,3896,895,0,33,535,304,535,304,0,33,1405,587,1393,585,12,33,1696,366
BX14,East Concourse-Concourse Village,7985,1284,6973,1289,3365,985,3268,968,97,103,598,442,554,432,44,60,3010,773,2828,713,182,147,1012,210
BX17,East Tremont,6352,1050,5005,1023,1540,569,1540,569,0,45,379,297,291,234,88,79,3086,845,2966,817,120,102,1347,262
BX22,North Riverdale-Fieldston-Riverdale,17643,1042,12588,1089,10585,974,10562,971,23,41,734,419,666,360,68,82,1269,392,1260,387,9,40,5055,446
BX26,Highbridge,5115,833,4481,826,1695,543,1681,542,14,44,565,317,525,299,40,48,2221,609,2203,606,18,39,634,192
BX27,Hunts Point,7205,924,6108,921,2330,580,2282,567,48,84,981,411,839,361,142,113,2797,653,2639,609,158,131,1097,282
BX28,Van Cortlandt Village,11382,1176,8908,1150,4764,870,4712,857,52,63,663,330,556,270,107,78,3481,697,3286,640,195,147,2474,353
BX29,Spuyten Duyvil-Kingsbridge,17493,998,12749,972,10368,922,10310,914,58,81,330,173,330,173,0,38,2051,480,2008,471,43,48,4744,481
BX30,Kingsbridge Heights,3034,614,2054,574,885,363,878,362,7,38,399,261,373,246,26,43,770,372,765,371,5,36,980,236
BX31,Allerton-Pelham Gardens,11264,1013,9968,1052,7627,984,7605,982,22,45,815,384,785,379,30,49,1526,465,1435,445,91,58,1296,239
BX33,Longwood,3890,693,3225,689,1244,422,1244,422,0,36,159,164,133,133,26,47,1822,531,1791,519,31,56,665,175
BX34,Melrose South-Mott Haven North,7698,1243,6490,1208,2675,773,2675,773,0,42,496,311,488,306,8,40,3319,926,3196,905,123,91,1208,274
BX35,Morrisania-Melrose,3661,703,3135,688,1019,454,1009,453,10,42,194,159,194,159,0,40,1922,540,1911,539,11,40,526,144
BX36,University Heights-Morris Heights,6090,988,5384,985,2279,696,2279,696,0,51,368,289,352,285,16,53,2737,637,2501,585,236,136,706,217
BX37,Van Nest-Morris Park-Westchester Square,10802,994,8843,997,5630,817,5568,814,62,57,802,320,722,285,80,70,2411,605,2236,544,175,139,1959,272
BX39,Mott Haven-Port Morris,16357,1409,13208,1425,4983,934,4842,895,141,141,1178,461,1001,388,177,112,7047,1142,6660,1070,387,170,3149,588
BX40,Fordham South,2876,731,2303,733,855,622,799,548,56,89,162,150,152,143,10,35,1286,517,1232,500,54,71,573,189
BX41,Mount Hope,6863,944,5948,947,2504,602,2446,587,58,104,530,284,519,279,11,51,2914,699,2758,668,156,92,915,206
BX43,Norwood,9397,1186,7539,1153,4429,946,4339,918,90,86,696,368,600,303,96,87,2414,631,2299,597,115,79,1858,301
BX44,Williamsbridge-Olinville,4055,685,3014,632,1813,523,1813,523,0,54,343,233,307,203,36,67,858,293,838,288,20,56,1041,285
BX46,Parkchester,3233,527,2145,489,1212,366,1206,363,6,34,207,133,194,126,13,38,726,308,702,300,24,39,1088,270
BX49,Pelham Parkway,14044,1065,11286,1069,7988,965,7947,959,41,60,946,430,868,400,78,100,2352,612,2255,575,97,82,2758,385
BX52,Schuylerville-Throgs Neck-Edgewater Park,26525,1513,22073,1591,16095,1440,16076,1439,19,53,1748,598,1570,534,178,116,4230,736,4131,716,99,83,4452,480
BX55,Soundview-Bruckner,5448,872,4517,853,1952,583,1910,562,42,76,488,263,410,220,78,105,2077,577,1959,540,118,82,931,183
BX59,Westchester-Unionport,4003,628,3111,625,1521,426,1478,416,43,52,322,188,312,180,10,38,1268,437,1178,395,90,79,892,183
BX62,Woodlawn-Wakefield,9278,849,6665,869,4768,831,4735,828,33,59,429,235,429,235,0,48,1468,410,1398,388,70,71,2613,385
