area_id,area_name,b19113c001,b19113c001_moe
BK09,Brooklyn Heights-Cobble Hill,59922,47400
BK32,Sunset Park West,118727,119100
BK34,Sunset Park East,134425,115425
BK60,Prospect Lefferts Gardens-Wingate,29508,81218
BK73,North Side-South Side,24766,44161
BK76,Greenpoint,64779,71446
BK78,Bushwick South,62875,71921
BK93,Starrett City,57557,78042
BX01,Claremont-Bathgate,50357,1863
BX05,Bedford Park-Fordham North,4875,42022
BX09,Soundview-Castle Hill-Clason Point-Harding Park,29736,125759
BX14,East Concourse-Concourse Village,42656,67849
BX17,East Tremont,6964,14754
BX26,Highbridge,92583,151425
BX28,Van Cortlandt Village,55221,50478
BX30,Kingsbridge Heights,11719,65349
BX31,Allerton-Pelham Gardens,142857,103934
BX34,Melrose South-Mott Haven North,126503,109371
BX39,Mott Haven-Port Morris,31964,1871
BX41,Mount Hope,35313,48850
BX43,Norwood,25288,25085
BX52,Schuylerville-Throgs Neck-Edgewater Park,30278,17161
BX55,Soundview-Bruckner,94063,1564
BX59,Westchester-Unionport,138021,182779
BX63,West Concourse,12286,53362
BX75,Crotona Park East,22059,164788
MN01,Marble Hill-Inwood,23125,7885
MN11,Central Harlem South,17500,9762
MN12,Upper West Side,130074,151473
MN27,Chinatown,20385,24479
MN34,East Harlem North,77891,10177
MN36,Washington Heights South,9607,6160
QN07,Hollis,64323,115382
QN12,Hammels-Arverne-Edgemere,88264,45253
QN22,Flushing,52679,78707
QN25,Corona,125509,171930
QN26,North Corona,107885,27186
QN44,Glen Oaks-Floral Park-New Hyde Park,133088,90588
QN53,Woodhaven,114398,473515
QN55,South Ozone Park,48750,68063
QN56,Ozone Park,99375,74035
QN61,Jamaica,195917,111633
QN62,Queensboro Hill,41538,26597
QN72,Steinway,173068,91921
QN76,Baisley Park,47452,106023
