area_id,area_name,c24010g001,c24010g001_moe,c24010g002,c24010g002_moe,c24010g003,c24010g003_moe,c24010g004,c24010g004_moe,c24010g005,c24010g005_moe,c24010g006,c24010g006_moe,c24010g007,c24010g007_moe,c24010g008,c24010g008_moe,c24010g009,c24010g009_moe,c24010g010,c24010g010_moe,c24010g011,c24010g011_moe,c24010g012,c24010g012_moe,c24010g013,c24010g013_moe
BK09,Brooklyn Heights-Cobble Hill,315,139,142,90,108,84,0,29,34,41,0,29,0,29,173,106,78,59,17,37,78,88,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,151,105,101,82,19,57,22,65,44,71,0,55,16,57,50,65,0,55,12,57,38,63,0,55,0,55
BK19,Brighton Beach,358,167,157,94,0,38,25,45,51,62,20,40,61,70,201,118,70,62,105,101,26,44,0,38,0,38
BK21,Seagate-Coney Island,104,75,41,51,18,41,23,47,0,38,0,38,0,38,63,64,7,38,48,64,8,39,0,38,0,38
BK23,West Brighton,7,27,0,27,0,27,0,27,0,27,0,27,0,27,7,27,0,27,0,27,7,27,0,27,0,27
BK25,Homecrest,83,68,42,56,20,49,0,48,22,54,0,48,0,48,41,58,5,47,19,56,17,49,0,48,0,48
BK26,Gravesend,71,70,40,54,20,43,0,36,0,36,20,44,0,36,31,57,0,36,17,42,14,40,0,36,0,36
BK27,Bath Beach,176,100,128,76,21,44,30,44,60,61,11,42,6,37,48,49,0,40,31,47,17,40,0,40,0,40
BK28,Bensonhurst West,263,120,149,88,14,63,74,75,29,63,5,63,27,69,114,80,32,67,37,67,28,65,0,64,17,68
BK29,Bensonhurst East,260,132,190,124,99,96,18,57,21,61,9,52,43,64,70,64,37,57,17,53,16,53,0,51,0,51
BK30,Dyker Heights,141,94,88,88,13,49,0,51,27,64,20,50,28,60,53,55,33,53,6,51,14,50,0,51,0,51
BK31,Bay Ridge,506,150,330,124,84,81,84,82,34,68,63,79,65,84,176,85,109,80,6,65,54,67,7,66,0,66
BK32,Sunset Park West,552,213,396,169,152,95,74,85,101,83,54,69,15,51,156,82,78,64,39,57,36,64,0,49,3,48
BK33,Carroll Gardens-Columbia Street-Red Hook,662,221,221,93,130,75,36,51,42,60,0,45,13,47,441,195,236,111,135,162,52,55,0,45,18,47
BK34,Sunset Park East,433,193,242,162,29,69,101,82,78,73,10,58,24,67,191,104,75,69,73,75,23,60,13,60,7,58
BK35,Stuyvesant Heights,419,158,228,113,66,65,49,62,62,68,1,52,50,75,191,97,109,80,26,56,56,66,0,51,0,51
BK37,Park Slope-Gowanus,1156,246,530,159,247,111,144,108,110,77,8,58,21,60,626,174,386,123,127,97,106,81,0,58,7,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,672,177,246,102,176,89,32,51,26,47,11,43,1,40,426,147,279,120,38,51,74,62,0,42,35,64
BK40,Windsor Terrace,227,114,115,70,74,59,38,48,0,32,3,31,0,32,112,85,50,48,18,41,44,71,0,32,0,32
BK41,Kensington-Ocean Parkway,355,144,205,105,12,42,32,43,147,100,0,40,14,42,150,88,53,60,62,65,35,52,0,40,0,40
BK42,Flatbush,887,253,446,158,89,87,58,79,169,106,29,75,101,92,441,181,175,113,120,101,139,104,0,68,7,68
BK43,Midwood,288,127,187,101,62,74,59,66,41,57,1,50,24,58,101,74,29,57,48,64,19,54,0,51,5,50
BK44,Madison,84,59,63,54,0,46,0,46,16,51,24,49,23,48,21,46,5,46,10,47,6,46,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,229,116,104,74,8,53,28,61,10,56,9,55,49,65,125,89,50,62,18,61,57,67,0,55,0,55
BK46,Ocean Parkway South,41,45,4,35,0,36,0,36,4,35,0,36,0,36,37,43,29,43,4,34,0,36,4,35,0,36
BK50,Canarsie,318,135,201,113,22,73,53,80,33,79,23,74,70,80,117,81,25,70,45,74,40,71,7,70,0,70
BK58,Flatlands,372,151,172,91,49,73,28,67,56,68,28,70,11,64,200,121,80,80,42,74,78,77,0,62,0,62
BK60,Prospect Lefferts Gardens-Wingate,564,265,272,211,124,98,58,82,90,136,0,58,0,58,292,141,164,117,119,93,9,59,0,58,0,58
BK61,Crown Heights North,809,226,347,176,95,92,10,68,134,126,17,71,91,97,462,156,248,121,74,79,134,92,0,67,6,67
BK63,Crown Heights South,75,60,31,46,13,43,10,41,8,40,0,40,0,40,44,51,36,51,8,40,0,40,0,40,0,40
