area_id,area_name,b01002f001,b01002f001_moe,b01002f002,b01002f002_moe,b01002f003,b01002f003_moe
BK09,Brooklyn Heights-Cobble Hill,109,25,98,45,107,56
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,274,89,299,120,235,94
BK19,Brighton Beach,78,9,64,24,115,22
BK21,Seagate-Coney Island,304,53,255,81,337,38
BK25,Homecrest,148,32,144,86,131,66
BK26,Gravesend,88,70,111,32,86,26
BK27,Bath Beach,250,46,268,47,221,54
BK28,Bensonhurst West,423,42,404,56,397,94
BK29,Bensonhurst East,377,47,380,85,385,74
BK30,Dyker Heights,158,93,142,74,249,46
BK31,Bay Ridge,565,97,590,108,643,115
BK32,Sunset Park West,434,28,428,34,430,40
BK33,Carroll Gardens-Columbia Street-Red Hook,461,78,415,70,479,116
BK34,Sunset Park East,405,43,365,54,479,61
BK35,Stuyvesant Heights,505,56,418,146,534,65
BK37,Park Slope-Gowanus,605,98,613,75,616,130
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,386,80,391,38,409,52
BK40,Windsor Terrace,144,94,108,82,152,37
BK41,Kensington-Ocean Parkway,250,40,249,63,247,50
BK42,Flatbush,816,88,782,113,873,133
BK43,Midwood,232,42,230,48,251,62
BK44,Madison,161,39,158,54,125,55
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,192,27,178,28,188,34
BK46,Ocean Parkway South,177,50,175,114,190,47
BK50,Canarsie,673,82,613,123,726,88
BK58,Flatlands,394,81,373,104,419,115
BK60,Prospect Lefferts Gardens-Wingate,391,94,369,49,517,117
BK61,Crown Heights North,708,96,629,117,752,124
BK63,Crown Heights South,388,94,356,123,377,77
BK64,Prospect Heights,269,89,253,101,276,105
BK68,Fort Greene,257,56,267,41,245,77
BK69,Clinton Hill,269,60,272,68,258,80
BK72,Williamsburg,144,68,120,93,155,91
BK73,North Side-South Side,325,64,293,74,386,77
BK75,Bedford,576,94,594,120,624,113
BK76,Greenpoint,259,38,246,36,289,52
BK77,Bushwick North,369,20,372,30,382,23
BK78,Bushwick South,620,43,627,76,632,73
BK79,Ocean Hill,267,32,240,65,268,54
BK81,Brownsville,303,74,271,107,367,80
BK82,East New York,737,62,703,138,723,95
BK83,Cypress Hills-City Line,584,58,594,87,568,83
BK85,East New York (Pennsylvania Ave),222,46,214,67,208,79
BK88,Borough Park,417,62,459,58,441,89
