area_id,area_name,b08122001,b08122001_moe,b08122002,b08122002_moe,b08122003,b08122003_moe,b08122004,b08122004_moe,b08122005,b08122005_moe,b08122006,b08122006_moe,b08122007,b08122007_moe,b08122008,b08122008_moe,b08122009,b08122009_moe,b08122010,b08122010_moe,b08122011,b08122011_moe,b08122012,b08122012_moe,b08122013,b08122013_moe,b08122014,b08122014_moe,b08122015,b08122015_moe,b08122016,b08122016_moe,b08122017,b08122017_moe,b08122018,b08122018_moe,b08122019,b08122019_moe,b08122020,b08122020_moe,b08122021,b08122021_moe,b08122022,b08122022_moe,b08122023,b08122023_moe,b08122024,b08122024_moe,b08122025,b08122025_moe,b08122026,b08122026_moe,b08122027,b08122027_moe,b08122028,b08122028_moe
BK09,Brooklyn Heights-Cobble Hill,13558,732,354,133,181,103,13023,736,666,177,0,29,0,29,666,177,336,146,0,29,0,29,336,146,9200,647,136,74,65,76,8999,641,1684,328,107,80,76,65,1501,306,443,175,7,30,3,28,433,174,1229,279,104,89,37,40,1088,261
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,26453,977,1466,322,1567,328,23420,1004,8204,589,291,123,394,150,7519,580,2371,467,110,86,129,114,2132,435,12516,766,626,185,741,228,11149,762,1984,333,354,180,171,103,1459,288,412,154,24,59,26,59,362,149,966,252,61,77,106,84,799,232
BK19,Brighton Beach,12761,756,945,233,861,244,10955,778,2461,393,23,42,261,157,2177,371,702,195,0,38,71,71,631,186,6898,574,574,187,347,159,5977,563,1904,327,291,126,104,80,1509,293,252,109,47,61,0,38,205,97,544,202,10,40,78,68,456,191
BK21,Seagate-Coney Island,9500,713,1189,273,874,214,7437,701,1929,337,177,104,49,58,1703,323,628,200,96,82,72,61,460,178,5470,565,623,165,615,175,4232,547,930,222,141,89,129,78,660,190,174,91,54,53,3,37,117,81,369,175,98,101,6,38,265,144
BK23,West Brighton,6090,648,155,72,216,113,5719,665,1480,316,56,50,87,78,1337,315,242,133,0,27,0,27,242,133,3575,474,70,49,90,75,3415,475,527,190,14,32,39,55,474,183,218,153,0,27,0,27,218,153,48,44,15,35,0,27,33,37
BK25,Homecrest,16156,803,1068,227,1653,321,13435,760,4248,419,254,114,356,127,3638,397,1324,257,99,86,126,89,1099,237,8102,599,474,140,840,220,6788,558,1675,297,183,111,214,105,1278,265,248,94,11,50,18,47,219,91,559,183,47,63,99,73,413,164
BK26,Gravesend,10448,693,850,225,1068,302,8530,673,2230,312,109,71,185,107,1936,293,737,227,36,51,38,63,663,216,6111,525,541,197,627,214,4943,494,957,235,138,97,108,89,711,201,232,118,0,36,56,66,176,103,181,88,26,53,54,50,101,68
BK27,Bath Beach,12087,821,805,229,919,287,10363,770,3021,377,72,63,146,75,2803,370,1064,302,27,47,100,77,937,274,6975,647,476,165,646,260,5853,585,618,170,191,120,18,47,409,116,110,52,0,40,5,39,105,51,299,142,39,63,4,38,256,135
BK28,Bensonhurst West,35692,1257,3015,395,3681,567,28996,1233,6862,526,465,135,510,148,5887,498,2654,419,337,138,378,203,1939,345,21406,1045,1479,260,2231,438,17696,983,3029,408,398,134,391,148,2240,364,574,209,111,96,112,133,351,159,1167,273,225,127,59,77,883,238
BK29,Bensonhurst East,26066,1044,1836,310,2535,382,21695,1066,5434,494,247,102,418,142,4769,473,1612,334,165,95,195,126,1252,274,16244,865,1181,252,1583,300,13480,842,1819,295,157,91,266,125,1396,259,338,129,21,52,51,61,266,123,619,200,65,61,22,53,532,195
