area_id,area_name,b08105i001,b08105i001_moe,b08105i002,b08105i002_moe,b08105i003,b08105i003_moe,b08105i004,b08105i004_moe,b08105i005,b08105i005_moe,b08105i006,b08105i006_moe,b08105i007,b08105i007_moe
BK09,Brooklyn Heights-Cobble Hill,814,244,127,84,16,37,548,225,61,57,0,29,62,48
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1617,348,302,134,191,110,707,200,324,203,32,63,61,76
BK19,Brighton Beach,1690,403,305,160,68,91,1041,283,196,120,43,61,37,51
BK21,Seagate-Coney Island,2334,425,406,165,120,90,1381,304,325,137,87,78,15,43
BK23,West Brighton,32,55,0,27,0,27,0,27,32,55,0,27,0,27
BK25,Homecrest,1523,423,112,82,211,154,915,305,120,94,55,66,110,118
BK26,Gravesend,1364,313,189,109,48,54,969,269,141,103,0,36,17,37
BK27,Bath Beach,1537,449,265,161,257,236,984,305,31,42,0,40,0,40
BK28,Bensonhurst West,5500,791,591,174,474,238,3401,628,588,215,162,140,284,170
BK29,Bensonhurst East,3306,518,529,183,169,101,2090,373,312,151,127,103,79,86
BK30,Dyker Heights,2130,479,422,176,213,193,1311,388,97,84,24,54,63,69
BK31,Bay Ridge,6271,666,1230,265,429,194,3721,482,734,247,27,68,130,96
BK32,Sunset Park West,14211,1004,1686,297,658,184,8920,799,2267,395,419,175,261,112
BK33,Carroll Gardens-Columbia Street-Red Hook,3304,462,453,188,83,85,1973,345,625,170,49,69,121,107
BK34,Sunset Park East,10270,909,1216,281,456,185,5930,718,1972,387,282,133,414,183
BK35,Stuyvesant Heights,4207,599,613,185,210,144,2861,435,346,177,0,51,177,110
BK37,Park Slope-Gowanus,5925,708,609,202,293,122,4099,589,580,199,109,90,235,123
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2898,441,222,118,59,72,1875,290,423,147,83,71,236,112
BK40,Windsor Terrace,1587,301,224,108,61,52,1141,252,98,58,23,31,40,51
BK41,Kensington-Ocean Parkway,2337,503,253,132,19,47,1817,447,192,116,27,50,29,50
BK42,Flatbush,9340,1055,1282,268,178,110,6491,834,753,295,298,297,338,162
BK43,Midwood,1439,370,325,167,83,84,857,267,68,83,44,68,62,78
BK44,Madison,1186,315,221,99,57,62,723,263,76,63,30,51,79,75
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1854,365,644,180,209,107,934,266,27,58,0,55,40,74
BK46,Ocean Parkway South,772,292,118,109,79,108,306,140,155,117,14,39,100,75
BK50,Canarsie,2873,473,955,222,211,164,1348,321,252,152,46,76,61,89
BK58,Flatlands,2428,428,571,152,227,132,1326,305,138,97,17,65,149,142
BK60,Prospect Lefferts Gardens-Wingate,2662,540,309,192,23,67,2040,469,273,175,17,62,0,58
BK61,Crown Heights North,4395,659,397,154,83,82,3111,497,332,167,197,180,275,136
BK63,Crown Heights South,1229,297,166,99,65,65,644,203,93,82,27,48,234,173
BK64,Prospect Heights,1335,300,145,92,0,32,1030,254,24,40,25,37,111,97
BK68,Fort Greene,2027,439,182,118,47,50,1344,345,300,145,73,71,81,63
BK69,Clinton Hill,2730,472,247,130,26,46,1853,390,351,176,106,73,147,94
BK72,Williamsburg,1273,291,362,196,28,48,776,232,90,72,17,44,0,36
BK73,North Side-South Side,6605,645,710,235,170,100,4137,490,1106,287,143,94,339,148
BK75,Bedford,5162,714,664,212,109,76,3121,454,674,286,370,233,224,127
BK76,Greenpoint,2715,455,419,150,40,73,1569,345,523,185,85,72,79,68
BK77,Bushwick North,19160,1191,2077,352,638,218,12406,987,2840,462,795,218,404,162
BK78,Bushwick South,15705,1089,2544,428,484,175,9996,918,1699,316,545,181,437,175
BK79,Ocean Hill,2225,389,597,185,117,89,1292,278,83,77,16,40,120,92
BK81,Brownsville,2533,452,314,179,149,148,1748,322,140,83,48,85,134,105
BK82,East New York,8516,841,1910,413,390,190,5368,617,673,259,80,79,95,79
BK83,Cypress Hills-City Line,11773,882,2687,388,512,208,7750,739,474,144,78,62,272,123
