area_id,area_name,c21001i001,c21001i001_moe,c21001i002,c21001i002_moe,c21001i003,c21001i003_moe,c21001i004,c21001i004_moe,c21001i005,c21001i005_moe,c21001i006,c21001i006_moe,c21001i007,c21001i007_moe,c21001i008,c21001i008_moe,c21001i009,c21001i009_moe,c21001i010,c21001i010_moe,c21001i011,c21001i011_moe,c21001i012,c21001i012_moe,c21001i013,c21001i013_moe,c21001i014,c21001i014_moe,c21001i015,c21001i015_moe
BK09,Brooklyn Heights-Cobble Hill,1585,353,778,215,725,206,1,27,724,206,53,51,0,29,53,51,807,207,640,193,0,29,640,193,167,87,0,29,167,87
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3154,452,1232,254,958,228,66,74,892,224,274,120,38,61,236,116,1922,293,1628,274,0,55,1628,274,294,109,0,55,294,109
BK19,Brighton Beach,2959,551,1508,325,1420,318,22,44,1398,321,88,80,8,38,80,79,1451,288,1251,271,0,38,1251,271,200,97,0,38,200,97
BK21,Seagate-Coney Island,4941,701,2256,456,1837,419,58,48,1779,421,419,167,25,42,394,166,2685,381,2172,359,0,38,2172,359,513,150,0,38,513,150
BK23,West Brighton,116,109,1,24,1,24,0,27,1,24,0,27,0,27,0,27,115,109,91,105,0,27,91,105,24,35,0,27,24,35
BK25,Homecrest,2137,484,1217,334,1125,327,0,48,1125,327,92,86,0,48,92,86,920,212,731,196,0,48,731,196,189,101,0,48,189,101
BK26,Gravesend,2867,544,1313,296,1158,282,116,82,1042,258,155,78,72,63,83,56,1554,353,1360,323,17,41,1343,326,194,110,0,36,194,110
BK27,Bath Beach,2586,606,1425,411,1258,397,18,43,1240,397,167,102,11,42,156,101,1161,310,1062,292,0,40,1062,292,99,85,0,40,99,85
BK28,Bensonhurst West,8988,1070,4911,714,4602,699,121,97,4481,696,309,142,23,69,286,138,4077,486,3579,466,0,64,3579,466,498,167,0,64,498,167
BK29,Bensonhurst East,5256,749,2917,469,2715,457,109,86,2606,452,202,104,0,51,202,104,2339,370,2052,358,0,51,2052,358,287,110,0,51,287,110
BK30,Dyker Heights,3154,603,1561,434,1444,426,90,75,1354,421,117,87,29,67,88,74,1593,316,1446,305,12,49,1434,304,147,79,9,51,138,79
BK31,Bay Ridge,9345,842,4202,527,4084,523,207,106,3877,516,118,75,0,66,118,75,5143,509,4639,489,74,88,4565,487,504,160,0,66,504,160
BK32,Sunset Park West,24568,1261,13813,915,12864,892,677,191,12187,881,949,213,85,69,864,200,10755,629,9468,614,75,75,9393,610,1287,190,0,49,1287,190
BK33,Carroll Gardens-Columbia Street-Red Hook,6587,732,2849,429,2391,396,102,72,2289,391,458,164,114,88,344,145,3738,477,3034,436,0,45,3034,436,704,204,0,45,704,204
BK34,Sunset Park East,17519,1166,8897,798,8227,792,289,144,7938,786,670,170,123,79,547,159,8622,569,7547,552,0,59,7547,552,1075,200,0,59,1075,200
BK35,Stuyvesant Heights,9243,867,4116,579,3649,560,147,107,3502,550,467,148,34,59,433,146,5127,534,4487,514,15,56,4472,514,640,174,0,51,640,174
BK37,Park Slope-Gowanus,9904,981,4992,588,4293,568,108,104,4185,562,699,157,177,98,522,134,4912,573,4015,531,0,58,4015,531,897,208,0,58,897,208
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,6516,659,2932,436,2593,418,73,67,2520,416,339,124,57,53,282,121,3584,384,2720,373,31,65,2689,371,864,177,0,42,864,177
BK40,Windsor Terrace,2610,442,1169,240,1006,217,69,59,937,213,163,97,0,32,163,97,1441,300,1269,273,16,37,1253,273,172,71,0,32,172,71
BK41,Kensington-Ocean Parkway,3748,705,2007,444,1831,439,113,88,1718,427,176,78,30,44,146,74,1741,352,1484,336,0,40,1484,336,257,87,0,40,257,87
BK42,Flatbush,14720,1346,7100,823,6789,813,249,149,6540,801,311,126,39,73,272,121,7620,743,6896,727,7,67,6889,727,724,187,15,70,709,186
BK43,Midwood,2465,528,1441,395,1387,392,41,65,1346,385,54,60,8,51,46,59,1024,294,874,274,0,51,874,274,150,77,0,51,150,77
