area_id,area_name,b17020i001,b17020i001_moe,b17020i002,b17020i002_moe,b17020i003,b17020i003_moe,b17020i004,b17020i004_moe,b17020i005,b17020i005_moe,b17020i006,b17020i006_moe,b17020i007,b17020i007_moe,b17020i008,b17020i008_moe,b17020i009,b17020i009_moe,b17020i010,b17020i010_moe,b17020i011,b17020i011_moe,b17020i012,b17020i012_moe,b17020i013,b17020i013_moe,b17020i014,b17020i014_moe,b17020i015,b17020i015_moe,b17020i016,b17020i016_moe,b17020i017,b17020i017_moe
BK09,Brooklyn Heights-Cobble Hill,1662,384,327,159,0,29,0,29,0,29,5,31,290,154,16,37,16,37,1335,349,59,70,16,37,38,46,44,56,990,288,78,75,110,74
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4761,783,1753,449,261,193,0,55,192,130,266,197,916,229,18,57,100,93,3008,685,227,136,41,74,238,131,411,238,1660,378,282,139,149,89
BK19,Brighton Beach,4101,786,1929,661,180,109,125,88,182,117,249,149,1135,385,58,64,0,38,2172,597,59,62,38,55,142,101,152,103,1551,465,148,117,82,62
BK21,Seagate-Coney Island,7019,1004,2226,625,313,175,51,62,221,104,191,134,1126,412,118,84,206,117,4793,881,304,153,84,74,289,118,663,316,2877,549,449,200,127,98
BK23,West Brighton,169,143,11,30,0,27,0,27,0,27,0,27,0,27,11,30,0,27,158,141,0,27,0,27,11,29,42,56,92,104,0,27,13,33
BK25,Homecrest,2881,670,637,356,81,94,0,48,135,141,113,105,286,158,0,48,22,50,2244,553,93,76,0,48,224,136,98,77,1570,415,203,133,56,65
BK26,Gravesend,4231,876,1605,598,136,108,41,71,268,223,201,175,782,264,97,92,80,60,2626,701,238,135,34,44,302,186,144,112,1736,471,117,84,55,64
BK27,Bath Beach,3521,828,601,303,52,57,0,40,122,122,41,46,351,166,35,68,0,40,2920,753,286,164,30,49,300,152,136,112,1965,525,157,104,46,70
BK28,Bensonhurst West,12483,1511,2875,716,342,170,82,88,341,169,364,195,1585,357,94,84,67,81,9608,1338,851,245,237,121,767,244,512,196,6595,952,483,212,163,104
BK29,Bensonhurst East,7314,1075,1222,480,69,85,75,66,149,104,193,155,679,265,27,51,30,50,6092,964,413,171,134,95,661,188,364,171,4088,666,394,183,38,52
BK30,Dyker Heights,4169,805,783,314,43,68,0,51,30,51,89,67,553,270,57,71,11,50,3386,729,258,126,84,82,298,141,244,133,2331,502,116,104,55,61
BK31,Bay Ridge,13441,1306,2365,627,436,227,101,108,335,186,140,104,1193,309,116,94,44,85,11076,1187,997,264,171,122,757,211,1050,268,7639,792,262,125,200,105
BK32,Sunset Park West,32852,1810,9582,1216,1406,351,247,131,1266,287,927,247,4974,662,376,116,386,130,23270,1619,1745,345,367,144,1911,319,1606,315,16178,1156,1013,210,450,139
BK33,Carroll Gardens-Columbia Street-Red Hook,8412,932,2204,514,118,90,0,45,272,154,184,135,1204,298,272,138,154,112,6208,923,333,146,121,76,469,199,405,171,4216,644,398,191,266,145
BK34,Sunset Park East,23622,1497,6341,987,749,259,132,97,824,238,747,223,3373,532,325,134,191,90,17281,1329,964,271,157,95,1163,243,1359,281,12409,1076,532,179,697,204
BK35,Stuyvesant Heights,13538,1298,4477,845,527,195,123,88,680,227,419,216,2381,432,258,161,89,67,9061,1192,800,248,96,81,770,284,879,245,5756,763,542,198,218,102
BK37,Park Slope-Gowanus,12648,1281,1916,607,67,81,25,61,106,96,401,267,1049,329,166,110,102,86,10732,1225,541,193,102,77,725,218,766,229,7270,883,802,205,526,147
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8214,851,3067,624,268,134,61,77,405,222,246,138,1697,334,212,89,178,88,5147,790,194,96,22,42,343,145,275,124,3530,620,525,173,258,126
BK40,Windsor Terrace,3522,674,940,532,202,219,42,73,0,32,141,129,492,254,21,33,42,50,2582,452,180,84,47,42,117,62,191,80,1779,338,232,112,36,42
BK41,Kensington-Ocean Parkway,5019,1037,1103,681,141,112,23,46,178,204,132,103,566,369,54,62,9,39,3916,863,192,139,0,40,280,179,339,181,2735,606,203,100,167,79
BK42,Flatbush,19999,1871,5389,1112,348,156,140,105,832,282,649,234,3236,687,49,72,135,95,14610,1708,996,259,287,150,1022,293,1016,330,10470,1208,656,208,163,101
BK43,Midwood,3237,709,829,377,98,86,14,53,162,121,112,99,401,190,25,56,17,50,2408,591,107,93,0,51,172,162,131,106,1848,467,82,68,68,66
BK44,Madison,2679,643,311,224,117,142,0,46,37,63,20,52,111,83,5,46,21,47,2368,607,123,111,24,53,194,113,306,147,1635,428,52,66,34,53
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,4154,787,463,242,85,103,46,63,23,58,77,82,214,108,0,55,18,59,3691,747,306,154,60,73,225,103,317,155,2627,544,120,87,36,58
BK46,Ocean Parkway South,1679,587,301,195,35,52,0,36,15,42,16,42,205,138,23,40,7,33,1378,539,132,119,0,36,72,76,92,84,1000,403,82,102,0,36
BK50,Canarsie,7293,952,2204,537,127,92,38,84,228,141,198,122,1343,391,152,103,118,107,5089,833,441,190,58,87,432,159,372,188,3455,629,209,108,122,87
BK58,Flatlands,5519,843,1411,550,200,138,78,86,182,132,270,163,621,226,31,65,29,69,4108,654,281,134,17,63,209,98,373,122,2744,463,379,135,105,79
BK60,Prospect Lefferts Gardens-Wingate,6830,1010,2195,632,369,200,97,87,241,148,129,99,1152,358,148,101,59,82,4635,909,435,224,44,69,179,143,231,142,3134,688,364,138,248,114
BK61,Crown Heights North,11529,1289,4592,908,443,198,69,99,360,147,392,187,2928,599,219,168,181,95,6937,1000,420,156,46,82,480,164,321,143,5174,786,289,137,207,116
BK63,Crown Heights South,3127,590,929,375,10,41,15,41,98,75,142,116,622,283,27,41,15,45,2198,524,183,97,24,46,149,101,100,120,1472,415,149,82,121,87
BK64,Prospect Heights,2510,493,472,216,88,86,27,44,87,77,0,32,224,103,0,32,46,54,2038,453,92,73,22,39,127,67,111,65,1448,348,169,100,69,56
BK68,Fort Greene,4800,673,1792,477,102,85,0,38,113,77,260,164,1129,315,74,53,114,71,3008,552,226,156,51,67,154,83,184,84,2054,440,205,90,134,82
BK69,Clinton Hill,5872,773,1701,486,231,146,21,48,285,189,91,70,1010,282,24,45,39,59,4171,623,217,108,94,77,257,131,187,91,3017,490,269,121,130,65
BK72,Williamsburg,3759,616,901,343,70,66,0,36,64,81,93,81,422,200,182,116,70,55,2858,611,300,291,24,48,171,106,279,135,1707,378,233,99,144,92
BK73,North Side-South Side,17107,1237,5614,840,304,130,117,134,539,182,646,210,3069,512,534,169,405,139,11493,1154,630,218,75,65,791,230,731,186,8138,817,737,216,391,145
BK75,Bedford,13059,1291,4774,784,570,194,33,58,592,184,569,222,2673,462,172,84,165,91,8285,1112,512,196,62,65,497,166,662,211,5910,865,322,127,320,119
BK76,Greenpoint,4708,673,877,299,10,50,0,42,13,43,67,76,650,235,36,49,101,69,3831,637,65,68,65,67,110,87,255,127,3164,509,80,57,92,71
BK77,Bushwick North,46296,2054,15828,1591,2049,386,365,137,1745,374,1821,348,8915,924,540,156,393,129,30468,1969,2219,400,475,160,2013,334,2437,349,21823,1460,987,209,514,155
BK78,Bushwick South,42328,2098,13541,1392,1240,283,349,150,1704,352,1656,373,7135,819,821,199,636,164,28787,2085,1794,388,358,128,2168,397,2705,449,19728,1529,1243,217,791,192
BK79,Ocean Hill,6115,886,2246,513,264,117,49,60,395,192,356,159,1031,241,87,74,64,49,3869,796,339,174,39,58,428,176,303,129,2514,512,121,81,125,71
BK81,Brownsville,10172,1268,5970,1124,904,325,228,138,577,192,654,228,3156,619,334,153,117,77,4202,794,207,115,36,66,234,114,530,207,2731,563,200,98,264,168
BK82,East New York,25643,1768,9808,1255,1388,390,313,150,1105,281,1461,285,4962,658,361,132,218,106,15835,1471,1068,278,165,95,1099,260,1465,320,10426,1024,1114,241,498,152
BK83,Cypress Hills-City Line,29011,1767,8176,1178,1225,303,212,102,772,214,1221,363,4356,625,247,105,143,92,20835,1625,1489,298,365,132,1597,298,1677,298,14324,1155,869,211,514,143
BK85,East New York (Pennsylvania Ave),8580,1022,3775,721,464,164,91,73,745,229,552,190,1756,349,131,71,36,47,4805,875,343,162,129,88,268,116,593,224,3053,576,271,107,148,74
BK88,Borough Park,10928,1372,3489,881,398,228,83,92,429,188,400,220,2019,519,84,93,76,82,7439,1034,612,214,60,78,433,165,260,123,5710,817,229,116,135,83
BK90,East Williamsburg,10923,1003,2869,610,191,126,3,39,264,131,303,139,1471,365,430,170,207,102,8054,1015,335,160,143,101,415,159,526,187,5560,786,651,173,424,138
BK91,East Flatbush-Farragut,3280,631,551,269,0,54,23,62,22,62,55,72,406,228,42,61,3,51,2729,571,238,142,26,61,248,116,179,94,1722,378,156,83,160,97
BK93,Starrett City,2696,823,656,405,16,31,0,24,100,108,101,109,243,173,83,88,113,66,2040,817,226,202,0,24,319,198,197,165,1078,501,75,81,145,101
BK95,Erasmus,2932,813,859,384,135,122,0,36,93,84,124,78,453,192,9,37,45,41,2073,740,213,156,41,56,241,182,184,128,1313,394,24,50,57,50
