area_id,area_name,b25014i001,b25014i001_moe,b25014i002,b25014i002_moe,b25014i003,b25014i003_moe
BK09,Brooklyn Heights-Cobble Hill,657,188,646,188,11,32
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1733,256,1609,250,124,101
BK19,Brighton Beach,1272,230,939,221,333,128
BK21,Seagate-Coney Island,2496,329,2315,322,181,89
BK23,West Brighton,56,60,56,60,0,27
BK25,Homecrest,949,213,860,206,89,77
BK26,Gravesend,1315,241,1177,234,138,102
BK27,Bath Beach,1047,247,928,239,119,75
BK28,Bensonhurst West,3675,394,3063,370,612,172
BK29,Bensonhurst East,2310,315,1998,303,312,127
BK30,Dyker Heights,1398,247,1206,228,192,116
BK31,Bay Ridge,4993,435,4556,426,437,159
BK32,Sunset Park West,9916,428,7515,438,2401,317
BK33,Carroll Gardens-Columbia Street-Red Hook,3458,347,3212,341,246,128
BK34,Sunset Park East,7124,377,5669,379,1455,246
BK35,Stuyvesant Heights,4589,404,3957,398,632,179
BK37,Park Slope-Gowanus,4606,461,4186,446,420,173
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3228,273,2998,275,230,104
BK40,Windsor Terrace,1121,211,995,200,126,105
BK41,Kensington-Ocean Parkway,1609,278,1262,247,347,144
BK42,Flatbush,6198,501,4720,452,1478,294
BK43,Midwood,1124,240,982,227,142,97
BK44,Madison,813,208,748,196,65,71
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1124,224,956,209,168,106
BK46,Ocean Parkway South,573,178,530,170,43,61
BK50,Canarsie,2252,294,1906,279,346,125
BK58,Flatlands,1814,250,1598,234,216,116
BK60,Prospect Lefferts Gardens-Wingate,2451,333,2035,336,416,174
BK61,Crown Heights North,4215,415,3748,399,467,157
BK63,Crown Heights South,1222,224,1077,209,145,98
BK64,Prospect Heights,1105,241,1069,242,36,35
BK68,Fort Greene,1904,264,1759,257,145,78
BK69,Clinton Hill,2019,269,1808,264,211,105
BK72,Williamsburg,1412,213,1125,224,287,144
BK73,North Side-South Side,6611,414,5319,424,1292,258
BK75,Bedford,4646,378,4226,362,420,144
BK76,Greenpoint,1824,255,1702,248,122,76
BK77,Bushwick North,13153,448,10357,482,2796,334
BK78,Bushwick South,13395,533,11147,543,2248,339
BK79,Ocean Hill,2034,264,1850,266,184,99
BK81,Brownsville,3637,371,3424,373,213,109
BK82,East New York,8056,498,6726,475,1330,271
BK83,Cypress Hills-City Line,8007,410,6122,403,1885,275
BK85,East New York (Pennsylvania Ave),2624,290,2236,286,388,126
BK88,Borough Park,3216,363,2429,317,787,208
BK90,East Williamsburg,4602,360,4107,347,495,160
BK91,East Flatbush-Farragut,1197,229,1079,215,118,91
BK93,Starrett City,1202,301,1170,297,32,52
BK95,Erasmus,913,197,626,152,287,132
BK96,Rugby-Remsen Village,853,202,780,194,73,72
BK99,park-cemetery-etc-Brooklyn,31,49,31,49,0,40
BX01,Claremont-Bathgate,5230,316,4514,330,716,167
BX03,Eastchester-Edenwald-Baychester,2629,293,2417,303,212,115
BX05,Bedford Park-Fordham North,11849,468,9916,513,1933,305
BX06,Belmont,4942,320,4037,333,905,208
BX07,Bronxdale,6455,386,5646,391,809,198
BX08,West Farms-Bronx River,7607,371,6518,401,1089,237
BX09,Soundview-Castle Hill-Clason Point-Harding Park,10941,441,10090,471,851,215
BX10,Pelham Bay-Country Club-City Island,2998,343,2989,339,9,42
