area_id,area_name,b18101f001,b18101f001_moe,b18101f002,b18101f002_moe,b18101f003,b18101f003_moe,b18101f004,b18101f004_moe,b18101f005,b18101f005_moe,b18101f006,b18101f006_moe,b18101f007,b18101f007_moe,b18101f008,b18101f008_moe,b18101f009,b18101f009_moe,b18101f010,b18101f010_moe
BK09,Brooklyn Heights-Cobble Hill,682,272,44,56,0,29,44,56,572,239,15,29,557,239,66,77,23,38,43,73
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,936,439,342,243,0,55,342,243,518,230,36,60,482,226,76,79,28,60,48,67
BK19,Brighton Beach,689,421,132,119,0,38,132,119,541,338,21,49,520,337,16,41,8,40,8,39
BK21,Seagate-Coney Island,2573,668,623,258,10,40,613,257,1625,512,186,92,1439,489,325,188,123,92,202,139
BK23,West Brighton,1,24,0,27,0,27,0,27,1,24,0,27,1,24,0,27,0,27,0,27
BK25,Homecrest,1067,443,294,177,0,48,294,177,706,329,0,48,706,329,67,106,0,48,67,106
BK26,Gravesend,1673,581,682,356,0,36,682,356,905,283,121,105,784,272,86,92,86,92,0,36
BK27,Bath Beach,1687,652,559,264,0,40,559,264,1079,432,13,43,1066,429,49,62,6,39,43,63
BK28,Bensonhurst West,4115,1058,1120,438,0,64,1120,438,2870,734,174,112,2696,713,125,106,16,67,109,103
BK29,Bensonhurst East,2223,639,651,270,10,52,641,268,1453,439,45,68,1408,433,119,106,23,57,96,105
BK30,Dyker Heights,1005,420,241,144,54,98,187,119,730,340,46,63,684,333,34,63,9,52,25,62
BK31,Bay Ridge,4605,887,1542,430,0,66,1542,430,2935,533,375,197,2560,492,128,104,53,84,75,90
BK32,Sunset Park West,16253,1544,4574,668,109,92,4465,646,10715,1039,598,181,10117,1017,964,238,428,146,536,167
BK33,Carroll Gardens-Columbia Street-Red Hook,4800,896,1016,375,37,59,979,354,3175,621,487,201,2688,602,609,258,226,168,383,189
BK34,Sunset Park East,10220,1323,2844,546,42,71,2802,540,6988,977,562,189,6426,943,388,153,200,96,188,120
BK35,Stuyvesant Heights,5043,888,1330,385,125,110,1205,334,3186,598,388,141,2798,566,527,195,269,126,258,151
BK37,Park Slope-Gowanus,6577,1087,1407,441,65,91,1342,428,4514,767,356,172,4158,755,656,197,275,137,381,153
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4023,741,883,373,54,67,829,365,2617,534,559,180,2058,509,523,197,222,121,301,156
BK40,Windsor Terrace,1319,507,290,241,0,32,290,241,943,329,1,30,942,329,86,62,26,42,60,56
BK41,Kensington-Ocean Parkway,3174,945,912,429,17,46,895,425,2149,625,116,85,2033,613,113,72,37,49,76,66
BK42,Flatbush,11012,1665,2812,640,26,83,2786,639,7842,1199,242,123,7600,1189,358,167,90,83,268,160
BK43,Midwood,1787,633,500,254,0,51,500,254,1223,443,64,75,1159,428,64,73,20,61,44,64
BK44,Madison,640,326,171,123,8,48,163,116,467,220,6,45,461,220,2,45,2,45,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1253,526,233,167,0,55,233,167,951,380,57,77,894,343,69,78,37,69,32,60
BK46,Ocean Parkway South,931,436,217,142,0,36,217,142,655,320,81,83,574,273,59,99,28,54,31,60
BK50,Canarsie,3710,826,975,347,22,75,953,346,2510,600,246,126,2264,582,225,119,102,100,123,93
BK58,Flatlands,1958,581,575,312,16,63,559,310,1285,369,49,67,1236,364,98,91,27,66,71,84
BK60,Prospect Lefferts Gardens-Wingate,3674,918,829,402,0,58,829,402,2587,640,139,119,2448,630,258,134,173,120,85,81
BK61,Crown Heights North,6302,1118,1523,411,142,116,1381,369,4454,818,513,195,3941,775,325,150,180,112,145,96
BK63,Crown Heights South,1791,540,385,219,13,43,372,218,1318,419,132,99,1186,421,88,87,31,54,57,68
BK64,Prospect Heights,1220,408,250,138,14,32,236,135,806,312,60,60,746,303,164,103,68,60,96,71
BK68,Fort Greene,2302,517,450,202,19,44,431,194,1674,418,189,110,1485,404,178,79,128,68,50,56
