Sex by Marital Status (Two or More Races)
-----------------------------------------
Universe: Two or More Races Population 15 Years and Over

B12002G001 Total:
B12002G002  Male:
B12002G003   Never married
B12002G004   Now married (except separated)
B12002G005   Separated
B12002G006   Widowed
B12002G007   Divorced
B12002G008  Female:
B12002G009   Never married
B12002G010   Now married (except separated)
B12002G011   Separated
B12002G012   Widowed
B12002G013   Divorced
