area_id,area_name,b18106001,b18106001_moe,b18106002,b18106002_moe,b18106003,b18106003_moe,b18106004,b18106004_moe,b18106005,b18106005_moe,b18106006,b18106006_moe,b18106007,b18106007_moe,b18106008,b18106008_moe,b18106009,b18106009_moe,b18106010,b18106010_moe,b18106011,b18106011_moe,b18106012,b18106012_moe,b18106013,b18106013_moe,b18106014,b18106014_moe,b18106015,b18106015_moe,b18106016,b18106016_moe,b18106017,b18106017_moe,b18106018,b18106018_moe,b18106019,b18106019_moe,b18106020,b18106020_moe,b18106021,b18106021_moe,b18106022,b18106022_moe,b18106023,b18106023_moe,b18106024,b18106024_moe,b18106025,b18106025_moe,b18106026,b18106026_moe,b18106027,b18106027_moe,b18106028,b18106028_moe,b18106029,b18106029_moe,b18106030,b18106030_moe,b18106031,b18106031_moe,b18106032,b18106032_moe,b18106033,b18106033_moe
BK09,Brooklyn Heights-Cobble Hill,21960,1113,11096,750,866,252,0,29,866,252,3953,461,15,41,3938,458,4948,433,5,29,4943,432,845,173,29,42,816,174,484,147,70,47,414,139,10864,606,602,176,0,29,602,176,4051,418,44,71,4007,407,4659,404,40,52,4619,402,765,171,17,36,748,169,787,217,49,36,738,213
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,58149,1488,27122,951,4350,497,22,60,4328,496,5822,525,24,55,5798,525,12460,565,323,113,12137,558,2281,282,154,91,2127,273,2209,269,723,159,1486,223,31027,1004,3795,464,19,57,3776,464,6662,543,11,54,6651,543,13848,597,336,132,13512,591,2956,299,316,117,2640,283,3766,377,1350,255,2416,279
BK19,Brighton Beach,29964,1186,13596,739,1767,298,0,38,1767,298,3586,463,0,38,3586,463,5774,438,106,68,5668,436,1026,187,146,67,880,179,1443,223,650,178,793,153,16368,736,1921,347,24,55,1897,344,3141,392,1,36,3140,392,7007,442,117,80,6890,436,1745,246,356,112,1389,234,2554,288,1436,249,1118,205
BK21,Seagate-Coney Island,28057,1180,12916,820,2553,437,36,47,2517,433,3303,541,26,40,3277,537,4764,447,137,85,4627,451,1281,240,153,79,1128,227,1015,226,257,130,758,190,15141,721,2553,377,10,37,2543,377,2737,388,29,57,2708,391,6490,419,323,122,6167,423,1744,270,170,82,1574,273,1617,236,687,168,930,200
BK23,West Brighton,15039,651,6396,435,567,145,0,27,567,145,796,198,39,41,757,191,2624,353,51,45,2573,353,1364,264,57,47,1307,265,1045,198,198,82,847,179,8643,455,349,139,0,27,349,139,1069,234,0,27,1069,234,3668,366,80,56,3588,365,1707,276,147,76,1560,263,1850,266,579,171,1271,236
BK25,Homecrest,39295,1320,19531,819,3921,461,18,49,3903,461,4748,480,68,71,4680,478,7879,444,290,137,7589,443,1642,242,98,69,1544,235,1341,196,306,104,1035,177,19764,730,3617,433,10,47,3607,434,4641,391,0,48,4641,391,7521,422,131,68,7390,424,2117,259,175,86,1942,249,1868,231,494,134,1374,201
BK26,Gravesend,26323,1155,12000,672,1685,334,28,46,1657,334,2827,386,16,36,2811,385,4724,377,188,101,4536,372,1527,284,32,37,1495,283,1237,229,359,129,878,199,14323,744,2082,408,2,34,2080,408,2912,356,26,43,2886,353,5852,390,157,92,5695,391,1976,293,128,61,1848,285,1501,239,572,160,929,193
BK27,Bath Beach,27293,1135,13268,731,1964,360,11,39,1953,360,3578,471,14,44,3564,471,5525,391,118,62,5407,392,1237,203,21,41,1216,202,964,176,185,83,779,161,14025,627,1919,283,7,40,1912,283,3361,386,46,57,3315,380,5894,417,116,64,5778,415,1511,225,64,66,1447,220,1340,206,450,129,890,170
BK28,Bensonhurst West,81321,2036,39403,1278,6409,568,22,65,6387,568,10932,848,8,62,10924,848,16655,679,265,120,16390,672,3018,324,115,83,2903,317,2389,305,423,178,1966,251,41918,1207,6628,612,31,71,6597,613,10816,670,81,81,10735,669,16779,635,257,98,16522,633,3837,342,189,104,3648,326,3858,397,982,241,2876,301
BK29,Bensonhurst East,57730,1535,28365,931,4268,441,53,55,4215,442,7184,616,0,51,7184,616,12295,565,170,86,12125,568,2595,293,134,66,2461,290,2023,261,265,90,1758,249,29365,958,4021,461,0,51,4021,461,7251,563,22,57,7229,562,12514,598,200,82,12314,595,2828,291,149,63,2679,287,2751,280,848,167,1903,238
BK30,Dyker Heights,42227,1384,20612,888,3212,392,54,98,3158,384,5870,588,51,69,5819,585,8451,460,75,56,8376,458,1631,233,14,51,1617,232,1448,212,175,89,1273,194,21615,832,3374,431,6,49,3368,431,5089,478,12,51,5077,478,9202,475,195,93,9007,476,1929,231,22,49,1907,231,2021,241,341,115,1680,219
BK31,Bay Ridge,78209,1825,36958,1172,5946,555,28,67,5918,555,9743,663,12,66,9731,663,16951,675,305,122,16646,674,2364,268,88,73,2276,265,1954,228,255,92,1699,216,41251,1145,5842,614,28,70,5814,613,10739,635,112,92,10627,630,17254,655,357,147,16897,645,3552,317,170,80,3382,315,3864,341,786,172,3078,307
BK32,Sunset Park West,48146,1520,24978,1081,4403,490,55,68,4348,485,9910,752,29,63,9881,752,8968,577,151,91,8817,571,979,211,95,79,884,196,718,165,120,78,598,146,23168,936,4083,478,0,49,4083,478,7782,565,31,60,7751,563,8695,464,139,74,8556,462,1291,196,104,68,1187,190,1317,232,404,136,913,178
BK33,Carroll Gardens-Columbia Street-Red Hook,36567,1202,16952,912,2685,424,39,58,2646,419,5117,552,2,44,5115,552,7655,541,52,54,7603,542,875,210,88,93,787,190,620,168,62,67,558,158,19615,817,2611,342,0,45,2611,342,6512,629,3,42,6509,628,8208,496,124,86,8084,493,1102,195,84,74,1018,187,1182,245,274,133,908,203
BK34,Sunset Park East,65971,1900,33813,1244,6756,647,75,77,6681,643,11699,806,11,59,11688,805,12917,642,105,87,12812,644,1281,230,151,97,1130,219,1160,199,231,97,929,180,32158,1052,5438,564,41,65,5397,561,9953,656,17,64,9936,656,13449,584,221,92,13228,579,1638,245,77,59,1561,245,1680,234,413,117,1267,209
