area_id,area_name,c15002a001,c15002a001_moe,c15002a002,c15002a002_moe,c15002a003,c15002a003_moe,c15002a004,c15002a004_moe,c15002a005,c15002a005_moe,c15002a006,c15002a006_moe,c15002a007,c15002a007_moe,c15002a008,c15002a008_moe,c15002a009,c15002a009_moe,c15002a010,c15002a010_moe,c15002a011,c15002a011_moe
BK09,Brooklyn Heights-Cobble Hill,14873,736,7618,488,117,67,497,183,654,201,6350,425,7255,468,114,62,455,172,697,192,5989,416
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,34870,1014,15815,615,1266,227,4224,427,3400,366,6925,517,19055,691,1635,290,6175,493,3970,404,7275,517
BK19,Brighton Beach,19696,827,8581,517,952,198,2263,349,1797,291,3569,372,11115,532,1287,218,2827,371,2642,341,4359,412
BK21,Seagate-Coney Island,9930,719,4387,437,1039,248,1213,241,1071,243,1064,211,5543,428,1101,228,1987,283,943,212,1512,246
BK23,West Brighton,13116,532,5495,373,432,139,1635,286,1031,214,2397,347,7621,392,771,229,2163,309,1772,290,2915,379
BK25,Homecrest,23850,830,11416,503,1365,216,3640,397,2384,306,4027,368,12434,496,1601,238,4609,409,2720,305,3504,326
BK26,Gravesend,13260,659,5946,409,973,209,2161,327,1104,219,1708,266,7314,399,1129,207,2664,344,1538,265,1983,316
BK27,Bath Beach,13704,796,6446,486,1104,309,2466,316,1198,213,1678,256,7258,475,1238,202,2803,350,1273,222,1944,328
BK28,Bensonhurst West,35355,1157,16186,698,3673,431,5788,469,3111,359,3614,363,19169,700,4159,405,7517,515,3479,388,4014,365
BK29,Bensonhurst East,26201,973,12657,620,2740,367,4742,477,2185,290,2990,326,13544,603,2834,321,5105,459,2243,286,3362,359
BK30,Dyker Heights,19856,829,9607,569,1473,298,3380,357,2085,284,2669,300,10249,466,1638,227,3584,336,2219,276,2808,287
BK31,Bay Ridge,46634,1149,21697,751,2358,332,4999,483,4481,426,9859,553,24937,747,3160,396,6346,476,4559,404,10872,562
BK32,Sunset Park West,16516,1030,8781,699,2653,425,1964,324,1675,279,2489,332,7735,539,2431,333,1715,262,1215,219,2374,287
BK33,Carroll Gardens-Columbia Street-Red Hook,20583,800,9863,551,692,193,1270,254,1332,263,6569,466,10720,566,883,206,1212,239,1214,238,7411,452
BK34,Sunset Park East,14854,961,7271,598,2348,409,2116,333,1253,222,1554,263,7583,530,2362,345,2273,306,1257,233,1691,260
BK35,Stuyvesant Heights,4760,614,2369,369,732,207,568,187,403,151,666,186,2391,358,598,164,587,185,529,164,677,172
BK37,Park Slope-Gowanus,40814,1215,19733,790,1101,243,1098,237,1988,289,15546,700,21081,803,968,197,1597,284,1583,278,16933,741
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,14470,703,7252,492,508,174,686,174,800,179,5258,391,7218,415,715,160,663,163,642,148,5198,347
BK40,Windsor Terrace,12482,628,6034,387,220,81,1186,242,1185,238,3443,321,6448,397,590,152,1045,193,749,163,4064,345
BK41,Kensington-Ocean Parkway,13226,746,6218,446,901,194,1596,275,1197,224,2524,318,7008,448,709,204,1724,265,1634,290,2941,347
BK42,Flatbush,19262,1024,9402,672,1743,312,1800,321,1917,302,3942,409,9860,570,1627,260,1894,280,1663,249,4676,427
BK43,Midwood,25779,831,12011,511,1091,209,2421,291,2645,325,5854,402,13768,524,1190,207,3134,371,3097,339,6347,449
BK44,Madison,21391,744,9996,466,920,198,2810,328,2138,276,4128,349,11395,460,1080,206,3289,318,2415,295,4611,378
