area_id,area_name,b20017b001,b20017b001_moe,b20017b002,b20017b002_moe,b20017b003,b20017b003_moe,b20017b004,b20017b004_moe,b20017b005,b20017b005_moe,b20017b006,b20017b006_moe,b20017b007,b20017b007_moe
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,24190,2854,21105,13218,23792,17929,13846,24382,26276,5517,30450,14424,14712,16170
BK21,Seagate-Coney Island,102130,21587,92663,31062,189425,91422,59517,22386,88895,23760,152395,43774,45607,13795
BK32,Sunset Park West,73462,22263,71288,30032,87143,50284,51457,16099,78455,37964,92355,25056,40724,72494
BK33,Carroll Gardens-Columbia Street-Red Hook,17599,6290,13684,8332,18388,12529,6618,1633,24572,5251,31225,4993,9547,15033
BK35,Stuyvesant Heights,523690,33827,526572,53120,650458,59483,207913,43013,522075,43478,683389,49060,188341,55483
BK37,Park Slope-Gowanus,85893,86798,113377,102675,113728,67290,3929,893,41719,82287,90205,44351,13449,9401
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,168888,84775,175164,120904,278501,141928,101558,254834,178944,77504,220613,93422,74739,343761
BK41,Kensington-Ocean Parkway,101079,34202,125987,62578,144077,42176,64788,46338,82962,32843,109763,33568,51033,67859
BK42,Flatbush,591955,38635,631540,58373,793773,115702,297950,89616,570213,50623,707359,59854,256765,95965
BK43,Midwood,86518,13243,78282,25428,136623,50116,42791,4229,101677,28222,100568,52960,89501,34999
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,200468,33066,190303,72243,262907,62492,49319,33904,210301,55878,231979,131750,85156,49266
BK50,Canarsie,1229044,50877,1217452,86415,1527683,106336,394269,105259,1223274,64631,1432813,65021,420960,91775
BK58,Flatlands,876538,72322,858830,115291,1194435,106186,414417,138871,935897,80432,1136462,87117,396462,114548
BK60,Prospect Lefferts Gardens-Wingate,508943,27095,529299,53101,701894,61885,187707,57481,510509,32690,639947,60224,199528,38343
BK61,Crown Heights North,860628,38992,910748,73524,1144817,92548,364244,84988,841235,53421,1020461,52974,279207,51195
BK63,Crown Heights South,245095,29751,250301,28470,334634,41739,128549,30965,259348,38295,327534,16008,77899,43447
BK64,Prospect Heights,265093,61239,246466,120913,398056,73387,82834,53999,282801,104831,400410,137206,72922,70144
BK68,Fort Greene,236248,77307,263919,97579,300214,248402,59955,180535,226884,96776,320828,52901,181824,78737
BK69,Clinton Hill,414057,43844,415179,80480,511087,91371,212036,99221,440567,42612,518955,49250,199360,72423
BK75,Bedford,454989,32240,508586,54630,583413,74335,182368,139227,425577,30709,535115,30285,189543,29448
BK77,Bushwick North,114334,34778,108162,59814,171275,102240,38942,105961,105089,59468,160812,47899,31943,29725
BK78,Bushwick South,343997,29852,373629,86636,497888,90795,139218,59635,324272,31061,408288,42103,169767,57686
BK79,Ocean Hill,285050,27426,311798,52012,387483,43574,122036,42553,278761,20592,338636,35593,133901,64198
BK81,Brownsville,388641,26286,421694,78647,539300,53774,185223,51334,375455,32916,481697,42161,164856,22386
BK82,East New York,699523,44966,707564,81492,878424,90520,292150,62055,703677,45722,877319,50171,370213,151439
BK83,Cypress Hills-City Line,302227,50645,328489,70954,408068,79503,294480,152874,249446,66341,369812,88234,129591,40049
BK85,East New York (Pennsylvania Ave),240874,27922,246266,36123,364021,61184,87395,28196,243947,41099,334948,34715,93957,20262
BK90,East Williamsburg,32298,8148,24018,17045,36250,19738,12250,18835,36167,8858,38047,10884,8194,9714
BK91,East Flatbush-Farragut,616607,27772,632406,49764,750043,53704,308570,95612,610380,36688,729528,57079,325969,59499
