area_id,area_name,b16005h001,b16005h001_moe,b16005h002,b16005h002_moe,b16005h003,b16005h003_moe,b16005h004,b16005h004_moe,b16005h005,b16005h005_moe,b16005h006,b16005h006_moe,b16005h007,b16005h007_moe,b16005h008,b16005h008_moe,b16005h009,b16005h009_moe,b16005h010,b16005h010_moe,b16005h011,b16005h011_moe
BK09,Brooklyn Heights-Cobble Hill,16778,875,14425,829,13164,810,1261,293,1155,283,106,66,2353,388,828,187,1525,351,1228,269,297,167
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,40490,1374,21608,1168,17744,1130,3864,500,2970,439,894,238,18882,1092,1295,299,17587,1083,5722,640,11865,906
BK19,Brighton Beach,21119,986,5389,653,3158,515,2231,448,1791,406,440,169,15730,850,349,127,15381,848,2800,437,12581,794
BK21,Seagate-Coney Island,9272,866,3973,650,2990,615,983,288,592,203,391,170,5299,570,225,111,5074,567,719,192,4355,506
BK23,West Brighton,14600,718,5654,576,4081,531,1573,384,934,258,639,315,8946,740,362,145,8584,756,2580,472,6004,602
BK25,Homecrest,31278,1269,18538,1124,13326,1037,5212,741,3382,540,1830,491,12740,812,1328,246,11412,777,3779,449,7633,621
BK26,Gravesend,14135,807,7317,650,5459,608,1858,354,759,205,1099,323,6818,672,428,191,6390,660,1494,349,4896,556
BK27,Bath Beach,15007,950,9857,801,7723,731,2134,325,1515,266,619,215,5150,580,282,127,4868,564,1371,300,3497,425
BK28,Bensonhurst West,38813,1495,21528,1261,16176,1130,5352,638,3763,512,1589,386,17285,1005,1643,336,15642,963,3965,459,11677,809
BK29,Bensonhurst East,27430,1190,13370,859,10082,809,3288,437,2195,360,1093,260,14060,935,706,190,13354,923,3482,468,9872,794
BK30,Dyker Heights,22547,1023,16310,878,13118,849,3192,436,2470,377,722,230,6237,648,625,175,5612,629,2091,320,3521,470
BK31,Bay Ridge,52814,1713,37519,1378,30720,1237,6799,842,5841,796,958,266,15295,1118,2230,371,13065,1044,5422,596,7643,774
BK32,Sunset Park West,9325,758,7227,668,6374,632,853,253,615,181,238,127,2098,412,292,101,1806,399,740,220,1066,274
BK33,Carroll Gardens-Columbia Street-Red Hook,21683,945,19176,943,17738,934,1438,280,1256,266,182,109,2507,367,975,211,1532,297,1104,249,428,151
BK34,Sunset Park East,9357,841,6339,712,4126,506,2213,527,1681,434,532,218,3018,417,412,159,2606,396,720,181,1886,348
BK35,Stuyvesant Heights,2888,537,2499,502,2264,483,235,153,188,133,47,60,389,163,88,73,301,152,145,83,156,127
