area_id,area_name,b07009001,b07009001_moe,b07009002,b07009002_moe,b07009003,b07009003_moe,b07009004,b07009004_moe,b07009005,b07009005_moe,b07009006,b07009006_moe,b07009007,b07009007_moe,b07009008,b07009008_moe,b07009009,b07009009_moe,b07009010,b07009010_moe,b07009011,b07009011_moe,b07009012,b07009012_moe,b07009013,b07009013_moe,b07009014,b07009014_moe,b07009015,b07009015_moe,b07009016,b07009016_moe,b07009017,b07009017_moe,b07009018,b07009018_moe,b07009019,b07009019_moe,b07009020,b07009020_moe,b07009021,b07009021_moe,b07009022,b07009022_moe,b07009023,b07009023_moe,b07009024,b07009024_moe,b07009025,b07009025_moe,b07009026,b07009026_moe,b07009027,b07009027_moe,b07009028,b07009028_moe,b07009029,b07009029_moe,b07009030,b07009030_moe,b07009031,b07009031_moe,b07009032,b07009032_moe,b07009033,b07009033_moe,b07009034,b07009034_moe,b07009035,b07009035_moe,b07009036,b07009036_moe
BX10,Pelham Bay-Country Club-City Island,19960,906,3762,487,5805,608,4989,547,3095,460,2309,437,17456,939,3444,462,5197,588,4388,507,2520,414,1907,396,1683,466,216,126,383,154,362,179,415,179,307,233,396,232,5,33,155,139,45,53,114,95,77,73,278,170,13,39,70,72,181,154,14,37,0,34,147,103,84,89,0,34,13,36,32,47,18,42
BX13,Co-op City,32379,1196,5500,696,9170,820,9814,1007,5002,603,2893,559,30484,1268,5040,685,8616,817,9283,989,4821,586,2724,556,1245,355,325,177,440,208,320,172,91,68,69,65,427,176,78,67,97,98,139,102,61,68,52,65,103,100,9,33,9,33,8,28,29,52,48,58,120,94,48,49,8,32,64,86,0,33,0,33
BX14,East Concourse-Concourse Village,38729,1460,14870,1121,9297,800,9237,795,3602,492,1723,311,34291,1434,13062,1069,8401,759,8043,773,3264,474,1521,292,2989,578,1197,350,667,246,770,275,245,133,110,86,777,249,237,147,120,90,320,143,35,54,65,74,202,162,119,137,54,67,29,68,0,51,0,51,470,201,255,152,55,94,75,96,58,72,27,66
BX17,East Tremont,23179,1017,9212,743,6483,680,5243,541,1832,310,409,141,20817,1049,8213,739,5894,680,4793,526,1581,295,336,130,1525,318,708,203,361,129,284,115,129,90,43,59,426,144,174,95,123,73,90,71,30,55,9,45,144,104,23,52,32,49,30,53,59,68,0,45,267,153,94,76,73,91,46,54,33,50,21,49
BX22,North Riverdale-Fieldston-Riverdale,18459,717,1490,313,2817,344,3200,387,4982,463,5970,512,16725,732,1424,302,2513,324,2970,374,4407,454,5411,501,701,217,18,42,111,71,74,63,218,96,280,144,585,194,25,43,51,48,83,55,211,131,215,129,386,210,0,38,142,125,48,50,132,110,64,50,62,58,23,50,0,38,25,44,14,43,0,38
BX26,Highbridge,21463,853,7784,694,5945,623,5575,545,1459,276,700,212,18522,842,6507,663,5406,584,4797,514,1181,267,631,193,1461,341,808,235,222,133,367,174,41,49,23,41,796,239,248,106,186,95,279,150,83,70,0,42,123,77,2,39,17,42,91,70,7,43,6,42,561,213,219,138,114,92,41,58,147,100,40,59
BX27,Hunts Point,15519,703,7125,630,3980,423,3081,384,1032,226,301,116,13361,704,6092,586,3451,400,2668,353,908,208,242,94,1320,270,662,194,266,93,251,113,110,104,31,58,576,153,283,108,147,80,104,70,14,38,28,58,105,80,25,38,28,47,52,56,0,38,0,38,157,92,63,62,88,74,6,36,0,38,0,38
BX28,Van Cortlandt Village,31784,1126,8554,737,8905,802,8267,761,3988,468,2070,321,28424,1087,7463,692,8109,790,7367,723,3595,448,1890,304,1836,406,711,252,423,154,429,174,172,104,101,99,836,274,259,166,186,131,280,140,100,83,11,43,296,143,78,85,58,65,117,104,22,52,21,54,392,185,43,62,129,102,74,93,99,106,47,88
BX29,Spuyten Duyvil-Kingsbridge,22052,758,2802,398,3692,418,4828,462,4941,499,5789,450,19517,787,2460,375,3261,385,4269,441,4134,445,5393,453,1029,310,229,120,242,159,248,132,198,102,112,65,1073,274,113,81,124,78,271,129,372,178,193,86,280,120,0,38,40,52,12,41,164,91,64,59,153,92,0,38,25,51,28,56,73,67,27,45
BX30,Kingsbridge Heights,19666,1024,6199,708,5757,691,4444,470,2468,514,798,181,17031,1020,5292,661,4963,645,4036,448,2041,483,699,171,1552,401,443,190,540,241,259,138,246,133,64,56,668,268,202,120,169,95,137,102,125,142,35,49,98,66,36,46,47,58,0,38,15,41,0,38,317,190,226,172,38,58,12,39,41,61,0,38
BX31,Allerton-Pelham Gardens,22535,919,4394,488,6223,537,5760,554,3686,433,2472,328,20666,917,4032,462,5663,524,5289,543,3351,426,2331,321,1269,328,279,121,379,139,369,155,175,95,67,62,323,131,64,67,106,69,62,57,87,88,4,41,136,89,0,42,54,70,31,49,18,43,33,61,141,80,19,43,21,46,9,42,55,67,37,52
BX33,Longwood,14150,746,6226,674,3705,438,3114,388,744,185,361,118,12077,727,5322,625,3134,406,2669,349,625,162,327,113,1209,346,544,245,263,116,263,152,105,77,34,48,593,210,248,123,202,113,136,85,7,34,0,36,124,81,84,65,10,35,30,44,0,36,0,36,147,94,28,36,96,81,16,40,7,35,0,36
BX34,Melrose South-Mott Haven North,21347,919,9340,813,5651,600,4454,499,1458,277,444,157,18719,896,8115,747,5114,553,3784,457,1278,258,428,155,1830,378,892,304,425,170,415,141,98,71,0,42,349,176,227,158,28,45,75,74,3,38,16,45,264,164,86,84,23,53,139,142,16,44,0,42,185,189,20,49,61,106,41,70,63,103,0,42
