area_id,area_name,c21007001,c21007001_moe,c21007002,c21007002_moe,c21007003,c21007003_moe,c21007004,c21007004_moe,c21007005,c21007005_moe,c21007006,c21007006_moe,c21007007,c21007007_moe,c21007008,c21007008_moe,c21007009,c21007009_moe,c21007010,c21007010_moe,c21007011,c21007011_moe,c21007012,c21007012_moe,c21007013,c21007013_moe,c21007014,c21007014_moe,c21007015,c21007015_moe,c21007016,c21007016_moe,c21007017,c21007017_moe,c21007018,c21007018_moe,c21007019,c21007019_moe,c21007020,c21007020_moe,c21007021,c21007021_moe,c21007022,c21007022_moe,c21007023,c21007023_moe,c21007024,c21007024_moe,c21007025,c21007025_moe,c21007026,c21007026_moe,c21007027,c21007027_moe,c21007028,c21007028_moe,c21007029,c21007029_moe,c21007030,c21007030_moe,c21007031,c21007031_moe
BK09,Brooklyn Heights-Cobble Hill,19637,931,16756,886,212,101,1,27,0,29,1,27,211,101,84,81,127,65,16544,879,1842,488,159,140,1683,466,14702,796,638,233,14064,795,2881,356,439,121,0,29,0,29,0,29,439,121,123,63,316,104,2442,349,244,102,109,64,135,93,2198,346,554,210,1644,282
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,50004,1222,38792,1226,735,169,146,91,84,75,62,75,589,150,86,66,503,143,38057,1218,5096,632,801,183,4295,614,32961,1249,2081,341,30880,1218,11212,656,1206,182,138,74,80,58,58,69,1068,171,512,123,556,133,10006,644,2189,348,1473,299,716,180,7817,552,3517,382,4300,403
BK19,Brighton Beach,26276,980,19508,975,206,108,67,66,1,34,66,68,139,92,0,38,139,92,19302,974,3928,647,637,233,3291,585,15374,988,657,165,14717,974,6768,458,278,100,36,47,25,46,11,38,242,90,110,73,132,61,6490,433,2947,346,2555,323,392,139,3543,401,2076,310,1467,272
BK21,Seagate-Coney Island,22926,916,17269,991,359,140,57,52,31,42,26,47,302,136,40,62,262,120,16910,971,4785,784,1057,259,3728,707,12125,925,1093,234,11032,897,5657,489,301,131,20,44,20,44,0,38,281,129,123,106,158,84,5356,467,2261,304,1530,263,731,184,3095,414,1168,240,1927,331
BK23,West Brighton,14123,557,8157,749,96,57,1,24,0,27,1,24,95,57,23,32,72,50,8061,751,564,159,174,81,390,143,7497,751,784,214,6713,731,5966,454,562,155,0,27,0,27,0,27,562,155,250,99,312,122,5404,441,1205,242,761,180,444,152,4199,431,1804,267,2395,397
BK25,Homecrest,31702,936,24734,983,315,108,7,48,0,48,7,48,308,108,32,51,276,104,24419,978,2766,492,384,133,2382,467,21653,957,1172,246,20481,959,6968,502,647,152,20,48,11,50,9,46,627,150,216,93,411,120,6321,461,1216,216,679,165,537,147,5105,448,1895,267,3210,373
BK26,Gravesend,22556,896,16315,890,508,172,28,46,11,36,17,42,480,169,74,82,406,151,15807,861,2942,474,586,174,2356,423,12865,874,987,222,11878,848,6241,501,813,196,38,42,13,36,25,42,775,192,155,88,620,177,5428,482,1022,198,834,174,188,86,4406,483,1681,306,2725,430
BK27,Bath Beach,23410,923,18358,989,477,146,56,65,11,42,45,63,421,135,43,44,378,131,17881,987,2529,457,329,117,2200,428,15352,995,853,193,14499,960,5052,426,677,151,73,57,41,50,32,47,604,142,148,64,456,131,4375,386,723,165,432,126,291,106,3652,370,1279,223,2373,317
BK28,Bensonhurst West,68284,1632,55182,1636,774,189,19,65,4,63,15,66,755,188,48,75,707,183,54408,1629,8170,851,680,171,7490,825,46238,1646,2327,324,43911,1600,13102,777,1203,211,82,86,57,84,25,67,1121,198,338,109,783,163,11899,721,2389,370,1312,281,1077,237,9510,622,3171,343,6339,530
BK29,Bensonhurst East,49441,1236,39244,1288,656,171,10,50,0,51,10,50,646,170,14,54,632,169,38588,1287,5367,694,588,168,4779,664,33221,1307,1408,217,31813,1289,10197,617,1081,188,44,53,27,52,17,51,1037,187,276,110,761,162,9116,581,1973,288,1069,199,904,201,7143,552,2447,294,4696,488
