area_id,area_name,b25027001,b25027001_moe,b25027002,b25027002_moe,b25027003,b25027003_moe,b25027004,b25027004_moe,b25027005,b25027005_moe,b25027006,b25027006_moe,b25027007,b25027007_moe,b25027008,b25027008_moe,b25027009,b25027009_moe,b25027010,b25027010_moe,b25027011,b25027011_moe,b25027012,b25027012_moe,b25027013,b25027013_moe,b25027014,b25027014_moe,b25027015,b25027015_moe,b25027016,b25027016_moe,b25027017,b25027017_moe
BK09,Brooklyn Heights-Cobble Hill,4957,365,3077,305,639,158,898,179,673,177,295,114,216,88,272,102,84,56,1880,265,213,123,241,109,243,120,222,94,269,104,283,97,409,133
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,12683,487,6744,445,798,189,1648,251,2016,300,893,193,719,176,458,123,212,81,5939,387,194,101,493,154,908,201,627,148,879,164,1089,167,1749,211
BK19,Brighton Beach,4047,321,2333,275,310,131,386,113,882,188,298,124,220,89,140,77,97,65,1714,234,67,53,207,94,157,88,159,86,401,131,307,98,416,111
BK21,Seagate-Coney Island,1856,212,1140,172,26,39,191,93,309,98,167,88,188,75,234,98,25,42,716,169,20,48,39,57,229,101,63,62,102,77,177,99,86,51
BK23,West Brighton,3044,303,741,197,0,27,135,94,208,121,183,107,91,72,46,44,78,54,2303,292,94,59,232,135,316,154,171,88,415,130,515,157,560,137
BK25,Homecrest,6287,358,3081,299,432,137,762,165,794,164,513,137,302,111,168,75,110,55,3206,299,224,86,279,100,452,133,359,98,347,111,610,134,935,168
BK26,Gravesend,4005,333,1870,263,313,134,463,147,469,145,216,96,214,89,132,61,63,56,2135,261,90,55,222,116,297,101,144,68,213,93,723,198,446,128
BK27,Bath Beach,4473,303,2429,253,357,106,523,119,648,147,366,118,209,92,243,92,83,55,2044,230,79,55,219,97,243,94,214,92,272,103,511,125,506,124
BK28,Bensonhurst West,10532,482,4933,382,685,163,1282,211,1483,242,582,152,423,131,301,94,177,73,5599,379,268,105,365,110,907,172,621,149,693,157,1254,200,1491,210
BK29,Bensonhurst East,7875,417,3779,339,562,139,948,182,931,189,419,127,412,121,396,128,111,64,4096,344,139,80,373,130,716,156,577,138,536,129,908,174,847,150
BK30,Dyker Heights,7063,343,3785,297,595,149,919,176,942,160,451,119,342,112,422,115,114,60,3278,283,58,66,188,84,460,130,457,108,323,103,848,165,944,163
BK31,Bay Ridge,12404,491,7304,431,897,164,1690,230,2135,257,888,182,579,126,776,160,339,117,5100,375,206,97,331,113,708,163,489,128,880,185,1044,166,1442,199
