area_id,area_name,b08105d001,b08105d001_moe,b08105d002,b08105d002_moe,b08105d003,b08105d003_moe,b08105d004,b08105d004_moe,b08105d005,b08105d005_moe,b08105d006,b08105d006_moe,b08105d007,b08105d007_moe
BK09,Brooklyn Heights-Cobble Hill,1186,289,96,91,16,36,947,231,112,89,15,32,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4404,547,972,256,331,144,2742,431,199,113,39,80,121,114
BK19,Brighton Beach,1766,317,497,176,87,70,858,225,226,106,65,53,33,54
BK21,Seagate-Coney Island,1220,325,214,100,69,74,812,242,20,42,5,36,100,121
BK23,West Brighton,46,43,8,28,0,27,28,37,10,29,0,27,0,27
BK25,Homecrest,1920,400,370,139,86,76,1036,243,402,205,19,48,7,50
BK26,Gravesend,3015,440,557,143,293,161,1864,334,211,122,74,71,16,39
BK27,Bath Beach,3822,484,754,187,338,108,2407,383,235,113,12,40,76,94
BK28,Bensonhurst West,13701,928,2366,337,1060,240,8948,707,947,255,233,148,147,92
BK29,Bensonhurst East,10497,825,1886,308,601,186,7116,668,609,180,144,90,141,89
BK30,Dyker Heights,7223,704,1287,239,1050,319,3756,479,708,203,249,124,173,108
BK31,Bay Ridge,5521,579,1009,212,452,159,3267,447,502,197,140,105,151,97
BK32,Sunset Park West,4005,633,477,235,332,183,2581,460,485,165,34,58,96,101
BK33,Carroll Gardens-Columbia Street-Red Hook,1426,396,65,64,29,50,976,324,215,126,29,60,112,82
BK34,Sunset Park East,14749,906,1335,242,1715,325,8537,699,2640,390,182,117,340,133
BK35,Stuyvesant Heights,783,229,98,84,117,91,463,154,71,79,27,66,7,51
BK37,Park Slope-Gowanus,3363,476,141,93,83,144,2458,382,328,166,102,97,251,114
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1765,276,106,66,34,48,1283,227,137,93,72,87,133,76
BK40,Windsor Terrace,1113,334,152,105,51,54,782,247,40,59,18,33,70,50
BK41,Kensington-Ocean Parkway,3335,481,601,219,423,215,1990,367,139,82,157,96,25,47
BK42,Flatbush,3460,455,559,178,203,117,2300,393,322,163,65,84,11,70
BK43,Midwood,1793,325,399,130,114,84,1089,247,175,113,16,51,0,51
BK44,Madison,3828,462,836,210,190,96,2567,359,219,92,10,48,6,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,985,237,360,143,131,78,443,146,51,62,0,55,0,55
BK46,Ocean Parkway South,388,181,104,75,0,36,248,140,23,48,5,35,8,36
BK50,Canarsie,1132,307,366,152,216,141,441,173,50,79,5,69,54,84
BK58,Flatlands,719,168,304,126,20,62,346,127,41,68,0,62,8,63
BK60,Prospect Lefferts Gardens-Wingate,680,250,118,110,0,58,498,207,39,61,11,59,14,61
BK61,Crown Heights North,1156,294,62,82,173,119,646,188,68,104,75,84,132,132
BK63,Crown Heights South,302,194,12,42,0,40,210,131,65,88,0,40,15,44
BK64,Prospect Heights,994,305,42,48,58,77,848,293,30,43,0,32,16,38
BK68,Fort Greene,1252,243,64,48,12,43,895,212,180,83,33,43,68,69
BK69,Clinton Hill,1215,284,172,128,14,45,860,239,64,59,67,70,38,60
BK72,Williamsburg,24,41,0,36,15,40,9,38,0,36,0,36,0,36
BK73,North Side-South Side,1570,304,78,62,18,49,1200,260,159,138,53,64,62,61
BK75,Bedford,932,252,129,92,28,70,692,225,21,65,0,56,62,71
BK76,Greenpoint,935,213,95,81,30,50,655,179,94,68,0,42,61,62
BK77,Bushwick North,1626,329,104,78,42,62,1235,287,198,127,39,67,8,52
BK78,Bushwick South,795,224,41,60,1,55,561,167,60,78,66,88,66,83
BK79,Ocean Hill,145,86,10,39,0,38,124,70,11,40,0,38,0,38
BK81,Brownsville,252,164,83,104,40,68,72,67,52,65,5,51,0,51
BK82,East New York,587,184,140,89,6,64,353,152,62,77,17,68,9,65
BK83,Cypress Hills-City Line,1258,288,273,111,52,52,860,232,39,57,12,47,22,56
BK85,East New York (Pennsylvania Ave),91,66,19,38,0,36,72,55,0,36,0,36,0,36
