area_id,area_name,b12002i001,b12002i001_moe,b12002i002,b12002i002_moe,b12002i003,b12002i003_moe,b12002i004,b12002i004_moe,b12002i005,b12002i005_moe,b12002i006,b12002i006_moe,b12002i007,b12002i007_moe,b12002i008,b12002i008_moe,b12002i009,b12002i009_moe,b12002i010,b12002i010_moe,b12002i011,b12002i011_moe,b12002i012,b12002i012_moe,b12002i013,b12002i013_moe
BK09,Brooklyn Heights-Cobble Hill,1601,356,794,219,376,153,324,121,12,37,8,30,74,60,807,207,282,129,335,132,0,29,21,34,169,113
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3423,478,1357,267,537,172,656,192,40,59,4,55,120,90,2066,317,741,204,617,189,114,99,290,131,304,123
BK19,Brighton Beach,3179,600,1644,350,762,230,772,194,53,59,23,51,34,51,1535,317,485,182,742,183,0,38,93,64,215,134
BK21,Seagate-Coney Island,5449,775,2515,494,1422,373,874,225,67,68,37,46,115,90,2934,431,1398,290,758,187,188,97,290,123,300,131
BK23,West Brighton,147,140,32,53,32,53,0,27,0,27,0,27,0,27,115,109,91,105,0,27,0,27,24,35,0,27
BK25,Homecrest,2232,505,1234,336,610,269,422,155,0,48,30,63,172,92,998,239,334,148,370,139,36,65,105,81,153,90
BK26,Gravesend,3114,605,1395,327,456,208,737,211,10,36,60,63,132,76,1719,409,672,265,659,204,89,95,113,75,186,107
BK27,Bath Beach,2666,623,1435,412,538,216,788,260,26,45,40,57,43,50,1231,323,610,253,488,152,29,44,27,39,77,67
BK28,Bensonhurst West,9452,1132,5113,743,2556,569,2379,390,52,78,11,65,115,105,4339,527,1739,365,2155,337,147,107,128,88,170,105
BK29,Bensonhurst East,5597,827,3095,501,1277,303,1658,295,50,65,5,51,105,74,2502,412,740,209,1419,255,91,82,59,56,193,104
BK30,Dyker Heights,3310,628,1611,438,847,341,668,211,18,50,40,61,38,56,1699,333,801,225,602,166,67,68,60,57,169,94
BK31,Bay Ridge,10129,942,4522,561,2147,388,2009,328,173,102,46,75,147,92,5607,573,2646,424,1949,296,158,105,250,130,604,169
BK32,Sunset Park West,25839,1325,14290,945,7368,759,5565,515,380,149,94,74,883,239,11549,692,4569,513,4529,421,658,191,700,166,1093,206
BK33,Carroll Gardens-Columbia Street-Red Hook,6818,747,2976,442,1293,259,1280,274,106,108,120,93,177,112,3842,497,1568,355,1211,241,231,132,342,143,490,165
BK34,Sunset Park East,18644,1195,9513,807,5139,603,3719,433,303,117,95,87,257,109,9131,602,3934,452,3243,353,617,178,516,138,821,192
BK35,Stuyvesant Heights,9947,929,4404,608,2060,381,1730,325,148,105,126,88,340,148,5543,584,2902,465,1491,263,426,147,480,172,244,114
BK37,Park Slope-Gowanus,10654,1046,5302,616,2671,465,2007,326,129,112,46,66,449,161,5352,633,2610,449,1676,278,310,138,353,162,403,149
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,6828,670,3071,441,1808,306,904,229,122,76,0,42,237,121,3757,402,1649,302,895,215,310,123,340,114,563,174
BK40,Windsor Terrace,2726,472,1199,250,513,161,542,157,108,95,1,29,35,39,1527,321,651,219,591,158,34,40,78,68,173,79
BK41,Kensington-Ocean Parkway,4005,772,2087,455,978,327,962,233,21,42,19,42,107,84,1918,412,686,285,800,194,75,49,101,69,256,116
BK42,Flatbush,15656,1427,7680,859,3826,602,3065,456,323,163,158,111,308,170,7976,781,3704,529,2587,377,492,163,497,155,696,212
BK43,Midwood,2587,550,1488,395,705,236,512,192,74,81,1,50,196,133,1099,313,426,186,398,145,75,76,105,85,95,81
BK44,Madison,1960,484,862,243,314,150,471,159,11,48,8,46,58,72,1098,333,339,185,386,131,15,51,49,67,309,187
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3271,638,1505,425,801,321,582,172,39,62,3,54,80,88,1766,362,411,133,813,203,130,106,103,72,309,147
BK46,Ocean Parkway South,1351,468,733,302,424,222,283,132,0,36,1,34,25,52,618,216,203,102,309,130,26,53,36,44,44,40
BK50,Canarsie,5825,773,2685,454,1336,334,1075,223,63,72,14,72,197,105,3140,437,1155,265,1236,230,207,114,191,102,351,144
BK58,Flatlands,4160,606,1889,331,757,182,918,196,93,89,27,67,94,76,2271,350,928,226,843,181,107,82,125,86,268,103
