area_id,area_name,b14007c001,b14007c001_moe,b14007c002,b14007c002_moe,b14007c003,b14007c003_moe,b14007c004,b14007c004_moe,b14007c005,b14007c005_moe,b14007c006,b14007c006_moe,b14007c007,b14007c007_moe,b14007c008,b14007c008_moe,b14007c009,b14007c009_moe,b14007c010,b14007c010_moe,b14007c011,b14007c011_moe,b14007c012,b14007c012_moe,b14007c013,b14007c013_moe,b14007c014,b14007c014_moe,b14007c015,b14007c015_moe,b14007c016,b14007c016_moe,b14007c017,b14007c017_moe,b14007c018,b14007c018_moe,b14007c019,b14007c019_moe
BK09,Brooklyn Heights-Cobble Hill,80,72,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,80,72
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25,61,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,25,61
BK19,Brighton Beach,74,76,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,74,76
BK21,Seagate-Coney Island,174,136,33,51,0,38,0,38,0,38,12,41,0,38,0,38,0,38,0,38,0,38,0,38,0,38,21,48,0,38,0,38,0,38,0,38,141,108
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,55,62,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,55,62
BK26,Gravesend,107,107,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,107,107
BK27,Bath Beach,62,100,36,69,0,40,0,40,0,40,22,52,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,14,44,0,40,0,40,26,52
BK28,Bensonhurst West,609,432,123,117,12,65,48,98,0,64,0,64,18,69,0,64,10,64,14,66,0,64,0,64,0,64,10,64,0,64,0,64,0,64,11,65,486,352
BK29,Bensonhurst East,58,80,12,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,12,53,0,51,0,51,46,78
BK30,Dyker Heights,94,127,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,94,127
BK31,Bay Ridge,419,259,159,155,0,66,15,69,0,66,14,69,0,66,0,66,32,78,0,66,21,75,0,66,22,75,0,66,0,66,16,69,39,83,0,66,260,157
BK32,Sunset Park West,785,419,168,142,0,49,0,49,57,75,0,49,23,61,0,49,0,49,0,49,0,49,0,49,34,66,0,49,0,49,33,62,21,58,0,49,617,307
BK33,Carroll Gardens-Columbia Street-Red Hook,12,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,12,45
BK34,Sunset Park East,905,448,409,244,26,68,51,82,40,70,39,70,51,82,18,63,9,58,22,66,0,59,9,58,45,90,0,59,0,59,67,109,32,72,0,59,496,292
BK35,Stuyvesant Heights,101,84,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,101,84
BK37,Park Slope-Gowanus,406,201,68,71,0,58,0,58,0,58,9,58,0,58,0,58,7,57,0,58,6,57,0,58,0,58,0,58,0,58,0,58,46,67,0,58,338,176
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,58,64,31,54,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,31,54,0,42,27,44
BK40,Windsor Terrace,165,114,75,68,0,32,0,32,0,32,11,33,9,30,0,32,0,32,0,32,0,32,0,32,10,39,0,32,0,32,28,46,17,37,0,32,90,69
BK41,Kensington-Ocean Parkway,33,46,18,47,0,40,0,40,0,40,9,40,0,40,0,40,9,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,15,39
BK42,Flatbush,253,193,54,96,0,68,4,66,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,4,67,46,98,0,68,0,68,199,144
BK43,Midwood,36,62,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,36,62
BK44,Madison,74,80,63,71,0,46,10,48,23,57,0,46,11,48,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,19,55,11,48
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,16,68,6,56,0,55,0,55,0,55,0,55,0,55,0,55,0,55,3,54,0,55,0,55,0,55,0,55,0,55,0,55,3,54,0,55,10,59
BK46,Ocean Parkway South,111,105,42,77,21,48,0,36,0,36,21,48,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,69,57
