area_id,area_name,c24010f001,c24010f001_moe,c24010f002,c24010f002_moe,c24010f003,c24010f003_moe,c24010f004,c24010f004_moe,c24010f005,c24010f005_moe,c24010f006,c24010f006_moe,c24010f007,c24010f007_moe,c24010f008,c24010f008_moe,c24010f009,c24010f009_moe,c24010f010,c24010f010_moe,c24010f011,c24010f011_moe,c24010f012,c24010f012_moe,c24010f013,c24010f013_moe
BK09,Brooklyn Heights-Cobble Hill,239,183,121,99,0,29,52,55,50,84,0,29,19,37,118,101,7,29,19,35,52,88,0,29,40,53
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,269,140,103,93,22,58,0,55,21,61,33,76,27,69,166,115,21,64,72,83,54,70,0,55,19,58
BK19,Brighton Beach,329,255,249,213,1,36,35,62,0,38,125,119,88,103,80,75,0,38,80,75,0,38,0,38,0,38
BK21,Seagate-Coney Island,898,297,374,149,22,41,211,108,0,38,98,88,43,58,524,190,68,76,258,117,173,114,0,38,25,44
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,538,292,365,228,43,54,156,186,16,52,130,130,20,56,173,97,41,55,87,65,20,51,0,48,25,76
BK26,Gravesend,438,177,357,150,57,68,79,70,14,40,114,105,93,89,81,79,27,37,35,65,19,44,0,36,0,36
BK27,Bath Beach,754,336,459,205,12,43,183,145,61,57,154,106,49,57,295,186,59,72,96,73,140,122,0,40,0,40
BK28,Bensonhurst West,1878,550,1402,419,32,72,531,230,127,119,472,265,240,129,476,201,71,79,198,163,172,111,0,64,35,81
BK29,Bensonhurst East,1019,324,723,251,39,62,236,135,128,143,184,105,136,89,296,133,115,98,101,80,65,61,0,51,15,55
BK30,Dyker Heights,510,236,291,202,40,61,25,56,10,52,206,195,10,50,219,113,75,79,46,60,58,81,0,51,40,65
BK31,Bay Ridge,2050,395,998,269,261,130,234,138,212,126,171,121,120,114,1052,256,459,166,241,123,343,134,8,66,1,65
BK32,Sunset Park West,7521,831,5013,668,532,176,1523,384,718,212,1093,261,1147,242,2508,361,435,148,1062,216,686,182,11,51,314,140
BK33,Carroll Gardens-Columbia Street-Red Hook,1810,409,861,248,229,128,168,126,281,135,46,67,137,113,949,271,558,208,158,128,216,143,0,45,17,50
BK34,Sunset Park East,4725,737,2860,552,163,102,745,236,410,149,810,316,732,260,1865,316,179,102,852,226,426,135,11,59,397,172
BK35,Stuyvesant Heights,1743,440,817,278,135,90,192,105,196,150,107,97,187,117,926,250,155,94,476,182,173,112,0,51,122,101
BK37,Park Slope-Gowanus,3022,583,1966,441,552,213,614,267,332,157,301,157,167,153,1056,279,248,125,320,139,441,206,0,58,47,63
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1357,349,706,231,167,114,164,103,201,114,81,79,93,88,651,214,132,78,322,134,197,116,0,42,0,42
BK40,Windsor Terrace,709,257,407,182,114,107,101,100,163,120,0,32,29,55,302,130,73,60,95,82,134,89,0,32,0,32
BK41,Kensington-Ocean Parkway,1591,458,989,327,101,94,334,173,210,144,179,134,165,130,602,200,149,97,219,98,148,103,0,40,86,86
BK42,Flatbush,5560,947,3395,661,418,168,1085,394,552,206,642,273,698,275,2165,425,321,130,956,267,644,221,12,69,232,144
BK43,Midwood,837,327,600,267,19,58,136,125,128,121,234,164,83,97,237,142,60,73,117,89,51,73,0,51,9,53
BK44,Madison,312,153,116,76,29,51,30,53,5,46,26,52,26,53,196,127,61,76,15,48,120,110,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,665,256,370,199,100,96,107,90,78,108,40,66,45,70,295,135,71,80,124,95,100,91,0,55,0,55
BK46,Ocean Parkway South,392,194,254,157,31,57,153,122,10,38,25,50,35,50,138,91,40,47,51,67,29,43,0,36,18,45
BK50,Canarsie,1471,403,745,255,61,98,188,126,190,118,145,129,161,157,726,217,241,142,256,124,169,120,0,70,60,81
BK58,Flatlands,981,310,448,170,153,103,83,80,55,77,96,93,61,85,533,189,155,96,203,136,136,95,0,62,39,75
BK60,Prospect Lefferts Gardens-Wingate,1416,418,597,234,38,70,193,125,43,70,149,114,174,167,819,276,176,111,267,142,346,201,0,58,30,66
BK61,Crown Heights North,1970,459,1164,381,248,164,311,173,198,119,64,84,343,166,806,206,123,91,362,149,270,132,0,67,51,85
BK63,Crown Heights South,770,311,427,174,50,67,237,118,74,68,28,57,38,58,343,170,30,60,239,135,59,69,15,45,0,40
BK64,Prospect Heights,622,244,254,121,104,93,54,56,17,40,48,81,31,41,368,178,68,56,127,87,157,126,0,32,16,37
BK68,Fort Greene,1086,360,544,278,206,122,158,191,34,64,22,43,124,80,542,186,179,107,143,104,178,101,0,38,42,59
BK69,Clinton Hill,1083,307,779,260,242,123,299,159,95,78,9,41,134,97,304,128,104,60,138,102,45,55,0,40,17,47
BK72,Williamsburg,272,149,120,84,0,36,35,51,38,64,33,50,14,42,152,96,23,49,63,66,66,63,0,36,0,36
BK73,North Side-South Side,1468,382,647,224,108,73,140,84,81,78,200,168,118,93,821,239,258,137,271,120,210,114,0,48,82,92
BK75,Bedford,2502,498,1457,394,138,86,611,236,318,137,132,97,258,121,1045,228,195,98,350,125,392,156,0,56,108,83
BK76,Greenpoint,923,250,355,145,141,91,56,66,0,42,67,64,91,74,568,168,150,89,93,82,211,118,0,42,114,95
BK77,Bushwick North,11012,1066,6915,836,512,168,1728,428,694,198,1644,366,2337,471,4097,484,602,195,1674,305,1100,262,34,64,687,201
BK78,Bushwick South,5858,712,3381,508,452,165,1036,261,515,192,356,195,1022,289,2477,387,578,178,1058,273,684,190,0,56,157,106
BK79,Ocean Hill,1375,323,657,191,63,67,160,105,72,88,156,109,206,98,718,226,168,91,357,152,133,94,60,64,0,38
BK81,Brownsville,1246,299,267,128,45,65,123,101,43,62,17,57,39,66,979,223,132,88,406,147,330,130,0,51,111,98
BK82,East New York,2812,530,1278,334,82,79,310,155,337,173,256,157,293,124,1534,318,119,83,667,219,577,176,0,65,171,102
BK83,Cypress Hills-City Line,2606,416,1467,305,219,101,300,118,428,171,272,112,248,127,1139,206,180,84,541,143,355,123,0,49,63,60
BK85,East New York (Pennsylvania Ave),1237,355,596,232,54,59,135,84,164,107,87,71,156,129,641,209,60,67,244,128,268,130,0,36,69,65
BK88,Borough Park,3212,686,2301,577,206,128,545,230,319,169,729,384,502,233,911,241,137,106,485,187,216,125,0,68,73,127
BK90,East Williamsburg,1635,366,973,273,177,118,248,123,211,118,92,92,245,128,662,185,114,63,225,108,304,136,0,40,19,41
