area_id,area_name,b01001c001,b01001c001_moe,b01001c002,b01001c002_moe,b01001c003,b01001c003_moe,b01001c004,b01001c004_moe,b01001c005,b01001c005_moe,b01001c006,b01001c006_moe,b01001c007,b01001c007_moe,b01001c008,b01001c008_moe,b01001c009,b01001c009_moe,b01001c010,b01001c010_moe,b01001c011,b01001c011_moe,b01001c012,b01001c012_moe,b01001c013,b01001c013_moe,b01001c014,b01001c014_moe,b01001c015,b01001c015_moe,b01001c016,b01001c016_moe,b01001c017,b01001c017_moe,b01001c018,b01001c018_moe,b01001c019,b01001c019_moe,b01001c020,b01001c020_moe,b01001c021,b01001c021_moe,b01001c022,b01001c022_moe,b01001c023,b01001c023_moe,b01001c024,b01001c024_moe,b01001c025,b01001c025_moe,b01001c026,b01001c026_moe,b01001c027,b01001c027_moe,b01001c028,b01001c028_moe,b01001c029,b01001c029_moe,b01001c030,b01001c030_moe,b01001c031,b01001c031_moe
BK58,Flatlands,114,109,46,73,0,62,0,62,7,64,15,66,0,62,0,62,0,62,0,62,0,62,24,69,0,62,0,62,0,62,0,62,68,81,0,62,0,62,35,78,0,62,0,62,0,62,0,62,0,62,0,62,33,66,0,62,0,62,0,62,0,62
BK60,Prospect Lefferts Gardens-Wingate,173,146,20,62,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,20,62,0,58,153,137,0,58,0,58,0,58,36,80,0,58,33,77,8,59,0,58,22,66,0,58,5,57,17,62,32,73,0,58
BK61,Crown Heights North,157,139,71,91,0,67,0,67,10,71,0,67,9,71,0,67,2,66,21,74,17,68,3,66,1,66,0,67,8,67,0,67,86,94,0,67,9,71,0,67,0,67,0,67,0,67,0,67,0,67,9,71,9,67,0,67,23,69,20,73,16,71
BK63,Crown Heights South,76,113,31,52,0,40,0,40,0,40,23,52,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,8,40,0,40,45,79,0,40,0,40,0,40,0,40,0,40,25,54,0,40,0,40,20,49,0,40,0,40,0,40,0,40,0,40
BK64,Prospect Heights,31,37,27,38,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,12,34,15,35,0,32,0,32,0,32,0,32,4,30,0,32,0,32,0,32,0,32,0,32,0,32,0,32,4,30,0,32,0,32,0,32,0,32,0,32,0,32
BK68,Fort Greene,37,50,37,50,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,23,50,0,38,14,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK69,Clinton Hill,58,51,9,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,9,40,0,40,0,40,0,40,49,48,0,40,9,41,0,40,0,40,17,43,0,40,0,40,0,40,0,40,11,42,12,43,0,40,0,40,0,40
BK72,Williamsburg,5,35,5,35,0,36,0,36,0,36,5,35,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK73,North Side-South Side,126,112,91,91,0,48,0,48,0,48,12,49,28,60,0,48,0,48,15,52,0,48,10,48,26,53,0,48,0,48,0,48,35,55,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,16,52,19,49,0,48,0,48,0,48
BK75,Bedford,256,182,166,152,23,64,57,87,22,64,0,56,0,56,11,56,0,56,7,56,18,59,28,62,0,56,0,56,0,56,0,56,90,75,0,56,0,56,0,56,0,56,0,56,11,56,0,56,6,56,0,56,26,61,35,67,0,56,6,56,6,57
BK76,Greenpoint,301,165,150,114,0,42,14,46,0,42,0,42,0,42,0,42,0,42,17,48,76,96,0,42,22,53,21,45,0,42,0,42,151,96,0,42,0,42,0,42,0,42,30,62,0,42,10,43,26,57,15,46,37,54,19,45,0,42,14,45,0,42
BK77,Bushwick North,126,112,62,58,12,54,19,53,0,54,0,54,0,54,0,54,5,52,0,54,10,55,0,54,0,54,0,54,16,58,0,54,64,88,11,54,0,54,11,54,0,54,0,54,0,54,0,54,21,54,10,55,11,54,0,54,0,54,0,54,0,54
BK78,Bushwick South,538,265,304,174,10,57,53,71,61,75,0,56,17,61,9,57,20,62,28,62,47,64,46,65,13,56,0,56,0,56,0,56,234,119,64,73,0,56,0,56,0,56,0,56,5,56,18,59,21,59,29,63,75,75,10,58,0,56,12,58,0,56
BK79,Ocean Hill,104,116,87,114,0,38,0,38,0,38,52,74,0,38,0,38,0,38,0,38,35,58,0,38,0,38,0,38,0,38,0,38,17,39,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,17,39,0,38,0,38,0,38
BK81,Brownsville,180,137,63,73,24,62,0,51,0,51,10,52,0,51,0,51,0,51,0,51,0,51,29,62,0,51,0,51,0,51,0,51,117,98,0,51,22,61,0,51,0,51,0,51,0,51,23,62,22,59,0,51,26,55,0,51,0,51,24,57,0,51
BK82,East New York,171,125,98,94,0,65,0,65,16,68,0,65,23,69,0,65,0,65,0,65,25,68,27,67,7,65,0,65,0,65,0,65,73,77,0,65,0,65,9,65,0,65,0,65,0,65,0,65,20,71,0,65,18,69,15,65,11,66,0,65,0,65
BK83,Cypress Hills-City Line,90,90,32,55,16,57,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,5,49,7,49,4,48,0,49,0,49,58,74,0,49,0,49,0,49,0,49,0,49,0,49,16,57,0,49,0,49,32,67,10,50,0,49,0,49,0,49
BK85,East New York (Pennsylvania Ave),66,90,27,52,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,27,52,0,36,0,36,39,58,0,36,0,36,0,36,0,36,0,36,0,36,9,39,0,36,0,36,0,36,30,56,0,36,0,36,0,36
