area_id,area_name,b25032d001,b25032d001_moe,b25032d002,b25032d002_moe,b25032d003,b25032d003_moe,b25032d004,b25032d004_moe,b25032d005,b25032d005_moe,b25032d006,b25032d006_moe,b25032d007,b25032d007_moe,b25032d008,b25032d008_moe,b25032d009,b25032d009_moe,b25032d010,b25032d010_moe,b25032d011,b25032d011_moe
BK09,Brooklyn Heights-Cobble Hill,854,214,8,30,0,29,0,29,96,89,53,48,156,106,104,57,437,155,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2686,262,146,100,1122,193,820,181,265,122,111,83,15,55,99,80,108,76,0,55,0,55
BK19,Brighton Beach,1145,188,163,81,122,63,280,123,290,103,13,41,58,51,112,67,107,60,0,38,0,38
BK21,Seagate-Coney Island,856,144,106,67,477,110,33,49,84,60,11,40,16,43,64,70,65,52,0,38,0,38
BK23,West Brighton,41,40,0,27,0,27,0,27,0,27,0,27,0,27,0,27,41,40,0,27,0,27
BK25,Homecrest,1194,208,158,90,154,89,358,115,263,114,88,77,32,61,31,52,110,82,0,48,0,48
BK26,Gravesend,1778,230,170,75,247,95,425,135,394,139,102,72,30,37,59,51,351,120,0,36,0,36
BK27,Bath Beach,2483,253,42,43,509,124,886,180,665,168,194,91,41,50,76,67,51,56,19,40,0,40
BK28,Bensonhurst West,8458,437,452,113,1460,193,2416,301,2863,326,581,161,135,80,338,118,213,93,0,64,0,64
BK29,Bensonhurst East,6379,386,456,120,1015,180,2289,281,1694,270,294,126,112,76,286,110,197,88,36,61,0,51
BK30,Dyker Heights,4008,287,192,77,485,118,827,156,1671,241,494,149,199,96,89,80,42,59,9,51,0,51
BK31,Bay Ridge,3807,340,220,95,588,141,867,177,711,184,303,112,203,99,412,137,503,131,0,66,0,66
BK32,Sunset Park West,2344,249,37,51,182,85,376,118,606,163,726,147,131,87,59,61,227,85,0,49,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,870,217,9,46,53,64,166,117,195,129,178,82,43,51,102,74,124,77,0,45,0,45
BK34,Sunset Park East,8598,370,192,93,443,112,1773,240,3270,317,1883,261,430,128,409,122,183,98,15,62,0,59
BK35,Stuyvesant Heights,590,154,27,66,44,67,102,74,228,98,63,66,66,78,3,50,57,64,0,51,0,51
