area_id,area_name,b14007d001,b14007d001_moe,b14007d002,b14007d002_moe,b14007d003,b14007d003_moe,b14007d004,b14007d004_moe,b14007d005,b14007d005_moe,b14007d006,b14007d006_moe,b14007d007,b14007d007_moe,b14007d008,b14007d008_moe,b14007d009,b14007d009_moe,b14007d010,b14007d010_moe,b14007d011,b14007d011_moe,b14007d012,b14007d012_moe,b14007d013,b14007d013_moe,b14007d014,b14007d014_moe,b14007d015,b14007d015_moe,b14007d016,b14007d016_moe,b14007d017,b14007d017_moe,b14007d018,b14007d018_moe,b14007d019,b14007d019_moe
BK09,Brooklyn Heights-Cobble Hill,1653,372,370,164,0,29,27,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,20,36,0,29,0,29,164,96,159,100,1283,292
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,9360,1058,2489,420,133,94,185,110,42,65,63,73,32,59,73,76,120,85,136,99,73,69,156,97,69,65,183,90,142,99,78,69,772,196,232,107,6871,814
BK19,Brighton Beach,4050,719,1268,352,43,48,79,63,38,55,69,63,79,55,88,84,32,50,56,50,0,38,122,70,47,48,41,49,79,78,85,60,272,116,138,112,2782,480
BK21,Seagate-Coney Island,3063,584,879,226,28,46,54,61,21,41,0,38,13,40,33,42,77,60,52,52,11,40,78,53,57,51,41,46,87,62,66,55,240,97,21,39,2184,423
BK23,West Brighton,110,99,13,32,0,27,0,27,0,27,0,27,0,27,0,27,0,27,13,32,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,97,87
BK25,Homecrest,4210,776,1179,340,8,50,41,61,17,49,91,83,30,50,118,95,63,64,45,67,42,54,115,86,36,55,72,72,69,59,90,71,322,144,20,51,3031,550
BK26,Gravesend,6237,848,1603,335,114,66,114,76,31,39,39,44,44,59,66,63,66,62,170,99,76,56,75,54,158,92,119,88,65,46,70,66,292,106,104,76,4634,664
BK27,Bath Beach,8849,1016,2645,428,80,55,155,94,143,87,133,73,201,92,109,74,155,79,186,101,161,81,72,57,63,50,170,92,110,62,65,73,511,165,331,154,6204,715
BK28,Bensonhurst West,31167,1757,9392,782,397,117,458,139,421,135,217,96,324,122,469,147,467,136,431,143,524,143,310,107,582,149,638,166,666,166,472,136,2562,420,454,136,21775,1303
BK29,Bensonhurst East,22730,1564,6380,695,145,95,367,154,350,128,417,136,147,76,295,127,398,129,348,133,225,95,219,107,357,121,248,102,138,83,499,133,1812,334,415,148,16350,1128
BK30,Dyker Heights,15940,1340,4495,604,88,64,192,105,250,118,179,89,221,113,258,115,199,108,253,111,306,123,222,103,155,83,310,117,259,99,238,115,1188,248,177,105,11445,969
BK31,Bay Ridge,11334,1085,2891,414,81,75,112,94,85,73,127,86,140,89,105,80,161,107,119,89,89,84,161,96,40,67,136,88,119,81,181,102,958,230,277,113,8443,824
BK32,Sunset Park West,8353,984,2141,391,188,102,127,83,0,49,170,102,58,56,123,90,38,54,100,67,76,69,34,51,90,61,50,61,59,63,122,76,689,268,217,100,6212,755
BK33,Carroll Gardens-Columbia Street-Red Hook,2267,558,423,177,33,53,7,45,27,61,5,45,28,51,19,48,7,45,0,45,8,45,9,46,6,44,58,71,0,45,57,79,27,52,132,105,1844,465
BK34,Sunset Park East,33700,1711,8673,763,500,151,447,140,495,146,385,130,613,167,396,117,329,121,329,126,438,140,472,155,612,167,358,128,489,145,439,152,2111,394,260,103,25027,1332
BK35,Stuyvesant Heights,1780,517,699,321,27,58,32,56,18,52,9,52,3,51,65,69,22,61,11,53,33,64,13,52,55,69,19,52,11,52,2,51,206,139,173,137,1081,303
BK37,Park Slope-Gowanus,4587,622,997,273,64,71,71,83,21,60,7,58,10,56,18,59,5,57,4,57,16,60,12,60,19,59,21,60,14,61,0,58,253,150,462,177,3590,485
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2969,458,627,176,27,42,74,57,52,54,13,41,41,53,0,42,25,49,28,49,8,42,0,42,39,51,0,42,6,42,9,44,172,102,133,65,2342,367
BK40,Windsor Terrace,2127,493,507,235,41,54,25,38,0,32,0,32,56,82,0,32,0,32,0,32,22,34,0,32,93,92,0,32,9,33,10,33,150,101,101,94,1620,373
BK41,Kensington-Ocean Parkway,8302,1102,2753,542,153,104,142,89,147,78,61,51,201,117,78,81,61,56,144,87,262,141,31,54,166,88,137,83,187,107,243,123,600,188,140,104,5549,751
BK42,Flatbush,8531,1017,3074,550,123,112,145,98,154,104,149,113,110,89,106,92,89,82,139,103,154,101,223,124,136,102,183,103,184,105,193,105,905,296,81,81,5457,652
BK43,Midwood,4937,763,1709,378,27,54,80,70,95,64,133,145,81,71,91,70,151,82,60,64,78,68,67,71,49,60,37,53,58,66,151,81,362,144,189,157,3228,460
BK44,Madison,8203,905,2465,406,85,60,85,69,68,62,101,78,134,78,95,71,108,67,110,69,62,56,76,56,117,69,151,73,126,70,213,95,705,167,229,124,5738,646
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,2231,591,582,196,10,55,27,60,4,54,44,74,32,58,5,54,56,79,24,56,4,54,57,54,23,55,80,60,9,56,36,58,155,89,16,60,1649,437
BK46,Ocean Parkway South,756,282,190,97,5,35,2,35,5,35,13,36,13,40,0,36,0,36,4,35,12,35,3,34,5,35,13,36,0,36,22,32,72,59,21,38,566,239
BK50,Canarsie,2294,551,544,181,0,70,8,70,39,76,11,70,27,71,1,70,23,73,27,71,0,70,31,76,21,70,27,71,25,73,39,72,245,125,20,70,1750,431
BK58,Flatlands,1817,428,508,205,47,74,11,64,19,69,28,66,25,65,14,63,31,70,21,70,0,62,9,63,24,64,10,63,26,68,29,64,188,91,26,63,1309,295
BK60,Prospect Lefferts Gardens-Wingate,1433,402,306,152,0,58,0,58,0,58,0,58,0,58,0,58,0,58,4,57,20,64,29,67,13,58,0,58,0,58,5,57,122,108,113,95,1127,356
