area_id,area_name,b19301c001,b19301c001_moe
BK09,Brooklyn Heights-Cobble Hill,20059,13038
BK21,Seagate-Coney Island,10343,1410
BK26,Gravesend,22011,4786
BK28,Bensonhurst West,101197,14204
BK29,Bensonhurst East,9397,483
BK30,Dyker Heights,12890,530
BK31,Bay Ridge,30527,2299
BK32,Sunset Park West,48637,33119
BK34,Sunset Park East,29503,10957
BK37,Park Slope-Gowanus,132126,30157
BK40,Windsor Terrace,39461,12938
BK42,Flatbush,22993,5463
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,33175,19315
BK46,Ocean Parkway South,18448,12435
BK50,Canarsie,3427,7041
BK60,Prospect Lefferts Gardens-Wingate,23601,13110
BK61,Crown Heights North,5256,7547
BK63,Crown Heights South,5166,1067
BK73,North Side-South Side,13276,4483
BK75,Bedford,15618,10113
BK76,Greenpoint,43236,11140
BK78,Bushwick South,81396,11512
BK79,Ocean Hill,19855,6096
BK90,East Williamsburg,8911,612
BK93,Starrett City,15388,6133
BK96,Rugby-Remsen Village,30283,10378
BX01,Claremont-Bathgate,36858,6109
BX03,Eastchester-Edenwald-Baychester,36824,27572
BX05,Bedford Park-Fordham North,83450,9510
BX07,Bronxdale,19200,24942
BX09,Soundview-Castle Hill-Clason Point-Harding Park,38254,12427
BX13,Co-op City,18806,8379
BX14,East Concourse-Concourse Village,13107,5944
BX17,East Tremont,7111,3317
BX26,Highbridge,26683,11185
BX28,Van Cortlandt Village,15540,13810
BX29,Spuyten Duyvil-Kingsbridge,20452,9861
BX30,Kingsbridge Heights,11108,13997
BX31,Allerton-Pelham Gardens,36386,43729
BX33,Longwood,8596,1517
BX34,Melrose South-Mott Haven North,40160,10284
BX35,Morrisania-Melrose,26393,22813
BX36,University Heights-Morris Heights,25512,4079
BX39,Mott Haven-Port Morris,84686,51520
BX40,Fordham South,22337,6255
BX41,Mount Hope,23655,4465
BX43,Norwood,47490,34898
BX44,Williamsbridge-Olinville,33801,6767
BX46,Parkchester,2097,2648
BX52,Schuylerville-Throgs Neck-Edgewater Park,10266,3644
BX55,Soundview-Bruckner,25521,5572
BX59,Westchester-Unionport,28353,9809
BX63,West Concourse,26467,12965
BX75,Crotona Park East,14462,15418
MN01,Marble Hill-Inwood,26586,6200
MN03,Central Harlem North-Polo Grounds,43068,15200
MN04,Hamilton Heights,21477,1733
MN11,Central Harlem South,5507,1260
MN12,Upper West Side,45524,14056
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,43319,38543
MN19,Turtle Bay-East Midtown,38654,687
MN22,East Village,5683,5754
MN23,West Village,33190,13462
MN27,Chinatown,37909,33450
MN28,Lower East Side,42206,14552
MN33,East Harlem South,7843,1321
MN34,East Harlem North,20920,9182
MN36,Washington Heights South,64005,5737
QN01,South Jamaica,24347,29818
QN06,Jamaica Estates-Holliswood,56799,5291
QN07,Hollis,28664,7267
QN08,St. Albans,14175,9685
QN12,Hammels-Arverne-Edgemere,10117,4048
QN15,Far Rockaway-Bayswater,50526,17194
QN18,Rego Park,11983,4808
QN19,Glendale,14156,22839
QN20,Ridgewood,76066,7385
QN22,Flushing,42884,19797
QN25,Corona,49062,10841
QN26,North Corona,41985,7754
QN27,East Elmhurst,21900,793
QN28,Jackson Heights,5789,1340
QN30,Maspeth,39894,9581
QN34,Queens Village,50344,29112
QN35,Briarwood-Jamaica Hills,20880,4383
QN38,Pomonok-Flushing Heights-Hillcrest,37628,23646
QN44,Glen Oaks-Floral Park-New Hyde Park,39575,25897
QN46,Bayside-Bayside Hills,15751,5041
QN50,Elmhurst-Maspeth,30141,3409
QN51,Murray Hill,38099,33332
QN52,East Flushing,14278,1430
QN53,Woodhaven,46509,44762
QN54,Richmond Hill,53613,29528
QN55,South Ozone Park,136209,24952
QN56,Ozone Park,28195,23362
QN61,Jamaica,91353,38721
QN62,Queensboro Hill,51631,4960
QN63,Woodside,9713,2021
QN68,Queensbridge-Ravenswood-Long Island City,21107,2297
QN71,Old Astoria,44945,12542
QN72,Steinway,119822,60142
QN76,Baisley Park,71486,8520
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,22668,9240
SI36,Old Town-Dongan Hills-South Beach,44420,9018
SI37,Stapleton-Rosebank,6116,986
