area_id,area_name,b11001b001,b11001b001_moe,b11001b002,b11001b002_moe,b11001b003,b11001b003_moe,b11001b004,b11001b004_moe,b11001b005,b11001b005_moe,b11001b006,b11001b006_moe,b11001b007,b11001b007_moe,b11001b008,b11001b008_moe,b11001b009,b11001b009_moe
BX08,West Farms-Bronx River,3790,317,2399,301,819,201,1580,270,246,113,1334,251,1391,228,1191,211,200,93
BX09,Soundview-Castle Hill-Clason Point-Harding Park,7809,408,4992,370,1438,233,3554,331,628,175,2926,306,2817,349,2482,332,335,152
BX10,Pelham Bay-Country Club-City Island,367,161,69,52,12,36,57,48,9,35,48,47,298,156,228,137,70,83
BX13,Co-op City,11919,466,6400,526,3061,446,3339,451,778,244,2561,425,5519,497,5379,497,140,96
BX14,East Concourse-Concourse Village,10089,467,5630,414,1869,286,3761,387,889,224,2872,344,4459,402,4088,392,371,133
BX17,East Tremont,4917,366,3224,306,811,192,2413,290,297,116,2116,279,1693,263,1531,247,162,100
BX22,North Riverdale-Fieldston-Riverdale,903,185,460,153,281,134,179,103,58,67,121,85,443,111,368,102,75,69
BX26,Highbridge,5430,363,3163,323,1004,224,2159,297,457,145,1702,266,2267,312,1986,298,281,131
BX27,Hunts Point,2224,227,1535,194,429,120,1106,193,98,76,1008,186,689,154,689,154,0,38
BX28,Van Cortlandt Village,4185,350,2799,300,1002,222,1797,283,332,137,1465,257,1386,252,1239,242,147,84
BX29,Spuyten Duyvil-Kingsbridge,1113,181,478,142,119,61,359,131,95,84,264,103,635,146,530,127,105,84
BX30,Kingsbridge Heights,2662,291,1599,244,518,166,1081,210,214,115,867,184,1063,203,915,188,148,81
BX31,Allerton-Pelham Gardens,3215,244,2374,238,1213,204,1161,193,165,96,996,175,841,168,663,150,178,99
BX33,Longwood,2650,268,1737,237,420,137,1317,220,213,112,1104,195,913,188,866,180,47,49
BX34,Melrose South-Mott Haven North,5032,365,3332,351,657,178,2675,336,358,152,2317,313,1700,264,1500,259,200,105
BX35,Morrisania-Melrose,5612,330,3581,325,994,190,2587,324,395,139,2192,308,2031,257,1779,250,252,99
BX36,University Heights-Morris Heights,6952,395,4171,334,1173,210,2998,326,404,149,2594,297,2781,304,2307,272,474,154
