area_id,area_name,b19113b001,b19113b001_moe
BK09,Brooklyn Heights-Cobble Hill,353708,248361
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,367735,120829
BK19,Brighton Beach,71104,334525
BK21,Seagate-Coney Island,230297,72479
BK26,Gravesend,32872,11141
BK27,Bath Beach,27200,162163
BK29,Bensonhurst East,303729,188871
BK30,Dyker Heights,43333,37267
BK31,Bay Ridge,562411,281435
BK32,Sunset Park West,527857,188236
BK33,Carroll Gardens-Columbia Street-Red Hook,152989,31029
BK34,Sunset Park East,527969,205722
BK35,Stuyvesant Heights,803278,71716
BK37,Park Slope-Gowanus,1000046,272203
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,354426,235692
BK40,Windsor Terrace,442901,185333
BK41,Kensington-Ocean Parkway,468252,207678
BK42,Flatbush,1303464,98197
BK43,Midwood,455782,176537
BK44,Madison,49438,71843
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,500616,183806
BK50,Canarsie,2433605,124887
BK58,Flatlands,1970441,402601
BK60,Prospect Lefferts Gardens-Wingate,783492,65375
BK61,Crown Heights North,1142042,80351
BK63,Crown Heights South,444602,63625
BK64,Prospect Heights,381648,133880
BK68,Fort Greene,541908,192839
BK69,Clinton Hill,662520,110285
BK72,Williamsburg,73305,31460
BK73,North Side-South Side,262939,103654
BK75,Bedford,857488,157915
BK77,Bushwick North,581107,167914
BK78,Bushwick South,666195,97176
BK79,Ocean Hill,393176,51383
BK81,Brownsville,517904,56597
BK82,East New York,1133302,123964
BK83,Cypress Hills-City Line,754799,99852
BK85,East New York (Pennsylvania Ave),353927,58425
BK88,Borough Park,141375,14874
BK90,East Williamsburg,143504,54721
BK91,East Flatbush-Farragut,1314581,108584
BK93,Starrett City,93271,36668
BK95,Erasmus,332056,38224
BK96,Rugby-Remsen Village,1009172,69725
BX01,Claremont-Bathgate,258671,41532
BX03,Eastchester-Edenwald-Baychester,495443,94180
BX05,Bedford Park-Fordham North,426276,117523
BX06,Belmont,179368,66840
BX07,Bronxdale,409586,58241
BX08,West Farms-Bronx River,279438,72383
BX09,Soundview-Castle Hill-Clason Point-Harding Park,573997,89915
BX10,Pelham Bay-Country Club-City Island,65104,52442
BX13,Co-op City,205622,25546
BX14,East Concourse-Concourse Village,528686,80124
BX17,East Tremont,350599,68896
BX22,North Riverdale-Fieldston-Riverdale,782999,345844
BX26,Highbridge,232690,62445
BX27,Hunts Point,211084,130823
BX28,Van Cortlandt Village,518485,105039
BX29,Spuyten Duyvil-Kingsbridge,435443,175863
BX30,Kingsbridge Heights,254778,59905
BX31,Allerton-Pelham Gardens,934017,183143
BX33,Longwood,135224,43079
BX34,Melrose South-Mott Haven North,226361,47374
BX35,Morrisania-Melrose,299321,42005
BX36,University Heights-Morris Heights,456198,117048
BX37,Van Nest-Morris Park-Westchester Square,366102,254800
BX39,Mott Haven-Port Morris,317700,70498
BX40,Fordham South,136065,13872
BX41,Mount Hope,403275,58698
BX43,Norwood,300619,74255
BX44,Williamsbridge-Olinville,1002382,77450
BX46,Parkchester,278779,36325
BX49,Pelham Parkway,316705,88660
BX52,Schuylerville-Throgs Neck-Edgewater Park,657880,234964
BX55,Soundview-Bruckner,418527,150796
BX59,Westchester-Unionport,316944,29391
BX62,Woodlawn-Wakefield,636913,72363
BX63,West Concourse,279731,75216
BX75,Crotona Park East,227887,80568
BX99,park-cemetery-etc-Bronx,32222,36335
MN01,Marble Hill-Inwood,357109,182266
MN03,Central Harlem North-Polo Grounds,631858,70491
MN04,Hamilton Heights,342275,54236
MN06,Manhattanville,153463,43166
