area_id,area_name,b18101b001,b18101b001_moe,b18101b002,b18101b002_moe,b18101b003,b18101b003_moe,b18101b004,b18101b004_moe,b18101b005,b18101b005_moe,b18101b006,b18101b006_moe,b18101b007,b18101b007_moe,b18101b008,b18101b008_moe,b18101b009,b18101b009_moe,b18101b010,b18101b010_moe
BK09,Brooklyn Heights-Cobble Hill,1282,346,32,52,0,29,32,52,935,278,37,43,898,274,315,146,134,101,181,110
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4469,735,1096,317,19,58,1077,314,2819,544,292,119,2527,523,554,169,267,118,287,114
BK19,Brighton Beach,520,263,111,99,0,38,111,99,348,190,56,62,292,177,61,60,60,61,1,36
BK21,Seagate-Coney Island,10591,1060,2606,512,131,92,2475,488,6549,798,826,205,5723,761,1436,318,615,172,821,220
BK23,West Brighton,168,112,0,27,0,27,0,27,64,66,0,27,64,66,104,93,66,73,38,66
BK25,Homecrest,480,272,126,175,0,48,126,175,309,154,62,73,247,135,45,57,34,55,11,50
BK26,Gravesend,2338,580,641,358,22,46,619,356,1390,301,265,123,1125,275,307,143,166,88,141,120
BK27,Bath Beach,627,407,265,250,0,40,265,250,293,165,31,51,262,161,69,78,35,68,34,55
BK28,Bensonhurst West,717,235,156,97,0,64,156,97,503,169,80,74,423,163,58,72,23,67,35,67
BK29,Bensonhurst East,619,247,121,93,0,51,121,93,428,180,46,61,382,175,70,68,42,62,28,57
BK30,Dyker Heights,456,228,35,66,0,51,35,66,403,202,21,51,382,200,18,52,0,51,18,52
BK31,Bay Ridge,1688,428,360,242,0,66,360,242,1218,274,86,80,1132,268,110,72,44,61,66,75
BK32,Sunset Park West,1924,415,245,141,0,49,245,141,1505,337,160,84,1345,322,174,86,98,67,76,67
BK33,Carroll Gardens-Columbia Street-Red Hook,4569,630,1351,296,60,75,1291,282,2793,463,285,133,2508,457,425,134,233,111,192,105
BK34,Sunset Park East,1955,541,523,222,9,59,514,220,1406,416,39,57,1367,413,26,51,17,50,9,58
BK35,Stuyvesant Heights,48302,2030,11875,1062,340,132,11535,1047,31412,1355,3576,464,27836,1269,5015,412,2129,277,2886,330
BK37,Park Slope-Gowanus,5076,828,1011,384,31,66,980,377,3380,515,240,138,3140,497,685,192,328,141,357,125
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8397,802,1991,418,161,90,1830,416,5616,576,1056,248,4560,498,790,184,492,171,298,89
BK40,Windsor Terrace,1490,475,236,152,39,61,197,142,988,313,136,172,852,252,266,137,134,76,132,80
BK41,Kensington-Ocean Parkway,2872,663,505,210,5,39,500,210,1888,456,240,164,1648,388,479,184,260,113,219,122
BK42,Flatbush,53514,2184,12489,1021,275,127,12214,1011,36103,1494,2221,331,33882,1477,4922,434,1653,256,3269,374
BK43,Midwood,2540,548,482,200,0,51,482,200,1919,444,159,86,1760,432,139,70,100,65,39,57
BK44,Madison,398,223,54,77,0,46,54,77,340,193,7,47,333,193,4,41,4,41,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,5983,931,1845,438,0,55,1845,438,3709,547,129,99,3580,528,429,171,176,112,253,124
BK46,Ocean Parkway South,169,98,44,57,0,36,44,57,104,66,2,34,102,66,21,33,21,33,0,36
BK50,Canarsie,72138,2109,18991,1057,478,135,18513,1045,48216,1466,2525,323,45691,1432,4931,487,1781,308,3150,364
BK58,Flatlands,51063,1740,11599,810,346,121,11253,807,33977,1270,1666,280,32311,1235,5487,430,1606,230,3881,384
BK60,Prospect Lefferts Gardens-Wingate,54179,2262,11300,1010,355,198,10945,993,35640,1496,2744,436,32896,1453,7239,645,2554,426,4685,519
BK61,Crown Heights North,76573,2304,18276,1168,487,156,17789,1147,48668,1619,4530,491,44138,1579,9629,598,4208,455,5421,448
BK63,Crown Heights South,27238,1453,6085,714,116,71,5969,707,17669,1010,1419,259,16250,993,3484,335,1119,192,2365,305
BK64,Prospect Heights,5824,725,812,255,12,37,800,256,4093,552,259,115,3834,537,919,205,252,111,667,188
BK68,Fort Greene,11531,879,2362,364,99,70,2263,370,7744,671,918,207,6826,655,1425,226,567,129,858,227
BK69,Clinton Hill,15204,1099,2573,448,9,42,2564,448,10105,791,840,201,9265,785,2526,305,1041,199,1485,260
BK72,Williamsburg,852,184,196,131,0,36,196,131,464,174,76,64,388,173,192,101,64,73,128,85
BK73,North Side-South Side,2603,567,532,235,0,48,532,235,1901,427,255,139,1646,382,170,74,66,52,104,68
BK75,Bedford,37594,1731,8767,793,456,183,8311,774,24771,1225,2888,386,21883,1163,4056,415,1612,267,2444,330
BK76,Greenpoint,304,119,40,47,0,42,40,47,257,115,21,43,236,113,7,41,7,41,0,42
BK77,Bushwick North,7838,1127,2049,506,137,145,1912,471,5288,753,249,97,5039,743,501,135,241,102,260,104
BK78,Bushwick South,22479,1581,5747,726,167,100,5580,713,14307,1077,1405,252,12902,1024,2425,293,988,199,1437,238
BK79,Ocean Hill,25737,1340,7239,706,202,102,7037,712,15837,936,1710,319,14127,881,2661,291,1354,220,1307,219
BK81,Brownsville,45728,1689,13489,999,451,145,13038,992,27522,1127,2382,345,25140,1094,4717,386,1579,247,3138,346
BK82,East New York,65147,2320,19533,1310,485,157,19048,1279,39447,1478,3259,382,36188,1466,6167,520,2624,391,3543,375
