area_id,area_name,b11001h001,b11001h001_moe,b11001h002,b11001h002_moe,b11001h003,b11001h003_moe,b11001h004,b11001h004_moe,b11001h005,b11001h005_moe,b11001h006,b11001h006_moe,b11001h007,b11001h007_moe,b11001h008,b11001h008_moe,b11001h009,b11001h009_moe
BK09,Brooklyn Heights-Cobble Hill,9144,391,3928,348,3630,337,298,119,188,104,110,57,5216,388,4180,368,1036,207
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,18887,473,12019,499,9466,499,2553,337,640,180,1913,290,6868,432,6348,428,520,132
BK19,Brighton Beach,10943,367,5609,385,4182,353,1427,249,343,140,1084,224,5334,386,4914,375,420,132
BK21,Seagate-Coney Island,4195,319,2374,271,1908,267,466,149,40,46,426,145,1821,236,1735,229,86,65
BK23,West Brighton,7774,236,4549,311,3485,314,1064,210,177,83,887,205,3225,304,3073,304,152,83
BK25,Homecrest,12875,369,8648,396,7219,375,1429,226,399,129,1030,191,4227,333,3845,322,382,121
BK26,Gravesend,7063,326,4301,343,3267,329,1034,203,248,111,786,171,2762,350,2690,346,72,62
BK27,Bath Beach,6932,352,4398,334,3403,291,995,205,376,126,619,153,2534,275,2359,261,175,87
BK28,Bensonhurst West,17149,493,10949,495,8490,477,2459,289,552,143,1907,262,6200,415,5517,392,683,175
BK29,Bensonhurst East,12634,439,8061,427,5997,404,2064,270,741,172,1323,215,4573,371,4108,352,465,144
BK30,Dyker Heights,9380,346,6329,333,4960,316,1369,217,542,153,827,166,3051,294,2508,265,543,153
BK31,Bay Ridge,25268,550,13225,566,10292,520,2933,332,679,158,2254,295,12043,531,10254,501,1789,254
BK32,Sunset Park West,4017,292,1849,235,1329,209,520,138,142,85,378,119,2168,242,1260,197,908,167
BK33,Carroll Gardens-Columbia Street-Red Hook,11355,427,5352,387,4366,357,986,207,263,119,723,179,6003,429,4054,383,1949,283
BK34,Sunset Park East,4068,307,2154,262,1438,218,716,150,347,109,369,107,1914,248,1493,225,421,135
BK35,Stuyvesant Heights,1214,203,482,141,328,120,154,92,21,59,133,87,732,151,321,107,411,121
