area_id,area_name,c15002b001,c15002b001_moe,c15002b002,c15002b002_moe,c15002b003,c15002b003_moe,c15002b004,c15002b004_moe,c15002b005,c15002b005_moe,c15002b006,c15002b006_moe,c15002b007,c15002b007_moe,c15002b008,c15002b008_moe,c15002b009,c15002b009_moe,c15002b010,c15002b010_moe,c15002b011,c15002b011_moe
BK09,Brooklyn Heights-Cobble Hill,1041,295,457,221,0,29,139,98,55,48,263,187,584,193,14,28,116,92,170,119,284,122
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2909,456,1163,289,183,112,485,211,368,153,127,102,1746,283,314,142,814,193,386,134,232,132
BK19,Brighton Beach,331,154,161,94,26,44,65,57,19,46,51,74,170,96,57,56,39,49,40,47,34,51
BK21,Seagate-Coney Island,6418,689,2350,498,792,225,1074,398,394,150,90,64,4068,377,1318,251,1382,264,983,215,385,126
BK23,West Brighton,167,112,27,34,0,27,12,29,0,27,15,33,140,106,39,67,12,29,48,67,41,57
BK25,Homecrest,344,159,157,96,35,67,16,48,67,65,39,64,187,106,29,51,69,79,44,60,45,62
BK26,Gravesend,1453,284,482,153,88,70,313,140,81,84,0,36,971,209,336,153,287,128,224,113,124,101
BK27,Bath Beach,354,184,158,107,30,54,43,69,76,83,9,38,196,103,34,53,27,55,41,50,94,81
BK28,Bensonhurst West,556,180,258,119,68,78,39,67,124,90,27,71,298,113,80,70,70,83,60,70,88,85
BK29,Bensonhurst East,438,175,273,122,55,65,29,51,93,78,96,77,165,100,53,63,46,66,25,55,41,59
BK30,Dyker Heights,426,187,146,89,58,71,8,50,47,71,33,54,280,144,59,72,44,59,30,52,147,126
BK31,Bay Ridge,1329,295,656,186,61,72,216,123,214,120,165,88,673,166,31,67,117,94,302,125,223,101
BK32,Sunset Park West,2198,377,1374,260,388,148,444,143,363,163,179,106,824,195,150,91,167,81,178,90,329,123
BK33,Carroll Gardens-Columbia Street-Red Hook,2857,388,961,259,225,143,191,94,312,147,233,114,1896,284,517,176,515,167,595,190,269,117
BK34,Sunset Park East,1082,294,505,160,107,91,224,114,119,91,55,71,577,191,94,81,142,88,182,105,159,89
BK35,Stuyvesant Heights,31237,1188,13060,791,2860,392,4884,495,2958,409,2358,340,18177,783,3746,398,5572,505,4821,472,4038,420
BK37,Park Slope-Gowanus,3738,534,1775,310,233,113,284,115,496,163,762,213,1963,319,262,103,299,128,499,173,903,203
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,5464,517,2066,346,500,151,551,178,726,208,289,111,3398,368,796,205,914,192,890,189,798,188
BK40,Windsor Terrace,1120,309,476,164,87,62,171,96,137,96,81,73,644,189,56,47,157,97,95,68,336,144
BK41,Kensington-Ocean Parkway,2273,501,1088,290,175,97,272,134,381,164,260,130,1185,289,215,131,176,92,327,184,467,159
BK42,Flatbush,35025,1288,14335,816,2461,352,4599,506,4350,509,2925,408,20690,899,3596,430,7140,587,5418,531,4536,485
BK43,Midwood,2025,451,927,345,327,292,235,109,228,108,137,97,1098,223,80,79,452,135,273,123,293,109
BK44,Madison,265,122,108,74,20,49,43,60,45,60,0,46,157,96,14,44,29,54,23,53,91,85
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3821,555,1713,316,133,87,676,210,534,191,370,125,2108,358,167,112,591,196,767,230,583,176
BK46,Ocean Parkway South,102,59,35,42,17,35,0,36,5,35,13,40,67,47,17,37,12,35,0,36,38,45
BK50,Canarsie,45292,1315,18776,804,2294,303,6644,519,5975,534,3863,406,26516,836,3415,359,6955,518,8375,573,7771,533
BK58,Flatlands,33630,1127,13826,707,1774,280,5060,455,3808,410,3184,397,19804,727,2677,334,5673,462,5881,465,5573,452
BK60,Prospect Lefferts Gardens-Wingate,37385,1543,15385,959,3222,432,5761,661,4071,510,2331,385,22000,963,3991,445,7563,653,6414,635,4032,467
BK61,Crown Heights North,51439,1467,20357,978,4521,478,7398,627,4796,528,3642,448,31082,1043,6588,554,10115,702,8662,641,5717,522
BK63,Crown Heights South,17931,860,7499,581,1475,296,2435,354,2346,385,1243,245,10432,595,2358,350,3413,404,2743,381,1918,303
BK64,Prospect Heights,4616,562,2113,410,356,134,507,191,600,232,650,233,2503,304,295,119,645,194,546,173,1017,209
BK68,Fort Greene,7747,636,2828,409,653,209,599,157,911,218,665,198,4919,401,1047,202,1139,248,1353,262,1380,245
BK69,Clinton Hill,11333,772,4842,501,635,167,979,212,1609,278,1619,345,6491,510,758,173,1461,269,1758,305,2514,327
BK72,Williamsburg,683,188,297,141,126,80,93,77,19,39,59,82,386,123,178,94,97,71,86,68,25,44
BK73,North Side-South Side,1704,369,733,241,214,125,182,112,215,161,122,80,971,232,237,97,127,81,358,151,249,112
BK75,Bedford,24632,1062,10487,698,2557,353,3112,399,2873,387,1945,317,14145,688,2818,329,4164,400,3887,420,3276,385
BK76,Greenpoint,228,109,171,102,42,62,48,67,15,46,66,71,57,50,7,41,3,40,11,44,36,49
BK77,Bushwick North,4590,646,2051,377,839,307,608,167,455,148,149,88,2539,374,877,265,631,164,484,129,547,163
BK78,Bushwick South,13974,914,5509,529,1590,284,1901,303,1217,251,801,209,8465,616,1831,302,2998,396,2430,318,1206,256
BK79,Ocean Hill,15582,833,6325,546,1785,293,2246,349,1656,304,638,177,9257,546,1831,267,3218,390,2542,317,1666,276
BK81,Brownsville,26947,944,9193,626,2109,317,4292,454,2183,330,609,173,17754,718,4623,463,6246,519,4746,460,2139,333
BK82,East New York,38133,1324,14543,809,2880,399,7075,582,3057,365,1531,278,23590,861,4499,444,9095,634,6532,546,3464,400
BK83,Cypress Hills-City Line,7664,759,3462,444,736,207,1786,332,634,173,306,128,4202,458,772,182,1921,308,838,199,671,179
BK85,East New York (Pennsylvania Ave),11908,642,4461,418,1086,224,2038,290,867,201,470,150,7447,458,1997,281,2417,324,2079,272,954,190
BK88,Borough Park,630,207,333,145,93,86,153,108,67,89,20,67,297,117,77,76,84,88,77,82,59,77
BK90,East Williamsburg,2395,377,878,270,176,117,263,134,343,137,96,84,1517,260,457,173,357,135,447,147,256,114
BK91,East Flatbush-Farragut,33370,1141,14128,738,1859,283,5687,571,3514,402,3068,374,19242,722,1984,257,6798,524,5770,495,4690,436
BK93,Starrett City,3863,442,901,260,225,118,267,137,282,150,127,104,2962,327,397,159,861,273,997,251,707,214
BK95,Erasmus,17102,839,7184,563,1364,260,2866,357,1831,300,1123,254,9918,544,2000,259,3453,374,2840,354,1625,284
BK96,Rugby-Remsen Village,35345,1192,14777,761,2380,337,5784,528,4656,473,1957,296,20568,798,3705,410,7054,562,5846,477,3963,390
BK99,park-cemetery-etc-Brooklyn,39,74,20,50,0,40,20,50,0,40,0,40,19,48,19,48,0,40,0,40,0,40
BX01,Claremont-Bathgate,8017,645,3254,410,1097,256,961,257,871,219,325,149,4763,455,1887,365,1440,262,943,190,493,144
BX03,Eastchester-Edenwald-Baychester,16667,1061,6796,641,1395,272,1938,371,2397,421,1066,286,9871,644,1562,295,2483,367,3176,486,2650,375
BX05,Bedford Park-Fordham North,7332,747,3344,451,861,220,969,245,1271,318,243,104,3988,468,827,208,1308,330,1260,251,593,173
BX06,Belmont,3067,407,1351,269,344,133,361,133,355,128,291,166,1716,297,598,165,322,124,558,167,238,117
BX07,Bronxdale,7401,596,3149,423,699,191,895,225,1026,252,529,189,4252,385,667,184,1214,245,1409,255,962,224
BX08,West Farms-Bronx River,6852,722,3226,450,819,246,1040,233,899,218,468,194,3626,444,699,176,1152,268,1020,194,755,270
BX09,Soundview-Castle Hill-Clason Point-Harding Park,13438,868,5049,516,749,195,2126,339,1300,275,874,229,8389,612,1419,302,2458,397,2522,357,1990,342
BX10,Pelham Bay-Country Club-City Island,515,198,144,93,6,29,51,60,31,44,56,69,371,176,64,83,41,46,147,110,119,113
BX13,Co-op City,20338,1185,8319,810,1179,295,3102,517,2372,423,1666,369,12019,813,1672,395,2537,398,4068,721,3742,572
BX14,East Concourse-Concourse Village,17244,1065,7797,727,1978,365,2636,444,2040,355,1143,247,9447,699,2696,388,2134,409,2754,407,1863,306
BX17,East Tremont,7856,645,3102,456,809,202,1009,320,768,205,516,169,4754,443,1394,331,1251,230,1456,248,653,173
BX22,North Riverdale-Fieldston-Riverdale,1729,324,816,202,91,65,168,88,242,106,315,136,913,190,61,48,139,80,216,106,497,131
BX26,Highbridge,8884,689,4228,482,1102,267,1293,279,1255,247,578,188,4656,445,1242,247,1207,265,1543,285,664,172
BX27,Hunts Point,3924,448,1722,268,726,182,506,144,386,130,104,71,2202,297,594,202,619,166,717,152,272,119
BX28,Van Cortlandt Village,7474,713,3239,445,675,211,819,236,1095,283,650,210,4235,463,647,183,1591,341,1023,224,974,230
BX29,Spuyten Duyvil-Kingsbridge,2065,342,800,187,86,55,116,59,271,105,327,128,1265,225,195,94,305,106,195,78,570,151
BX30,Kingsbridge Heights,4770,712,2019,445,412,175,611,216,593,166,403,301,2751,393,615,194,634,190,805,180,697,200
BX31,Allerton-Pelham Gardens,7855,688,3524,447,612,173,934,206,1157,259,821,246,4331,442,658,171,1195,244,1220,231,1258,228
BX33,Longwood,4148,462,1646,298,513,169,628,200,402,142,103,55,2502,299,895,196,648,149,680,166,279,114
BX34,Melrose South-Mott Haven North,7657,723,2800,363,1100,264,780,204,737,191,183,100,4857,569,1580,324,1439,366,1227,241,611,180
BX35,Morrisania-Melrose,9344,697,3876,453,1250,281,1427,284,853,189,346,122,5468,460,1561,275,1544,267,1553,261,810,208
BX36,University Heights-Morris Heights,11653,832,4932,559,1299,279,1801,315,1382,292,450,159,6721,537,2019,320,1816,309,1872,294,1014,221
BX37,Van Nest-Morris Park-Westchester Square,2082,454,1280,307,477,171,248,105,418,169,137,76,802,217,177,110,148,92,257,102,220,89
BX39,Mott Haven-Port Morris,9933,811,4129,527,1448,256,1553,332,671,181,457,177,5804,496,2097,310,1733,288,1446,257,528,157
BX40,Fordham South,5355,623,2178,414,680,191,659,208,640,226,199,137,3177,408,1127,271,804,281,850,228,396,138
BX41,Mount Hope,10139,768,4857,536,1120,230,1534,287,1418,307,785,200,5282,453,1599,253,1462,268,1575,243,646,170
BX43,Norwood,5794,692,2196,361,315,127,674,188,653,200,554,202,3598,479,667,201,1213,350,895,217,823,233
BX44,Williamsbridge-Olinville,28745,1174,11874,741,2440,334,3808,440,3670,431,1956,294,16871,741,3002,366,4755,468,5193,449,3921,418
BX46,Parkchester,10957,902,5001,543,650,208,1317,273,1837,372,1197,287,5956,580,763,230,1625,355,1968,339,1600,307
BX49,Pelham Parkway,2370,363,1034,237,257,128,277,107,274,142,226,116,1336,233,151,113,316,128,454,141,415,136
BX52,Schuylerville-Throgs Neck-Edgewater Park,3115,530,1513,315,322,147,406,145,525,191,260,143,1602,306,390,152,414,145,428,148,370,151
BX55,Soundview-Bruckner,6404,632,2799,382,643,173,976,218,976,254,204,101,3605,404,923,218,983,212,1166,237,533,154
BX59,Westchester-Unionport,3094,454,1273,267,338,162,402,136,244,115,289,118,1821,318,379,155,419,132,469,152,554,185
BX62,Woodlawn-Wakefield,19112,948,7594,542,1344,238,2786,392,1751,286,1713,289,11518,669,2171,349,3007,386,3152,392,3188,389
BX63,West Concourse,7125,753,3038,407,714,211,703,218,1024,254,597,204,4087,486,928,252,1370,331,1167,226,622,169
BX75,Crotona Park East,3213,406,1412,255,450,137,465,157,293,113,204,97,1801,252,645,145,403,131,473,142,280,120
BX98,Rikers Island,3570,351,3118,316,2031,233,583,110,462,143,42,34,452,191,380,185,33,20,23,18,16,23
BX99,park-cemetery-etc-Bronx,237,82,109,55,35,35,53,50,14,32,7,31,128,54,39,44,28,35,41,45,20,33
MN01,Marble Hill-Inwood,4220,546,1597,343,293,138,421,143,479,193,404,164,2623,375,622,183,520,162,747,198,734,241
MN03,Central Harlem North-Polo Grounds,36232,1389,15758,971,3750,549,4673,581,4149,552,3186,478,20474,911,4197,526,5292,588,5737,572,5248,573
MN04,Hamilton Heights,14948,1015,6754,741,1509,403,1754,388,1961,410,1530,355,8194,730,1850,372,1844,381,2311,400,2189,365
MN06,Manhattanville,5923,619,2525,365,856,262,603,166,703,200,363,128,3398,462,808,245,959,251,945,211,686,223
MN09,Morningside Heights,5738,744,2335,505,570,261,795,276,333,157,637,229,3403,420,687,222,1022,244,765,227,929,266
MN11,Central Harlem South,18699,997,7989,674,1804,392,2161,362,1747,316,2277,346,10710,681,1909,314,2650,397,2733,367,3418,446
MN12,Upper West Side,11837,1057,5167,790,933,264,1476,481,1326,400,1432,375,6670,660,1303,304,1686,365,1933,391,1748,393
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,3067,492,1373,313,308,140,229,131,349,148,487,192,1694,353,297,117,252,135,475,230,670,224
MN14,Lincoln Square,1916,469,707,293,320,260,76,80,76,80,235,121,1209,372,197,140,607,296,183,156,222,120
MN15,Clinton,2568,430,1468,344,418,190,314,166,357,160,379,153,1100,233,215,110,259,117,188,105,438,148
MN17,Midtown-Midtown South,1001,213,583,163,178,113,93,75,100,78,212,114,418,150,35,56,86,78,132,78,165,104
MN19,Turtle Bay-East Midtown,880,293,508,221,52,74,34,68,117,105,305,188,372,156,28,56,34,67,93,79,217,124
MN20,Murray Hill-Kips Bay,1603,478,901,335,160,145,183,125,155,135,403,194,702,248,81,86,107,92,295,151,219,102
MN21,Gramercy,703,254,372,208,50,58,152,163,11,35,159,112,331,135,70,55,29,43,76,61,156,90
MN22,East Village,2041,500,1153,277,142,82,410,163,257,109,344,161,888,332,53,43,204,117,280,152,351,246
MN23,West Village,1068,266,416,147,71,70,43,54,57,72,245,119,652,222,37,64,77,106,54,71,484,189
MN24,SoHo-TriBeCa-Civic Center-Little Italy,704,227,374,170,31,46,5,37,44,59,294,161,330,132,67,71,33,63,98,70,132,75
MN25,Battery Park City-Lower Manhattan,772,229,451,180,25,44,0,42,128,103,298,156,321,130,20,48,23,44,79,79,199,105
MN27,Chinatown,1434,283,860,216,281,110,241,99,217,103,121,85,574,177,86,66,220,126,183,85,85,60
MN28,Lower East Side,5454,657,2497,420,846,269,545,175,519,196,587,191,2957,410,888,237,764,211,753,213,552,174
MN31,Lenox Hill-Roosevelt Island,2671,482,1173,279,310,113,159,93,276,150,428,177,1498,354,347,129,408,196,228,143,515,234
MN32,Yorkville,2200,427,935,318,127,103,146,110,171,105,491,263,1265,275,161,83,226,100,298,149,580,223
MN33,East Harlem South,11037,800,4705,572,1026,241,1432,320,1265,276,982,268,6332,520,1609,273,1564,294,1572,278,1587,305
MN34,East Harlem North,14704,1029,5452,660,1324,332,1474,302,1547,427,1107,263,9252,709,1918,352,2574,438,2710,446,2050,315
MN35,Washington Heights North,4879,769,2216,411,460,174,535,177,443,159,778,279,2663,512,706,255,597,303,690,231,670,204
MN36,Washington Heights South,12694,1102,6671,827,2054,483,1388,341,1773,353,1456,408,6023,575,2161,437,1058,240,1315,288,1489,280
MN40,Upper East Side-Carnegie Hill,571,222,348,142,39,60,30,56,96,86,183,112,223,125,27,60,27,56,52,61,117,90
MN50,Stuyvesant Town-Cooper Village,733,274,300,150,35,43,16,28,62,55,187,126,433,191,0,22,12,23,134,105,287,176
MN99,park-cemetery-etc-Manhattan,799,387,641,343,263,180,237,131,115,101,26,47,158,120,79,83,34,48,38,56,7,33
QN01,South Jamaica,16501,782,6794,503,1641,299,2388,330,1796,271,969,188,9707,519,1837,270,2838,330,3173,327,1859,268
QN02,Springfield Gardens North,16927,973,6714,676,1131,341,2129,396,2439,394,1015,274,10213,645,1280,319,2725,403,3772,493,2436,389
QN03,Springfield Gardens South-Brookville,11156,639,4850,407,747,197,1521,284,1516,251,1066,209,6306,370,743,192,1675,269,2293,271,1595,248
QN05,Rosedale,14750,968,5762,464,627,178,1656,310,1970,318,1509,277,8988,669,825,207,1926,324,3207,444,3030,380
QN06,Jamaica Estates-Holliswood,5134,531,2010,307,470,162,293,108,475,181,772,190,3124,427,340,180,753,183,1062,225,969,235
QN07,Hollis,9301,611,3816,351,739,175,1164,208,1095,198,818,180,5485,438,844,177,1413,233,1837,283,1391,253
QN08,St. Albans,30553,1039,12708,668,2053,301,4425,455,3944,388,2286,296,17845,690,1809,259,5082,466,6237,549,4717,380
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1618,329,795,196,187,83,195,102,245,119,168,85,823,184,118,66,210,99,225,97,270,123
QN12,Hammels-Arverne-Edgemere,12934,855,5329,600,1240,270,2130,388,1287,272,672,183,7605,500,1991,311,2554,384,1936,304,1124,226
QN15,Far Rockaway-Bayswater,14374,1029,5760,599,1312,268,1860,363,1649,353,939,223,8614,703,1602,315,2792,427,2292,390,1928,342
QN17,Forest Hills,1782,423,956,279,61,76,183,116,336,181,376,149,826,236,82,69,72,69,192,137,480,190
QN18,Rego Park,706,209,271,127,9,31,118,82,55,70,89,69,435,147,13,36,121,83,107,66,194,101
QN19,Glendale,244,109,160,90,0,43,112,82,40,53,8,45,84,66,14,43,28,42,42,63,0,43
QN20,Ridgewood,1177,277,555,163,55,58,113,81,286,133,101,75,622,170,105,77,96,78,264,118,157,88
QN21,Middle Village,362,159,193,139,16,50,103,126,56,74,18,52,169,80,38,62,46,56,31,56,54,58
QN22,Flushing,2352,393,736,193,131,86,230,122,262,122,113,79,1616,308,332,131,488,169,477,126,319,131
QN23,College Point,437,179,150,83,22,33,38,41,74,69,16,34,287,112,99,58,55,41,36,44,97,85
QN25,Corona,6144,622,2609,401,512,195,814,269,772,269,511,181,3535,425,569,168,1105,249,1322,292,539,195
QN26,North Corona,2272,398,1058,254,226,95,390,185,297,103,145,81,1214,217,295,103,324,99,373,121,222,89
QN27,East Elmhurst,4478,488,1928,277,415,124,647,175,446,146,420,145,2550,321,412,147,841,189,756,176,541,116
QN28,Jackson Heights,1968,410,835,228,101,90,283,122,289,146,162,100,1133,259,178,99,320,144,323,129,312,124
QN29,Elmhurst,1085,239,600,181,146,92,60,70,164,105,230,125,485,157,169,105,126,89,123,78,67,72
QN30,Maspeth,272,98,111,69,11,46,39,50,27,51,34,57,161,88,29,53,42,54,58,62,32,51
QN31,Hunters Point-Sunnyside-West Maspeth,1135,245,706,193,136,77,289,127,161,99,120,89,429,127,78,76,92,68,162,90,97,74
QN33,Cambria Heights,13369,644,6001,434,779,184,1917,296,1798,254,1507,219,7368,399,937,221,1721,235,2367,258,2343,278
QN34,Queens Village,19930,1019,8960,574,1683,288,2989,367,2756,329,1532,248,10970,636,1413,228,3134,436,3747,382,2676,324
QN35,Briarwood-Jamaica Hills,3474,511,1537,295,207,115,382,145,393,141,555,168,1937,343,173,84,399,147,471,156,894,236
QN37,Kew Gardens Hills,2332,401,1055,254,106,77,186,100,407,148,356,151,1277,268,60,81,329,126,472,147,416,142
QN38,Pomonok-Flushing Heights-Hillcrest,2241,417,952,249,153,95,326,160,163,96,310,164,1289,324,275,175,386,138,448,261,180,92
QN41,Fresh Meadows-Utopia,649,219,198,104,1,21,25,38,89,79,83,63,451,191,25,38,77,59,307,174,42,60
QN42,Oakland Gardens,512,215,189,106,14,28,19,31,62,74,94,79,323,150,2,30,122,75,41,48,158,110
QN43,Bellerose,1174,385,597,242,105,74,122,90,115,85,255,196,577,189,43,49,147,94,154,85,233,116
