area_id,area_name,c18131001,c18131001_moe,c18131002,c18131002_moe,c18131003,c18131003_moe,c18131004,c18131004_moe,c18131005,c18131005_moe,c18131006,c18131006_moe,c18131007,c18131007_moe,c18131008,c18131008_moe,c18131009,c18131009_moe,c18131010,c18131010_moe,c18131011,c18131011_moe,c18131012,c18131012_moe,c18131013,c18131013_moe,c18131014,c18131014_moe,c18131015,c18131015_moe,c18131016,c18131016_moe
BK09,Brooklyn Heights-Cobble Hill,22622,1151,1669,525,158,124,1511,491,545,216,129,68,416,197,513,197,154,97,359,166,633,227,96,88,537,209,19262,1092,1213,315,18049,1063
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,61232,1613,4059,707,814,242,3245,660,5807,947,1624,289,4183,901,5956,960,1447,268,4509,885,5025,763,954,204,4071,710,40385,1609,3964,454,36421,1555
BK19,Brighton Beach,31417,1314,2556,602,319,136,2237,583,5903,833,2951,400,2952,721,3804,881,1146,267,2658,824,2826,662,380,128,2446,645,16328,1186,1372,248,14956,1146
BK21,Seagate-Coney Island,29381,1272,3924,917,809,272,3115,835,5625,858,1971,301,3654,765,4052,778,906,230,3146,726,3504,748,527,171,2977,708,12276,1207,1160,255,11116,1174
BK23,West Brighton,15410,683,235,109,78,51,157,97,1585,300,857,191,728,214,1758,450,692,213,1066,368,1165,307,412,145,753,248,10667,903,1770,297,8897,871
BK25,Homecrest,41755,1455,2284,661,329,123,1955,654,3569,660,783,186,2786,618,5438,854,593,144,4845,832,4461,842,564,170,3897,813,26003,1412,2345,331,23658,1391
BK26,Gravesend,27710,1254,1381,507,233,108,1148,459,4175,821,1247,234,2928,723,4188,845,997,252,3191,810,2162,544,319,154,1843,507,15804,1162,1693,315,14111,1091
BK27,Bath Beach,29100,1245,2092,614,191,103,1901,576,2450,554,663,165,1787,515,3250,724,544,146,2706,702,2503,598,337,135,2166,560,18805,1294,1483,260,17322,1253
BK28,Bensonhurst West,86379,2161,5333,950,499,195,4834,914,10162,1184,1615,253,8547,1121,11064,1262,1597,276,9467,1203,11298,1314,951,216,10347,1265,48522,2095,3470,390,45052,2018
BK29,Bensonhurst East,60961,1647,2613,547,328,109,2285,523,7209,987,1390,242,5819,939,8112,1076,1135,216,6977,1036,7332,1084,695,198,6637,1049,35695,1725,2426,309,33269,1675
BK30,Dyker Heights,44872,1501,1830,634,351,142,1479,580,4618,831,558,156,4060,794,5759,1005,486,135,5273,981,4773,920,419,128,4354,894,27892,1419,2092,285,25800,1371
BK31,Bay Ridge,83400,1975,5160,922,717,246,4443,868,7730,1139,1398,260,6332,1093,7318,1021,1321,301,5997,898,6352,1017,668,164,5684,982,56840,1893,3536,349,53304,1846
BK32,Sunset Park West,52399,1674,4667,737,366,142,4301,705,9181,1218,1224,252,7957,1189,8303,1161,761,209,7542,1116,6744,1026,487,171,6257,990,23504,1571,1543,277,21961,1547
BK33,Carroll Gardens-Columbia Street-Red Hook,38918,1304,2522,620,543,186,1979,534,3292,591,957,235,2335,559,1979,515,559,208,1420,463,2519,666,282,116,2237,636,28606,1294,1255,266,27351,1266
BK34,Sunset Park East,70985,2035,8097,1098,786,234,7311,1050,13932,1417,1424,253,12508,1399,15150,1644,1166,233,13984,1601,8816,1231,530,160,8286,1212,24990,1726,1569,272,23421,1653
BK35,Stuyvesant Heights,63988,2067,9724,1297,816,217,8908,1238,8259,1065,1859,307,6400,986,7476,1101,1388,311,6088,1013,5087,863,845,215,4242,801,33442,1930,3029,430,30413,1806
BK37,Park Slope-Gowanus,72593,1867,2726,539,346,137,2380,498,2621,563,419,147,2202,532,3261,639,714,200,2547,571,2778,553,356,166,2422,514,61207,1869,2488,370,58719,1853
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,34501,1222,4127,746,830,226,3297,650,3274,590,1193,268,2081,492,2624,623,671,199,1953,547,2655,644,451,220,2204,576,21821,1111,935,213,20886,1102
BK40,Windsor Terrace,22554,968,1407,461,132,73,1275,455,1386,565,319,186,1067,494,822,226,215,98,607,195,842,252,182,86,660,221,18097,890,1088,295,17009,844
BK41,Kensington-Ocean Parkway,35903,1499,3208,815,449,191,2759,747,6267,1190,880,225,5387,1136,5068,996,742,210,4326,959,3673,863,269,118,3404,836,17687,1407,1685,350,16002,1341
BK42,Flatbush,104572,2569,9928,1301,1272,312,8656,1215,13700,1705,1928,292,11772,1663,13426,1529,1383,274,12043,1475,11699,1729,849,214,10850,1694,55819,2326,3531,443,52288,2277
BK43,Midwood,51101,1607,4006,915,412,200,3594,888,6594,930,1572,240,5022,880,5987,898,1041,243,4946,842,4674,856,546,170,4128,824,29840,1494,2031,307,27809,1465
