area_id,area_name,c21001a001,c21001a001_moe,c21001a002,c21001a002_moe,c21001a003,c21001a003_moe,c21001a004,c21001a004_moe,c21001a005,c21001a005_moe,c21001a006,c21001a006_moe,c21001a007,c21001a007_moe,c21001a008,c21001a008_moe,c21001a009,c21001a009_moe,c21001a010,c21001a010_moe,c21001a011,c21001a011_moe,c21001a012,c21001a012_moe,c21001a013,c21001a013_moe,c21001a014,c21001a014_moe,c21001a015,c21001a015_moe
BK09,Brooklyn Heights-Cobble Hill,16417,806,8564,557,7328,524,188,98,7140,517,1236,204,413,117,823,178,7853,494,6703,463,0,29,6703,463,1150,217,0,29,1150,217
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,37991,1148,17385,709,13681,693,602,152,13079,684,3704,331,1088,167,2616,303,20606,754,14716,703,39,59,14677,703,5890,424,23,56,5867,423
BK19,Brighton Beach,21447,912,9376,578,7097,535,153,93,6944,528,2279,260,240,88,2039,246,12071,596,8010,556,0,38,8010,556,4061,337,12,44,4049,329
BK21,Seagate-Coney Island,10509,792,4765,472,3291,421,151,90,3140,394,1474,229,148,73,1326,222,5744,450,3522,403,0,38,3522,403,2222,256,0,38,2222,256
BK23,West Brighton,13829,584,5728,404,3360,416,71,49,3289,417,2368,274,554,154,1814,256,8101,440,4658,478,10,29,4648,480,3443,310,0,27,3443,310
BK25,Homecrest,26837,926,13085,593,10391,574,276,99,10115,579,2694,272,636,151,2058,247,13752,519,10131,501,0,48,10131,501,3621,302,0,48,3621,302
BK26,Gravesend,14561,787,6701,490,4297,448,318,135,3979,419,2404,286,797,195,1607,268,7860,444,4906,416,0,36,4906,416,2954,290,16,37,2938,289
BK27,Bath Beach,14979,874,7238,555,5284,539,414,140,4870,527,1954,247,661,151,1293,208,7741,500,5118,484,8,40,5110,484,2623,266,0,40,2623,266
BK28,Bensonhurst West,39219,1316,18147,790,14029,775,566,165,13463,766,4118,365,1209,207,2909,323,21072,790,14792,741,38,68,14754,741,6280,452,0,64,6280,452
BK29,Bensonhurst East,28510,1064,13678,662,10274,654,528,152,9746,644,3404,300,1063,188,2341,252,14832,664,10461,649,10,52,10451,648,4371,346,7,51,4364,346
BK30,Dyker Heights,21862,933,10723,650,8245,635,573,145,7672,634,2478,258,948,166,1530,211,11139,517,7770,484,17,48,7753,484,3369,285,9,51,3360,284
BK31,Bay Ridge,51262,1314,23915,854,20258,829,1193,221,19065,831,3657,312,1196,176,2461,279,27347,846,20963,812,107,93,20856,815,6384,389,41,70,6343,390
BK32,Sunset Park West,18949,1180,10069,774,9258,755,525,159,8733,745,811,176,190,88,621,152,8880,621,7461,572,56,70,7405,564,1419,243,1,47,1418,243
BK33,Carroll Gardens-Columbia Street-Red Hook,21600,855,10249,568,9173,554,262,103,8911,555,1076,194,487,135,589,144,11351,618,9765,584,27,51,9738,583,1586,245,0,45,1586,245
BK34,Sunset Park East,16916,1105,8469,704,7403,658,309,136,7094,651,1066,199,282,98,784,172,8447,581,6742,541,41,64,6701,539,1705,230,0,59,1705,230
BK35,Stuyvesant Heights,5602,724,2646,431,2430,416,93,86,2337,417,216,100,19,53,197,98,2956,443,2685,434,15,56,2670,433,271,109,0,51,271,109
BK37,Park Slope-Gowanus,44351,1312,21154,844,19136,839,380,148,18756,842,2018,263,809,172,1209,200,23197,901,20960,865,9,58,20951,864,2237,261,0,58,2237,261
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,15427,742,7655,515,6984,490,136,67,6848,489,671,139,159,67,512,127,7772,443,6911,423,11,41,6900,424,861,154,0,42,861,154
BK40,Windsor Terrace,13755,707,6533,419,5897,391,186,83,5711,390,636,142,245,88,391,120,7222,433,6057,392,25,39,6032,393,1165,163,0,32,1165,163
