area_id,area_name,b25067001,b25067001_moe,b25067002,b25067002_moe,b25067003,b25067003_moe
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2104600,292508,287200,167747,1817500,275763
BK29,Bensonhurst East,916300,126969,29800,26843,886500,126681
BK35,Stuyvesant Heights,1295600,197862,39200,49004,1256400,189145
BK37,Park Slope-Gowanus,2534200,488516,190600,143845,2343600,505057
BK58,Flatlands,566500,98262,62400,56210,504100,98058
BK61,Crown Heights North,1158200,145229,21400,19662,1136800,146507
BK63,Crown Heights South,1763400,185222,93200,93166,1670200,218629
BK68,Fort Greene,1288900,256477,66700,46922,1222200,253978
BK78,Bushwick South,646600,63489,20100,21762,626500,67158
BK82,East New York,668000,46795,7800,8196,660200,49086
BX05,Bedford Park-Fordham North,2172500,197347,52600,29797,2119900,198150
BX17,East Tremont,506000,66435,9300,9904,496800,67900
BX22,North Riverdale-Fieldston-Riverdale,804300,196863,25200,21082,779200,194301
BX29,Spuyten Duyvil-Kingsbridge,737500,234828,88300,68318,649200,228786
BX30,Kingsbridge Heights,2325000,235024,291400,161883,2033600,215702
BX35,Morrisania-Melrose,810400,111611,29700,28971,780700,112585
BX39,Mott Haven-Port Morris,802500,121796,7700,6402,794800,121672
BX52,Schuylerville-Throgs Neck-Edgewater Park,605100,226198,142700,88895,462400,220719
MN03,Central Harlem North-Polo Grounds,3367200,310300,118900,76429,3248200,304850
MN04,Hamilton Heights,2805800,259263,49700,51710,2756100,276054
MN12,Upper West Side,20996800,1289889,946800,284486,20050000,1256483
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,2005600,316298,24500,24860,1981200,318628
MN15,Clinton,9880900,757430,393600,172750,9487400,771073
MN17,Midtown-Midtown South,2011500,262977,88900,64791,1922500,255101
MN25,Battery Park City-Lower Manhattan,21313400,1528145,1124400,449895,20189100,1475224
MN28,Lower East Side,1426600,208617,28400,13766,1398200,208497
MN32,Yorkville,5902900,381034,61900,59583,5841000,386896
MN33,East Harlem South,1301800,161421,60300,46297,1241600,159082
MN35,Washington Heights North,4593200,236960,128300,76648,4464900,243494
QN22,Flushing,4236400,309085,540600,153627,3696000,289610
QN27,East Elmhurst,534500,168162,65800,47160,468800,165107
QN29,Elmhurst,2352600,294129,204200,150097,2148300,301927
QN52,East Flushing,620000,147693,45800,57384,574300,139908
QN61,Jamaica,693300,139734,43600,35756,649700,137625
SI08,Grymes Hill-Clifton-Fox Hills,2011700,339279,33400,34947,1978300,342856
SI22,West New Brighton-New Brighton-St. George,565200,126938,35100,24172,530100,125637
