area_id,area_name,b12002f001,b12002f001_moe,b12002f002,b12002f002_moe,b12002f003,b12002f003_moe,b12002f004,b12002f004_moe,b12002f005,b12002f005_moe,b12002f006,b12002f006_moe,b12002f007,b12002f007_moe,b12002f008,b12002f008_moe,b12002f009,b12002f009_moe,b12002f010,b12002f010_moe,b12002f011,b12002f011_moe,b12002f012,b12002f012_moe,b12002f013,b12002f013_moe
BK09,Brooklyn Heights-Cobble Hill,654,253,305,149,195,115,98,76,12,37,0,29,0,29,349,163,182,113,98,73,0,29,0,29,69,89
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,692,294,253,130,87,74,146,110,16,57,4,55,0,55,439,234,203,202,120,89,35,67,0,55,81,80
BK19,Brighton Beach,587,362,319,223,184,151,135,98,0,38,0,38,0,38,268,179,145,120,123,88,0,38,0,38,0,38
BK21,Seagate-Coney Island,2246,596,1038,395,589,270,401,174,28,45,6,39,14,38,1208,319,603,208,328,134,55,53,74,68,148,96
BK23,West Brighton,1,24,1,24,1,24,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,799,344,419,233,218,211,169,101,0,48,0,48,32,54,380,152,128,96,169,94,37,65,9,50,37,57
BK26,Gravesend,1150,350,444,158,40,45,328,149,0,36,0,36,76,62,706,292,273,188,275,139,53,87,25,44,80,91
BK27,Bath Beach,1225,471,563,235,217,130,341,148,0,40,5,39,0,40,662,289,353,226,245,114,0,40,13,39,51,64
BK28,Bensonhurst West,3103,781,1839,535,1070,423,741,230,28,75,0,64,0,64,1264,330,409,193,720,215,31,77,14,65,90,88
BK29,Bensonhurst East,1741,507,924,297,392,160,485,171,23,61,0,51,24,58,817,236,287,133,426,146,26,62,0,51,78,69
BK30,Dyker Heights,809,354,473,259,196,131,264,159,0,51,7,51,6,51,336,150,138,97,146,93,27,64,15,52,10,52
BK31,Bay Ridge,3446,640,1417,332,721,221,527,170,85,91,11,67,73,81,2029,425,998,323,647,169,62,86,102,106,220,129
BK32,Sunset Park West,12656,1149,7026,761,3705,590,2680,390,165,90,85,76,391,164,5630,604,2428,403,2091,301,334,134,246,99,531,145
BK33,Carroll Gardens-Columbia Street-Red Hook,4024,718,1842,390,822,220,791,249,106,108,49,66,74,72,2182,463,828,305,721,225,169,119,191,121,273,150
BK34,Sunset Park East,7914,1035,4138,669,2274,478,1596,327,135,95,24,61,109,89,3776,491,1700,345,1398,255,224,108,177,95,277,113
BK35,Stuyvesant Heights,3875,674,1647,396,726,230,795,250,86,81,21,59,19,53,2228,406,1032,266,657,193,134,92,243,127,162,104
BK37,Park Slope-Gowanus,5598,889,2785,528,1425,401,1001,253,117,111,15,60,227,133,2813,514,1364,367,865,208,209,128,154,117,221,128
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3345,574,1601,367,998,271,382,176,74,66,0,42,147,106,1744,340,813,262,377,155,188,111,107,76,259,123
BK40,Windsor Terrace,1070,346,492,200,230,113,246,130,15,35,1,29,0,32,578,192,212,133,229,115,15,37,65,66,57,46
BK41,Kensington-Ocean Parkway,2463,693,1300,411,724,309,489,186,11,42,11,43,65,68,1163,362,464,270,483,165,17,46,46,56,153,97
BK42,Flatbush,8818,1320,4489,776,2366,524,1822,376,150,126,43,80,108,101,4329,674,1975,416,1553,314,265,128,165,115,371,170
BK43,Midwood,1390,483,824,341,443,207,311,177,22,58,0,51,48,92,566,240,206,133,223,132,20,58,79,83,38,61
BK44,Madison,469,220,179,100,70,57,96,71,0,46,0,46,13,50,290,177,54,72,49,58,0,46,0,46,187,163
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1127,474,572,313,314,233,190,107,0,55,0,55,68,87,555,244,135,95,263,129,74,89,18,59,65,95
BK46,Ocean Parkway South,714,333,351,177,163,105,187,107,0,36,1,34,0,36,363,180,156,98,207,109,0,36,0,36,0,36
BK50,Canarsie,3024,680,1431,380,756,265,598,181,9,71,9,71,59,84,1593,361,661,221,622,175,115,105,65,88,130,95
BK58,Flatlands,1424,398,682,223,292,122,368,144,0,62,0,62,22,66,742,226,279,151,353,136,19,65,45,73,46,69
BK60,Prospect Lefferts Gardens-Wingate,2946,665,1122,337,526,218,531,217,52,75,0,58,13,63,1824,443,864,286,480,207,96,131,154,128,230,134
BK61,Crown Heights North,5082,874,2520,562,1587,435,641,201,90,95,40,80,162,108,2562,477,1205,290,654,219,228,120,174,104,301,135
BK63,Crown Heights South,1484,432,870,284,365,156,404,220,31,49,24,54,46,55,614,199,237,120,222,107,44,63,38,58,73,75
BK64,Prospect Heights,999,360,447,170,155,97,243,146,24,39,0,32,25,45,552,225,212,115,235,134,52,59,16,36,37,51
BK68,Fort Greene,2050,450,980,329,490,178,369,221,33,52,45,62,43,55,1070,239,627,203,202,99,51,55,75,51,115,70
BK69,Clinton Hill,2025,443,1138,304,682,244,244,124,80,76,0,40,132,91,887,245,418,158,250,121,58,61,71,66,90,70
BK72,Williamsburg,966,359,404,207,197,144,162,88,17,42,28,47,0,36,562,202,259,134,143,83,81,81,35,61,44,48
BK73,North Side-South Side,2980,611,1429,343,851,269,363,139,22,54,52,78,141,95,1551,341,723,224,422,144,135,81,92,64,179,98
BK75,Bedford,4928,748,2335,473,1452,403,668,187,74,76,29,65,112,77,2593,426,1203,289,654,179,387,151,184,101,165,99
BK76,Greenpoint,1563,366,767,256,448,209,290,124,0,42,11,43,18,54,796,228,263,155,274,114,107,89,37,61,115,125
BK77,Bushwick North,20106,1515,10622,1017,6059,806,3475,443,396,153,110,88,582,199,9484,771,4471,498,2827,372,777,213,402,137,1007,238
BK78,Bushwick South,12494,1309,6415,774,3450,565,2258,350,300,143,34,68,373,149,6079,700,2603,449,2119,333,441,157,302,136,614,185
BK79,Ocean Hill,2729,541,1343,284,639,183,532,163,76,68,0,38,96,79,1386,325,707,232,369,136,93,78,106,72,111,85
BK81,Brownsville,3291,584,1195,301,611,189,545,192,29,58,0,51,10,50,2096,369,1087,266,571,182,211,97,103,76,124,77
BK82,East New York,5512,829,2481,457,1419,365,727,198,110,108,20,67,205,109,3031,497,1466,320,829,206,212,110,256,114,268,126
BK83,Cypress Hills-City Line,5009,708,2351,399,1029,232,1018,225,156,92,80,94,68,73,2658,388,1105,222,880,210,210,98,245,130,218,84
BK85,East New York (Pennsylvania Ave),2703,607,1143,331,732,243,310,128,31,59,16,39,54,49,1560,359,833,232,421,143,89,69,93,74,124,79
BK88,Borough Park,4629,878,2878,641,1756,491,861,270,112,102,54,83,95,125,1751,358,721,240,603,167,214,131,121,100,92,84
BK90,East Williamsburg,3467,575,1781,366,900,241,586,176,90,71,53,58,152,110,1686,318,681,211,575,174,140,95,126,85,164,102
BK91,East Flatbush-Farragut,770,295,419,187,141,101,165,96,80,89,0,54,33,74,351,166,132,88,141,90,0,54,12,53,66,74
BK93,Starrett City,564,394,6,21,6,21,0,24,0,24,0,24,0,24,558,394,296,226,0,24,37,60,210,192,15,30
