area_id,area_name,b05003e001,b05003e001_moe,b05003e002,b05003e002_moe,b05003e003,b05003e003_moe,b05003e004,b05003e004_moe,b05003e005,b05003e005_moe,b05003e006,b05003e006_moe,b05003e007,b05003e007_moe,b05003e008,b05003e008_moe,b05003e009,b05003e009_moe,b05003e010,b05003e010_moe,b05003e011,b05003e011_moe,b05003e012,b05003e012_moe,b05003e013,b05003e013_moe,b05003e014,b05003e014_moe,b05003e015,b05003e015_moe,b05003e016,b05003e016_moe,b05003e017,b05003e017_moe,b05003e018,b05003e018_moe,b05003e019,b05003e019_moe,b05003e020,b05003e020_moe,b05003e021,b05003e021_moe,b05003e022,b05003e022_moe,b05003e023,b05003e023_moe
BK09,Brooklyn Heights-Cobble Hill,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,112,185,44,88,0,55,0,55,0,55,0,55,0,55,44,88,0,55,44,88,0,55,44,88,68,120,24,65,0,55,24,65,0,55,24,65,44,88,0,55,44,88,0,55,44,88
BK19,Brighton Beach,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BK21,Seagate-Coney Island,21,49,4,43,0,38,0,38,0,38,0,38,0,38,4,43,4,43,0,38,0,38,0,38,17,45,0,38,0,38,0,38,0,38,0,38,17,45,0,38,17,45,17,45,0,38
BK23,West Brighton,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
BK25,Homecrest,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
BK26,Gravesend,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK27,Bath Beach,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BK28,Bensonhurst West,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64
BK29,Bensonhurst East,18,58,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,18,58,0,51,0,51,0,51,0,51,0,51,18,58,18,58,0,51,0,51,0,51
BK30,Dyker Heights,21,59,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,21,59,0,51,0,51,0,51,0,51,0,51,21,59,21,59,0,51,0,51,0,51
BK31,Bay Ridge,88,154,67,117,0,66,0,66,0,66,0,66,0,66,67,117,67,117,0,66,0,66,0,66,21,79,0,66,0,66,0,66,0,66,0,66,21,79,21,79,0,66,0,66,0,66
BK32,Sunset Park West,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
