area_id,area_name,b19313h001,b19313h001_moe
BK09,Brooklyn Heights-Cobble Hill,1633138400,140945112
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1344280700,64717932
BK19,Brighton Beach,589149000,45294293
BK21,Seagate-Coney Island,192703900,24707047
BK23,West Brighton,435485900,42427140
BK25,Homecrest,855227200,53513190
BK26,Gravesend,376624100,34909460
BK27,Bath Beach,484362900,57510931
BK28,Bensonhurst West,1029974600,48635291
BK29,Bensonhurst East,734283600,45710983
BK30,Dyker Heights,761258400,44668372
BK31,Bay Ridge,2077133700,84252791
BK32,Sunset Park West,303206300,30526644
BK33,Carroll Gardens-Columbia Street-Red Hook,1562835300,109208292
BK34,Sunset Park East,253907700,25566554
BK35,Stuyvesant Heights,98390500,20364340
BK37,Park Slope-Gowanus,3263801000,152646630
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1154613800,105405833
BK40,Windsor Terrace,706550100,57146274
BK41,Kensington-Ocean Parkway,401124500,34328925
BK42,Flatbush,676892200,50223434
BK43,Midwood,1116215700,64172334
BK44,Madison,839197200,46957000
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1203174300,67115460
BK46,Ocean Parkway South,431487600,36598851
BK50,Canarsie,118611400,18794142
BK58,Flatlands,342155700,30374227
BK60,Prospect Lefferts Gardens-Wingate,187317900,29652242
BK61,Crown Heights North,341858400,39792147
BK63,Crown Heights South,182477600,25430330
BK64,Prospect Heights,621401400,55233887
BK68,Fort Greene,446231500,56201079
BK69,Clinton Hill,532069500,53189717
BK72,Williamsburg,220427700,23666107
BK73,North Side-South Side,1017914600,82695349
BK75,Bedford,265070700,28633684
BK76,Greenpoint,998140100,83854423
BK77,Bushwick North,186976000,27412526
BK78,Bushwick South,207387500,28916709
BK79,Ocean Hill,6517200,3887433
BK81,Brownsville,4909600,2687793
BK82,East New York,20895000,7019565
BK83,Cypress Hills-City Line,55584200,12489834
BK85,East New York (Pennsylvania Ave),6278300,4997218
BK88,Borough Park,1246851100,63413005
BK90,East Williamsburg,599119600,42198488
BK91,East Flatbush-Farragut,17200700,5937259
BK93,Starrett City,55263600,14169044
BK95,Erasmus,4928600,3531915
BK96,Rugby-Remsen Village,11828000,6033816
BK99,park-cemetery-etc-Brooklyn,6192000,4220192
BX01,Claremont-Bathgate,1685600,1155414
BX03,Eastchester-Edenwald-Baychester,22546500,11091160
BX05,Bedford Park-Fordham North,69839400,12287557
BX06,Belmont,41162400,7447415
BX07,Bronxdale,119377900,24439695
BX08,West Farms-Bronx River,17993600,12632353
BX09,Soundview-Castle Hill-Clason Point-Harding Park,35175800,32225106
BX10,Pelham Bay-Country Club-City Island,562109400,51700080
BX13,Co-op City,110316200,39747873
BX14,East Concourse-Concourse Village,18203600,9303593
BX17,East Tremont,7989100,3658018
BX22,North Riverdale-Fieldston-Riverdale,976010500,95342010
BX26,Highbridge,3262500,2691742
BX27,Hunts Point,4272000,2071682
BX28,Van Cortlandt Village,171086200,25154863
BX29,Spuyten Duyvil-Kingsbridge,708642600,53474631
BX30,Kingsbridge Heights,17198200,6195185
BX31,Allerton-Pelham Gardens,266119200,29810325
BX33,Longwood,7839600,4257445
BX34,Melrose South-Mott Haven North,9241000,5831699
BX35,Morrisania-Melrose,4400200,2707621
