area_id,area_name,b25014d001,b25014d001_moe,b25014d002,b25014d002_moe,b25014d003,b25014d003_moe
BK09,Brooklyn Heights-Cobble Hill,854,214,829,213,25,38
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2686,262,2302,251,384,138
BK19,Brighton Beach,1145,188,816,155,329,123
BK21,Seagate-Coney Island,856,144,780,141,76,52
BK23,West Brighton,41,40,41,40,0,27
BK25,Homecrest,1194,208,960,185,234,106
BK26,Gravesend,1778,230,1538,224,240,92
BK27,Bath Beach,2483,253,2088,247,395,122
BK28,Bensonhurst West,8458,437,6955,427,1503,228
BK29,Bensonhurst East,6379,386,5278,377,1101,212
BK30,Dyker Heights,4008,287,2741,276,1267,227
BK31,Bay Ridge,3807,340,3339,325,468,137
BK32,Sunset Park West,2344,249,1694,234,650,155
BK33,Carroll Gardens-Columbia Street-Red Hook,870,217,836,215,34,50
BK34,Sunset Park East,8598,370,5184,382,3414,321
BK35,Stuyvesant Heights,590,154,457,144,133,82
BK37,Park Slope-Gowanus,2079,324,1986,318,93,85
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1193,178,1070,166,123,71
BK40,Windsor Terrace,904,197,858,192,46,53
BK41,Kensington-Ocean Parkway,2338,274,1697,250,641,178
BK42,Flatbush,2489,281,1732,267,757,160
BK43,Midwood,1358,192,848,173,510,137
BK44,Madison,2438,242,2082,232,356,108
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,636,139,551,123,85,80
BK46,Ocean Parkway South,229,82,190,74,39,45
BK50,Canarsie,687,155,560,145,127,82
BK58,Flatlands,554,117,399,97,155,90
BK60,Prospect Lefferts Gardens-Wingate,664,166,593,156,71,81
BK61,Crown Heights North,703,171,618,168,85,82
BK63,Crown Heights South,147,101,115,93,32,52
BK64,Prospect Heights,650,180,590,174,60,58
BK68,Fort Greene,901,198,823,192,78,60
BK69,Clinton Hill,661,167,634,164,27,47
BK72,Williamsburg,9,38,9,38,0,36
BK73,North Side-South Side,1059,217,1025,214,34,57
BK75,Bedford,646,154,556,145,90,77
BK76,Greenpoint,694,164,602,159,92,75
BK77,Bushwick North,1134,180,922,162,212,93
BK78,Bushwick South,644,158,577,153,67,65
BK79,Ocean Hill,81,53,81,53,0,38
BK81,Brownsville,168,87,119,75,49,64
