area_id,area_name,b05003b001,b05003b001_moe,b05003b002,b05003b002_moe,b05003b003,b05003b003_moe,b05003b004,b05003b004_moe,b05003b005,b05003b005_moe,b05003b006,b05003b006_moe,b05003b007,b05003b007_moe,b05003b008,b05003b008_moe,b05003b009,b05003b009_moe,b05003b010,b05003b010_moe,b05003b011,b05003b011_moe,b05003b012,b05003b012_moe,b05003b013,b05003b013_moe,b05003b014,b05003b014_moe,b05003b015,b05003b015_moe,b05003b016,b05003b016_moe,b05003b017,b05003b017_moe,b05003b018,b05003b018_moe,b05003b019,b05003b019_moe,b05003b020,b05003b020_moe,b05003b021,b05003b021_moe,b05003b022,b05003b022_moe,b05003b023,b05003b023_moe
BK09,Brooklyn Heights-Cobble Hill,1282,346,575,245,0,29,0,29,0,29,0,29,0,29,575,245,383,143,192,183,168,181,24,38,707,211,32,52,32,52,0,29,0,29,0,29,675,206,480,145,195,122,81,78,114,98
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4584,737,2009,447,568,186,498,176,70,117,0,55,70,117,1441,363,1166,335,275,135,244,132,31,60,2575,468,528,228,490,225,38,79,0,55,38,79,2047,335,1691,319,356,144,223,121,133,89
BK19,Brighton Beach,526,262,230,115,40,58,40,58,0,38,0,38,0,38,190,104,75,53,115,95,110,94,5,38,296,174,72,88,72,88,0,38,0,38,0,38,224,118,184,103,40,48,40,48,0,38
BK21,Seagate-Coney Island,10739,1065,4531,663,1228,320,1191,307,37,71,0,38,37,71,3303,562,2792,531,511,181,301,126,210,130,6208,626,1379,347,1330,346,49,73,0,38,49,73,4829,469,4016,458,813,211,598,160,215,117
BK23,West Brighton,168,112,28,34,0,27,0,27,0,27,0,27,0,27,28,34,2,24,26,36,15,33,11,31,140,106,0,27,0,27,0,27,0,27,0,27,140,106,101,85,39,67,39,67,0,27
BK25,Homecrest,484,272,216,113,49,72,49,72,0,48,0,48,0,48,167,98,134,93,33,56,3,45,30,57,268,192,81,123,81,123,0,48,0,48,0,48,187,106,108,88,79,73,54,61,25,51
BK26,Gravesend,2338,580,956,352,348,281,348,281,0,36,0,36,0,36,608,181,516,182,92,92,88,91,4,35,1382,338,293,198,293,198,0,36,0,36,0,36,1089,232,882,227,207,148,207,148,0,36
BK27,Bath Beach,641,407,385,314,215,237,215,237,0,40,0,40,0,40,170,109,111,93,59,70,47,70,12,40,256,133,50,58,50,58,0,40,0,40,0,40,206,105,181,101,25,47,25,47,0,40
BK28,Bensonhurst West,769,248,293,125,26,63,18,62,8,64,0,64,8,64,267,119,197,108,70,72,30,65,40,70,476,182,130,93,121,93,9,64,0,64,9,64,346,129,237,115,109,84,75,74,34,76
BK29,Bensonhurst East,628,246,403,176,97,91,97,91,0,51,0,51,0,51,306,130,211,112,95,74,25,56,70,68,225,118,24,53,24,53,0,51,0,51,0,51,201,116,126,96,75,67,33,57,42,59
BK30,Dyker Heights,505,231,194,120,35,66,35,66,0,51,0,51,0,51,159,91,90,74,69,73,24,50,45,71,311,159,0,51,0,51,0,51,0,51,0,51,311,159,198,138,113,82,75,65,38,66
BK31,Bay Ridge,1769,483,960,346,267,229,236,226,31,73,0,66,31,73,693,192,523,168,170,99,103,81,67,83,809,212,96,96,69,86,27,71,0,66,27,71,713,177,469,152,244,107,173,90,71,73
BK32,Sunset Park West,2766,463,1778,327,138,104,138,104,0,49,0,49,0,49,1640,298,1050,210,590,189,333,129,257,133,988,234,107,87,107,87,0,49,0,49,0,49,881,204,471,140,410,150,228,110,182,108
BK33,Carroll Gardens-Columbia Street-Red Hook,4793,639,1833,381,531,157,461,158,70,87,43,76,27,61,1302,323,904,259,398,194,319,183,79,86,2960,441,820,209,776,212,44,79,44,79,0,45,2140,349,1816,333,324,148,185,124,139,90
BK34,Sunset Park East,1955,541,1083,330,379,192,352,190,27,65,0,59,27,65,704,229,445,190,259,136,125,84,134,118,872,258,144,92,135,91,9,60,0,59,9,60,728,225,417,151,311,153,258,149,53,65
BK35,Stuyvesant Heights,48310,2031,21369,1179,5682,661,5531,655,151,95,30,61,121,89,15687,922,12107,799,3580,483,1967,324,1613,317,26941,1289,6194,668,5954,671,240,119,34,61,206,110,20747,910,16294,832,4453,548,2732,380,1721,341
BK37,Park Slope-Gowanus,5138,830,2504,469,546,221,516,217,30,73,30,73,0,58,1958,340,1409,290,549,180,402,159,147,95,2634,473,475,226,431,222,44,70,24,62,20,65,2159,341,1542,288,617,202,334,119,283,156
