area_id,area_name,b17010g001,b17010g001_moe,b17010g002,b17010g002_moe,b17010g003,b17010g003_moe,b17010g004,b17010g004_moe,b17010g005,b17010g005_moe,b17010g006,b17010g006_moe,b17010g007,b17010g007_moe,b17010g008,b17010g008_moe,b17010g009,b17010g009_moe,b17010g010,b17010g010_moe,b17010g011,b17010g011_moe,b17010g012,b17010g012_moe,b17010g013,b17010g013_moe,b17010g014,b17010g014_moe,b17010g015,b17010g015_moe,b17010g016,b17010g016_moe,b17010g017,b17010g017_moe,b17010g018,b17010g018_moe,b17010g019,b17010g019_moe,b17010g020,b17010g020_moe,b17010g021,b17010g021_moe,b17010g022,b17010g022_moe,b17010g023,b17010g023_moe,b17010g024,b17010g024_moe,b17010g025,b17010g025_moe,b17010g026,b17010g026_moe,b17010g027,b17010g027_moe,b17010g028,b17010g028_moe,b17010g029,b17010g029_moe,b17010g030,b17010g030_moe,b17010g031,b17010g031_moe,b17010g032,b17010g032_moe,b17010g033,b17010g033_moe,b17010g034,b17010g034_moe,b17010g035,b17010g035_moe,b17010g036,b17010g036_moe,b17010g037,b17010g037_moe,b17010g038,b17010g038_moe,b17010g039,b17010g039_moe,b17010g040,b17010g040_moe,b17010g041,b17010g041_moe
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,55,55,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,55,55,32,46,14,40,0,38,0,38,14,40,18,40,23,40,0,38,0,38,0,38,0,38,0,38,0,38,23,40,19,41,19,41,0,38,0,38,4,37
SI25,Oakwood-Oakwood Beach,61,58,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,61,58,50,55,50,55,0,32,0,32,50,55,0,32,11,32,11,32,0,32,0,32,0,32,0,32,11,32,0,32,0,32,0,32,0,32,0,32,0,32
SI28,Port Richmond,102,80,16,37,0,32,0,32,0,32,0,32,0,32,0,32,16,37,0,32,0,32,0,32,0,32,0,32,0,32,16,37,16,37,16,37,0,32,0,32,0,32,86,67,72,66,51,62,0,32,40,61,11,35,21,33,14,34,0,32,0,32,0,32,0,32,0,32,0,32,14,34,14,34,0,32,0,32,14,34,0,32
SI32,Rossville-Woodrow,42,42,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,42,42,42,42,13,31,13,31,0,29,0,29,29,37,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
SI35,New Brighton-Silver Lake,71,55,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,71,55,39,43,9,28,0,27,9,28,0,27,30,42,32,41,0,27,0,27,0,27,0,27,0,27,0,27,32,41,0,27,0,27,0,27,0,27,32,41
SI36,Old Town-Dongan Hills-South Beach,71,56,9,33,0,32,0,32,0,32,0,32,0,32,0,32,9,33,0,32,0,32,0,32,0,32,0,32,0,32,9,33,9,33,0,32,0,32,9,33,0,32,62,54,45,51,30,47,0,32,16,37,14,36,15,37,17,37,0,32,0,32,0,32,0,32,0,32,0,32,17,37,7,33,0,32,0,32,7,33,10,33
SI37,Stapleton-Rosebank,139,85,34,58,34,58,0,38,0,38,0,38,0,38,34,58,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,105,70,39,44,0,38,0,38,0,38,0,38,39,44,66,65,0,38,0,38,0,38,0,38,0,38,0,38,66,65,45,57,0,38,0,38,45,57,21,50
SI45,New Dorp-Midland Beach,36,52,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,36,52,9,32,9,32,9,32,0,29,0,29,0,29,27,50,0,29,0,29,0,29,0,29,0,29,0,29,27,50,27,50,0,29,0,29,27,50,0,29
SI48,Arden Heights,12,33,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,12,33,0,29,0,29,0,29,0,29,0,29,0,29,12,33,12,33,0,29,0,29,0,29,0,29,12,33,0,29,0,29,0,29,0,29,0,29,0,29
SI54,Great Kills,53,55,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,53,55,39,54,11,42,0,42,0,42,11,42,28,54,14,43,0,42,0,42,0,42,0,42,0,42,0,42,14,43,14,43,0,42,14,43,0,42,0,42
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
