area_id,area_name,c27001b001,c27001b001_moe,c27001b002,c27001b002_moe,c27001b003,c27001b003_moe,c27001b004,c27001b004_moe,c27001b005,c27001b005_moe,c27001b006,c27001b006_moe,c27001b007,c27001b007_moe,c27001b008,c27001b008_moe,c27001b009,c27001b009_moe,c27001b010,c27001b010_moe
BK09,Brooklyn Heights-Cobble Hill,1282,346,32,52,32,52,0,29,935,278,890,277,45,42,315,146,307,146,8,31
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4469,735,1096,317,1046,317,50,71,2819,544,2603,503,216,124,554,169,553,169,1,54
BK19,Brighton Beach,520,263,111,99,111,99,0,38,348,190,328,187,20,39,61,60,61,60,0,38
BK21,Seagate-Coney Island,10591,1060,2606,512,2589,511,17,37,6549,798,5684,761,865,271,1436,318,1436,318,0,38
BK23,West Brighton,168,112,0,27,0,27,0,27,64,66,50,62,14,33,104,93,104,93,0,27
BK25,Homecrest,480,272,126,175,91,124,35,73,309,154,192,120,117,97,45,57,45,57,0,48
BK26,Gravesend,2338,580,641,358,550,335,91,108,1390,301,1166,280,224,127,307,143,307,143,0,36
BK27,Bath Beach,627,407,265,250,265,250,0,40,293,165,293,165,0,40,69,78,69,78,0,40
BK28,Bensonhurst West,717,235,156,97,156,97,0,64,503,169,437,158,66,72,58,72,57,72,1,62
BK29,Bensonhurst East,619,247,121,93,121,93,0,51,428,180,319,155,109,101,70,68,70,68,0,51
BK30,Dyker Heights,456,228,35,66,35,66,0,51,403,202,255,148,148,116,18,52,18,52,0,51
BK31,Bay Ridge,1688,428,360,242,350,241,10,66,1218,274,954,221,264,156,110,72,110,72,0,66
BK32,Sunset Park West,1924,415,245,141,230,139,15,53,1505,337,1174,286,331,144,174,86,174,86,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,4569,630,1351,296,1214,299,137,111,2793,463,2212,394,581,247,425,134,425,134,0,45
BK34,Sunset Park East,1955,541,523,222,502,221,21,61,1406,416,1079,348,327,176,26,51,26,51,0,59
BK35,Stuyvesant Heights,48302,2030,11875,1062,11019,1003,856,329,31412,1355,25467,1186,5945,687,5015,412,4926,405,89,73
BK37,Park Slope-Gowanus,5076,828,1011,384,956,378,55,91,3380,515,2770,464,610,199,685,192,679,192,6,57
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8397,802,1991,418,1925,414,66,71,5616,576,4800,513,816,262,790,184,782,184,8,42
BK40,Windsor Terrace,1490,475,236,152,236,152,0,32,988,313,932,301,56,55,266,137,252,136,14,37
BK41,Kensington-Ocean Parkway,2872,663,505,210,474,205,31,49,1888,456,1375,362,513,207,479,184,455,177,24,53
BK42,Flatbush,53514,2184,12489,1021,11805,982,684,270,36103,1494,28503,1324,7600,780,4922,434,4700,418,222,113
BK43,Midwood,2540,548,482,200,482,200,0,51,1919,444,1469,328,450,203,139,70,130,69,9,50
BK44,Madison,398,223,54,77,54,77,0,46,340,193,320,189,20,50,4,41,4,41,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,5983,931,1845,438,1730,442,115,100,3709,547,2900,479,809,254,429,171,415,169,14,58
BK46,Ocean Parkway South,169,98,44,57,44,57,0,36,104,66,91,63,13,40,21,33,21,33,0,36
BK50,Canarsie,72138,2109,18991,1057,17892,1030,1099,287,48216,1466,40795,1372,7421,706,4931,487,4830,483,101,79
BK58,Flatlands,51063,1740,11599,810,11194,809,405,185,33977,1270,29653,1193,4324,526,5487,430,5366,423,121,83
BK60,Prospect Lefferts Gardens-Wingate,54179,2262,11300,1010,10689,981,611,247,35640,1496,27123,1295,8517,856,7239,645,6996,609,243,126
BK61,Crown Heights North,76573,2304,18276,1168,17397,1174,879,296,48668,1619,37339,1430,11329,927,9629,598,9327,588,302,139
BK63,Crown Heights South,27238,1453,6085,714,5943,710,142,88,17669,1010,13540,859,4129,631,3484,335,3474,334,10,38
BK64,Prospect Heights,5824,725,812,255,800,254,12,37,4093,552,3441,476,652,206,919,205,906,204,13,33
BK68,Fort Greene,11531,879,2362,364,2244,362,118,85,7744,671,6295,572,1449,342,1425,226,1399,222,26,53
BK69,Clinton Hill,15204,1099,2573,448,2278,422,295,170,10105,791,8219,707,1886,383,2526,305,2526,305,0,40
BK72,Williamsburg,852,184,196,131,196,131,0,36,464,174,408,151,56,70,192,101,181,98,11,38
BK73,North Side-South Side,2603,567,532,235,514,224,18,53,1901,427,1496,357,405,156,170,74,147,71,23,49
BK75,Bedford,37594,1731,8767,793,8202,764,565,212,24771,1225,20415,1083,4356,548,4056,415,3970,409,86,89
BK76,Greenpoint,304,119,40,47,29,43,11,42,257,115,202,102,55,70,7,41,7,41,0,42
BK77,Bushwick North,7838,1127,2049,506,1877,492,172,122,5288,753,3647,553,1641,497,501,135,501,135,0,54
BK78,Bushwick South,22479,1581,5747,726,5387,709,360,172,14307,1077,11453,932,2854,450,2425,293,2390,292,35,65
BK79,Ocean Hill,25737,1340,7239,706,6848,692,391,149,15837,936,12568,813,3269,496,2661,291,2634,289,27,46
BK81,Brownsville,45728,1689,13489,999,12910,984,579,198,27522,1127,22367,989,5155,622,4717,386,4637,380,80,71
BK82,East New York,65147,2320,19533,1310,18782,1280,751,296,39447,1478,32924,1344,6523,757,6167,520,5974,513,193,113
BK83,Cypress Hills-City Line,13196,1319,3812,609,3598,577,214,163,8583,904,6110,709,2473,475,801,174,779,172,22,51
BK85,East New York (Pennsylvania Ave),21770,1242,6946,693,6670,687,276,117,13405,805,10718,713,2687,423,1419,202,1384,202,35,44
BK88,Borough Park,817,286,179,134,179,134,0,68,524,201,339,146,185,140,114,84,113,84,1,67
BK90,East Williamsburg,3455,576,811,291,750,276,61,94,1875,367,1519,307,356,173,769,170,769,170,0,40
BK91,East Flatbush-Farragut,48539,1752,10312,817,9897,808,415,183,31794,1289,25943,1200,5851,652,6433,450,6332,448,101,77
BK93,Starrett City,6231,847,1601,352,1601,352,0,24,3694,601,3387,584,307,145,936,224,936,224,0,24
BK95,Erasmus,26064,1352,6278,651,6013,642,265,121,16980,935,12145,779,4835,535,2806,335,2662,329,144,80
BK96,Rugby-Remsen Village,51990,1829,11504,919,10947,907,557,179,33791,1236,26477,1188,7314,648,6695,566,6544,560,151,100
BK99,park-cemetery-etc-Brooklyn,95,130,37,70,37,70,0,40,58,79,58,79,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,14466,1219,4317,670,4165,663,152,99,9008,796,7025,679,1983,449,1141,201,1127,202,14,52
BX03,Eastchester-Edenwald-Baychester,26576,1796,7092,920,6877,916,215,123,16770,1183,13391,1050,3379,666,2714,355,2516,324,198,164
BX05,Bedford Park-Fordham North,11148,1185,2776,562,2571,529,205,175,7666,818,6331,692,1335,333,706,204,633,193,73,100
BX06,Belmont,5558,759,1665,408,1546,398,119,92,3525,453,2841,405,684,216,368,158,346,155,22,47
BX07,Bronxdale,10914,963,2698,540,2617,529,81,70,7237,631,5780,560,1457,328,979,225,979,225,0,38
BX08,West Farms-Bronx River,10971,1207,2950,609,2784,600,166,177,7160,805,5397,679,1763,413,861,215,861,215,0,40
BX09,Soundview-Castle Hill-Clason Point-Harding Park,20643,1321,4666,653,4547,642,119,114,13183,914,11432,837,1751,386,2794,331,2779,329,15,53
BX10,Pelham Bay-Country Club-City Island,657,254,102,110,102,110,0,34,472,213,450,213,22,37,83,87,83,87,0,34
BX13,Co-op City,27722,1695,5458,761,5300,754,158,129,17194,1292,15126,1189,2068,440,5070,487,5070,487,0,33
BX14,East Concourse-Concourse Village,26945,1732,7440,962,7201,947,239,214,16410,1085,12971,983,3439,532,3095,357,3078,357,17,53
BX17,East Tremont,13850,1163,4339,665,4070,643,269,146,8670,747,6780,631,1890,413,841,191,841,191,0,45
