area_id,area_name,b12002b001,b12002b001_moe,b12002b002,b12002b002_moe,b12002b003,b12002b003_moe,b12002b004,b12002b004_moe,b12002b005,b12002b005_moe,b12002b006,b12002b006_moe,b12002b007,b12002b007_moe,b12002b008,b12002b008_moe,b12002b009,b12002b009_moe,b12002b010,b12002b010_moe,b12002b011,b12002b011_moe,b12002b012,b12002b012_moe,b12002b013,b12002b013_moe
BK09,Brooklyn Heights-Cobble Hill,1264,343,575,245,283,147,183,111,38,69,54,90,17,39,689,207,334,143,154,83,31,43,100,74,70,65
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3609,585,1503,364,940,271,365,139,66,72,57,69,75,85,2106,361,1162,275,376,154,189,112,225,99,154,105
BK19,Brighton Beach,422,201,190,104,46,49,132,96,0,38,2,32,10,38,232,121,107,75,77,74,1,37,35,44,12,41
BK21,Seagate-Coney Island,8881,873,3698,580,2245,511,1147,263,60,57,79,75,167,96,5183,515,2757,446,1024,234,426,145,558,164,418,134
BK23,West Brighton,168,112,28,34,16,30,1,24,0,27,11,31,0,27,140,106,76,75,0,27,0,27,0,27,64,71
BK25,Homecrest,390,186,203,111,132,99,66,66,0,48,5,46,0,48,187,106,97,83,63,66,0,48,27,55,0,48
BK26,Gravesend,1838,390,626,184,419,146,163,102,0,36,12,38,32,58,1212,273,579,225,216,108,99,73,167,94,151,71
BK27,Bath Beach,407,196,201,113,78,77,102,90,12,42,5,39,4,39,206,105,49,54,137,94,0,40,0,40,20,42
BK28,Bensonhurst West,622,193,267,119,149,98,84,75,9,65,17,67,8,62,355,131,153,102,137,93,6,63,42,69,17,63
BK29,Bensonhurst East,554,223,353,160,209,138,86,78,19,58,9,50,30,53,201,116,89,78,74,66,0,51,18,56,20,57
BK30,Dyker Heights,470,207,159,91,79,72,63,72,10,52,0,51,7,51,311,159,181,135,66,68,0,51,25,55,39,59
BK31,Bay Ridge,1430,311,693,192,274,120,308,136,18,67,15,67,78,83,737,180,347,123,188,102,37,77,24,65,141,92
BK32,Sunset Park West,2548,416,1667,300,951,210,425,146,63,74,0,49,228,108,881,204,391,132,234,104,2,49,90,64,164,82
