area_id,area_name,b19013h001,b19013h001_moe
BK09,Brooklyn Heights-Cobble Hill,666502,60610
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1053556,68618
BK19,Brighton Beach,340823,51591
BK21,Seagate-Coney Island,249633,58216
BK23,West Brighton,158160,13966
BK25,Homecrest,747699,44615
BK26,Gravesend,275225,33076
BK27,Bath Beach,568032,82430
BK28,Bensonhurst West,1145650,86995
BK29,Bensonhurst East,749369,68242
BK30,Dyker Heights,1089593,82772
BK31,Bay Ridge,1702989,82091
BK32,Sunset Park West,759873,119429
BK33,Carroll Gardens-Columbia Street-Red Hook,1081158,87634
BK34,Sunset Park East,760614,159754
BK35,Stuyvesant Heights,1009603,330226
BK37,Park Slope-Gowanus,2139913,118896
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1325752,122620
BK40,Windsor Terrace,528933,40601
BK41,Kensington-Ocean Parkway,382119,56103
BK42,Flatbush,1436905,191853
BK43,Midwood,1031418,109027
BK44,Madison,874179,75893
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1485089,98750
BK46,Ocean Parkway South,559193,57375
BK50,Canarsie,1355256,328505
BK58,Flatlands,1462201,201252
BK60,Prospect Lefferts Gardens-Wingate,854530,324041
BK61,Crown Heights North,1340946,167687
BK63,Crown Heights South,438790,110102
BK64,Prospect Heights,621249,62581
BK68,Fort Greene,822646,139737
BK69,Clinton Hill,830189,97115
BK72,Williamsburg,143910,18014
BK73,North Side-South Side,912976,92530
BK75,Bedford,964728,152538
BK76,Greenpoint,798098,61597
BK77,Bushwick North,758935,128657
BK78,Bushwick South,1046928,204716
BK79,Ocean Hill,73739,88675
BK81,Brownsville,111422,111585
BK82,East New York,523047,220034
BK83,Cypress Hills-City Line,627442,225901
BK85,East New York (Pennsylvania Ave),182113,266334
BK88,Borough Park,1078480,77126
BK90,East Williamsburg,613405,66595
BK91,East Flatbush-Farragut,329641,143048
BK93,Starrett City,29481,6658
BK95,Erasmus,8000,11384
BK96,Rugby-Remsen Village,326405,188396
BK99,park-cemetery-etc-Brooklyn,70893,46635
BX03,Eastchester-Edenwald-Baychester,385438,179965
BX05,Bedford Park-Fordham North,310795,94864
BX06,Belmont,108404,22691
BX07,Bronxdale,234336,111462
BX08,West Farms-Bronx River,90817,55525
BX09,Soundview-Castle Hill-Clason Point-Harding Park,255945,207078
BX10,Pelham Bay-Country Club-City Island,331436,49733
BX13,Co-op City,70982,12915
BX14,East Concourse-Concourse Village,251855,317904
BX17,East Tremont,292056,212530
BX22,North Riverdale-Fieldston-Riverdale,661082,63208
BX26,Highbridge,59286,74810
BX27,Hunts Point,90207,27459
BX28,Van Cortlandt Village,386816,81809
BX29,Spuyten Duyvil-Kingsbridge,635754,82752
BX30,Kingsbridge Heights,127207,81966
BX31,Allerton-Pelham Gardens,525687,112708
BX33,Longwood,81918,513876
