area_id,area_name,b19082001,b19082001_moe,b19082002,b19082002_moe,b19082003,b19082003_moe,b19082004,b19082004_moe,b19082005,b19082005_moe,b19082006,b19082006_moe
BX62,Woodlawn-Wakefield,60,5,148,8,235,8,361,9,596,16,202,9
BX63,West Concourse,27,3,64,5,112,6,174,7,322,15,120,14
BX75,Crotona Park East,18,3,40,3,72,6,121,6,249,12,94,10
MN01,Marble Hill-Inwood,30,2,64,4,107,5,166,6,334,12,132,12
MN03,Central Harlem North-Polo Grounds,43,3,113,7,206,9,343,11,795,23,341,26
MN04,Hamilton Heights,19,2,50,5,93,6,151,9,388,18,181,23
MN06,Manhattanville,11,2,29,3,52,4,98,6,209,11,87,11
MN09,Morningside Heights,14,3,61,7,127,11,235,12,564,24,249,24
MN11,Central Harlem South,21,2,66,5,129,7,226,9,558,18,248,20
MN12,Upper West Side,31,2,100,5,189,7,326,10,954,20,458,20
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,29,3,92,6,177,8,309,11,893,22,408,23
MN14,Lincoln Square,17,2,52,3,97,5,173,8,461,13,208,10
MN15,Clinton,15,2,47,3,92,5,157,6,389,12,164,12
MN17,Midtown-Midtown South,24,4,71,8,149,10,266,19,690,31,305,30
MN19,Turtle Bay-East Midtown,25,3,76,5,128,6,213,9,558,18,257,19
MN20,Murray Hill-Kips Bay,15,2,52,4,95,6,158,6,380,13,163,13
MN21,Gramercy,11,2,33,3,58,4,92,4,207,9,90,10
MN22,East Village,16,2,53,4,102,5,159,6,370,14,163,14
MN23,West Village,33,3,99,5,171,8,289,10,809,21,384,21
MN24,SoHo-TriBeCa-Civic Center-Little Italy,19,3,64,5,114,7,215,11,589,18,249,15
MN25,Battery Park City-Lower Manhattan,24,3,59,4,95,6,149,8,373,16,171,18
MN27,Chinatown,22,2,55,4,101,7,187,9,434,17,187,18
MN28,Lower East Side,39,3,92,6,173,9,312,12,783,23,349,25
MN31,Lenox Hill-Roosevelt Island,25,3,73,4,115,5,189,7,498,16,227,19
MN32,Yorkville,27,2,72,4,120,5,198,6,484,12,218,13
MN33,East Harlem South,27,3,70,5,132,8,236,10,635,20,284,25
MN34,East Harlem North,32,3,77,6,139,9,252,12,600,24,266,31
MN35,Washington Heights North,36,3,92,5,166,7,269,8,538,15,204,13
MN36,Washington Heights South,34,3,86,5,160,8,265,9,555,19,234,21
MN40,Upper East Side-Carnegie Hill,26,3,80,5,145,7,271,12,878,19,374,19
MN50,Stuyvesant Town-Cooper Village,5,1,18,2,30,2,49,3,98,6,42,8
QN01,South Jamaica,24,3,62,6,106,6,173,8,335,14,123,10
QN02,Springfield Gardens North,13,3,33,2,51,3,72,3,130,6,43,3
QN03,Springfield Gardens South-Brookville,20,4,49,4,74,4,102,4,155,8,53,5
QN05,Rosedale,34,4,72,5,107,4,151,6,236,10,77,6
QN06,Jamaica Estates-Holliswood,31,3,66,5,110,8,170,9,322,19,130,24
QN07,Hollis,27,4,70,6,112,7,178,8,313,14,104,8
QN08,St. Albans,81,8,200,12,316,12,446,13,757,26,269,26
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,32,4,87,6,138,5,201,6,343,12,127,10
QN12,Hammels-Arverne-Edgemere,24,4,71,5,121,6,196,8,389,15,150,14
QN15,Far Rockaway-Bayswater,19,2,48,4,93,6,173,8,368,13,137,9
QN17,Forest Hills,87,7,230,10,375,12,576,15,1132,31,455,34
QN18,Rego Park,28,4,74,6,117,8,183,10,398,24,186,27
QN19,Glendale,50,6,126,8,211,9,325,11,589,19,208,14
QN20,Ridgewood,58,5,158,8,278,10,430,10,777,22,298,19
QN21,Middle Village,53,5,142,8,240,9,359,9,606,17,222,11
QN22,Flushing,38,4,103,7,182,8,286,9,591,19,239,21
QN23,College Point,28,4,60,5,96,6,140,8,276,17,115,17
QN25,Corona,43,5,94,6,162,9,252,8,448,16,167,15
