area_id,area_name,c24010i001,c24010i001_moe,c24010i002,c24010i002_moe,c24010i003,c24010i003_moe,c24010i004,c24010i004_moe,c24010i005,c24010i005_moe,c24010i006,c24010i006_moe,c24010i007,c24010i007_moe,c24010i008,c24010i008_moe,c24010i009,c24010i009_moe,c24010i010,c24010i010_moe,c24010i011,c24010i011_moe,c24010i012,c24010i012_moe,c24010i013,c24010i013_moe
BK09,Brooklyn Heights-Cobble Hill,832,245,543,177,237,114,71,62,175,111,41,53,19,37,289,127,159,82,21,35,69,89,0,29,40,53
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1636,349,784,209,269,135,138,96,115,90,42,76,220,121,852,240,238,117,204,110,391,157,0,55,19,58
BK19,Brighton Beach,1704,406,1081,293,53,60,375,153,198,103,179,131,276,143,623,189,158,97,368,133,53,60,0,38,44,73
BK21,Seagate-Coney Island,2361,430,1162,256,63,60,545,185,175,105,253,126,126,82,1199,267,222,127,486,163,420,154,24,52,47,54
BK23,West Brighton,32,55,0,27,0,27,0,27,0,27,0,27,0,27,32,55,32,55,0,27,0,27,0,27,0,27
BK25,Homecrest,1528,423,1085,328,127,80,483,250,123,86,280,161,72,79,443,147,65,70,253,112,90,60,0,48,35,77
BK26,Gravesend,1364,313,827,235,104,79,156,94,136,98,202,114,229,128,537,192,293,134,126,92,118,98,0,36,0,36
BK27,Bath Beach,1541,449,994,340,125,101,256,155,117,76,356,255,140,89,547,199,142,95,172,88,229,133,0,40,4,39
BK28,Bensonhurst West,5606,810,3833,623,236,137,1175,314,581,216,1181,390,660,198,1773,331,347,144,626,229,650,184,0,64,150,113
BK29,Bensonhurst East,3342,526,2392,429,207,100,497,173,412,192,678,234,598,194,950,225,333,138,343,130,252,99,0,51,22,54
BK30,Dyker Heights,2147,478,1198,396,181,98,226,129,163,100,529,342,99,75,949,232,383,168,284,120,242,114,0,51,40,65
BK31,Bay Ridge,6279,653,3312,460,865,228,800,201,652,200,545,215,450,165,2967,383,1426,259,455,141,1049,230,8,66,29,71
BK32,Sunset Park West,14588,1008,9384,837,1307,252,2792,498,1241,257,1945,372,2099,314,5204,456,1076,215,1907,286,1616,299,28,57,577,182
