area_id,area_name,b18135001,b18135001_moe,b18135002,b18135002_moe,b18135003,b18135003_moe,b18135004,b18135004_moe,b18135005,b18135005_moe,b18135006,b18135006_moe,b18135007,b18135007_moe,b18135008,b18135008_moe,b18135009,b18135009_moe,b18135010,b18135010_moe,b18135011,b18135011_moe,b18135012,b18135012_moe,b18135013,b18135013_moe,b18135014,b18135014_moe,b18135015,b18135015_moe,b18135016,b18135016_moe,b18135017,b18135017_moe,b18135018,b18135018_moe,b18135019,b18135019_moe,b18135020,b18135020_moe,b18135021,b18135021_moe,b18135022,b18135022_moe,b18135023,b18135023_moe,b18135024,b18135024_moe,b18135025,b18135025_moe,b18135026,b18135026_moe,b18135027,b18135027_moe,b18135028,b18135028_moe,b18135029,b18135029_moe,b18135030,b18135030_moe,b18135031,b18135031_moe,b18135032,b18135032_moe,b18135033,b18135033_moe,b18135034,b18135034_moe
BK09,Brooklyn Heights-Cobble Hill,23498,1176,3006,423,83,59,83,59,50,49,38,45,0,29,2923,420,2895,418,2766,406,143,96,28,51,17611,917,899,298,775,280,615,225,312,158,124,103,16712,905,15622,888,15383,881,419,151,1090,270,2881,356,786,215,778,215,577,164,734,182,8,31,2095,298,2095,298,1445,242,2006,294,0,29
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,61288,1616,11284,847,191,101,191,101,133,89,106,91,0,55,11093,842,10744,833,7731,742,3607,614,349,198,38792,1226,3052,404,2839,383,1231,220,2063,341,213,114,35740,1219,32773,1188,27386,1181,6088,693,2967,460,11212,656,5582,510,5515,507,1955,283,5480,504,67,67,5630,440,5493,435,2742,314,5265,434,137,109
BK19,Brighton Beach,31530,1324,5254,644,107,76,107,76,31,51,94,72,0,38,5147,640,4852,633,3155,578,1900,413,295,172,19508,975,1295,275,1198,271,332,108,972,259,97,60,18213,966,14687,968,12116,917,3104,471,3526,566,6768,458,4766,410,4736,410,799,191,4684,408,30,48,2002,301,1952,296,785,207,1831,290,50,65
BK21,Seagate-Coney Island,29406,1273,6455,766,311,147,311,147,71,59,262,140,0,38,6144,738,5969,736,2921,591,3432,586,175,104,17294,992,2221,345,2104,336,652,175,1754,314,117,90,15073,961,12690,933,7971,792,5220,750,2383,430,5657,489,2841,352,2829,352,318,112,2829,352,12,40,2816,373,2802,372,881,231,2737,376,14,42
BK23,West Brighton,15410,683,1287,245,13,31,13,31,0,27,13,31,0,27,1274,242,1255,241,978,238,324,124,19,29,8157,749,981,232,966,232,622,195,435,137,15,33,7176,732,6241,679,5539,669,797,211,935,299,5966,454,2815,315,2815,315,1147,226,2815,315,0,27,3151,432,3151,432,1747,407,2958,408,0,27
BK25,Homecrest,41893,1458,10136,900,233,110,233,110,172,99,93,76,0,48,9903,886,9717,877,6593,766,3510,568,186,104,24789,987,1588,272,1439,259,704,197,904,171,149,84,23201,998,19645,949,15542,887,4529,565,3556,530,6968,502,2801,316,2791,316,745,159,2791,316,10,49,4167,419,4040,409,2191,338,3895,405,127,112
BK26,Gravesend,27759,1258,5203,703,148,71,123,69,10,38,113,69,25,40,5055,706,4491,669,2334,474,2340,564,564,329,16315,890,1658,294,1540,283,498,150,1173,250,118,71,14657,847,11672,794,8100,690,3945,596,2985,474,6241,501,2683,338,2683,338,837,182,2667,338,0,36,3558,474,3558,474,1910,362,3427,470,0,36
BK27,Bath Beach,29100,1245,5690,629,82,64,82,64,42,57,40,47,0,40,5608,620,5309,614,3131,489,2291,448,299,138,18358,989,1236,233,1137,214,501,149,792,173,99,62,17122,944,14019,906,10475,826,3784,575,3103,589,5052,426,1900,257,1900,257,625,128,1900,257,0,40,3152,367,3139,367,1602,274,3054,366,13,43
BK28,Bensonhurst West,86412,2161,18128,1055,195,88,195,88,64,72,146,82,0,64,17933,1048,17036,1035,8505,716,9134,882,897,265,55182,1636,3059,367,2816,353,1121,208,2060,311,243,108,52123,1604,40884,1521,28170,1295,13944,1049,11239,973,13102,777,4878,529,4852,529,1394,239,4806,527,26,64,8224,600,7823,574,3084,379,7730,571,401,193
BK29,Bensonhurst East,61057,1648,11616,804,145,75,137,73,66,65,106,70,8,51,11471,803,10710,776,5939,595,5129,623,761,285,39244,1288,2010,282,1776,260,764,164,1300,226,234,103,37234,1288,29999,1291,21380,1102,9532,873,7235,795,10197,617,3819,352,3791,351,949,168,3776,351,28,56,6378,562,6349,560,2700,386,6237,556,29,58
BK30,Dyker Heights,44934,1499,9293,779,127,103,127,103,121,104,21,51,0,51,9166,776,8739,765,4685,495,4723,658,427,214,28612,1115,1581,248,1508,241,773,158,976,198,73,71,27031,1105,23019,1032,15549,851,8328,844,4012,550,7029,497,2198,291,2179,290,950,163,2165,289,19,58,4831,437,4791,437,2842,350,4563,420,40,58
BK31,Bay Ridge,83453,1976,17032,1084,286,120,278,119,148,95,130,97,8,66,16746,1074,16306,1068,10491,773,6771,883,440,199,54687,1358,3560,450,3138,418,1459,240,2103,357,422,170,51127,1333,42877,1300,35803,1184,8523,896,8250,780,11734,582,3802,359,3714,357,1632,221,3714,357,88,84,7932,505,7790,499,4580,406,7474,493,142,103
BK32,Sunset Park West,52486,1676,12826,908,285,120,285,120,107,74,244,115,0,49,12541,889,11750,888,4155,565,8727,835,791,271,35355,1225,2028,313,1747,291,656,171,1294,243,281,118,33327,1236,21313,968,13771,854,8696,746,12014,1087,4305,454,2068,335,2068,335,622,149,2026,333,0,49,2237,307,2188,307,536,130,2133,304,49,66
BK33,Carroll Gardens-Columbia Street-Red Hook,38965,1308,7694,667,234,109,234,109,103,84,131,82,0,45,7460,640,7095,621,5544,574,1914,405,365,239,27492,1001,1859,351,1768,346,688,193,1282,319,91,62,25633,982,21986,906,19899,854,2404,442,3647,551,3779,392,1503,289,1502,289,561,160,1502,289,1,43,2276,310,2253,310,1438,233,2135,305,23,50
