area_id,area_name,b25003f001,b25003f001_moe,b25003f002,b25003f002_moe,b25003f003,b25003f003_moe
BK09,Brooklyn Heights-Cobble Hill,190,134,107,109,83,86
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,325,159,73,76,252,150
BK19,Brighton Beach,147,94,9,39,138,94
BK21,Seagate-Coney Island,924,229,84,74,840,219
BK23,West Brighton,0,27,0,27,0,27
BK25,Homecrest,315,136,19,49,296,136
BK26,Gravesend,543,159,80,76,463,145
BK27,Bath Beach,429,173,88,76,341,160
BK28,Bensonhurst West,1019,236,58,77,961,231
BK29,Bensonhurst East,633,175,8,52,625,175
BK30,Dyker Heights,372,141,22,52,350,140
BK31,Bay Ridge,1626,293,176,113,1450,280
BK32,Sunset Park West,4864,404,571,152,4293,390
BK33,Carroll Gardens-Columbia Street-Red Hook,1899,327,238,146,1661,287
BK34,Sunset Park East,2900,329,221,105,2679,319
BK35,Stuyvesant Heights,1688,282,119,91,1569,268
BK37,Park Slope-Gowanus,2343,355,479,180,1864,323
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1549,231,93,74,1456,227
BK40,Windsor Terrace,422,152,115,83,307,127
BK41,Kensington-Ocean Parkway,970,234,148,101,822,219
BK42,Flatbush,3108,411,220,113,2888,398
BK43,Midwood,554,199,27,59,527,196
BK44,Madison,200,100,75,69,125,85
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,295,129,160,94,135,98
BK46,Ocean Parkway South,286,128,44,63,242,115
BK50,Canarsie,1142,226,346,137,796,191
BK58,Flatlands,537,161,253,104,284,134
BK60,Prospect Lefferts Gardens-Wingate,1226,267,87,84,1139,261
BK61,Crown Heights North,1963,310,69,83,1894,304
BK63,Crown Heights South,653,183,26,46,627,181
BK64,Prospect Heights,458,182,68,53,390,177
BK68,Fort Greene,789,184,38,52,751,186
BK69,Clinton Hill,803,179,153,89,650,167
BK72,Williamsburg,418,133,57,69,361,126
BK73,North Side-South Side,1292,251,99,70,1193,243
BK75,Bedford,2161,302,218,102,1943,289
BK76,Greenpoint,653,160,62,69,591,159
BK77,Bushwick North,7511,496,442,145,7069,493
BK78,Bushwick South,5040,445,704,180,4336,428
BK79,Ocean Hill,1277,225,272,113,1005,199
BK81,Brownsville,1524,271,71,70,1453,270
BK82,East New York,2328,323,477,153,1851,292
BK83,Cypress Hills-City Line,1974,256,572,147,1402,231
BK85,East New York (Pennsylvania Ave),1149,220,76,61,1073,216
BK88,Borough Park,1547,275,105,96,1442,281
BK90,East Williamsburg,1500,240,121,85,1379,231
BK91,East Flatbush-Farragut,376,144,59,67,317,139
BK93,Starrett City,362,211,0,24,362,211
BK95,Erasmus,357,127,8,34,349,127
BK96,Rugby-Remsen Village,351,146,45,71,306,138
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40
BX01,Claremont-Bathgate,3668,333,197,96,3471,329
BX03,Eastchester-Edenwald-Baychester,1518,262,342,120,1176,233
